"Bowling_Team","Bowler","Season","Stadium","Runs","Wickets","Balls","Batting_Team","Average","Economy"
"Kolkata Knight Riders","Andre Russell",2016,"Feroz Shah Kotla",26,3,24,"All",8.66666666666667,6.5
"Kolkata Knight Riders","Andre Russell",2016,"M Chinnaswamy Stadium",24,1,24,"All",24,6
"Kolkata Knight Riders","Andre Russell",2016,"Maharashtra Cricket Association Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Andre Russell",2016,"Punjab Cricket Association IS Bindra Stadium",18,0,6,"All",Inf,18
"Kolkata Knight Riders","Andre Russell",2016,"Rajiv Gandhi International Stadium",19,1,24,"All",19,4.75
"Kolkata Knight Riders","Andre Russell",2016,"Wankhede Stadium",28,0,18,"All",Inf,9.33333333333333
"Kolkata Knight Riders","Andre Russell",2018,"Eden Gardens",177,3,113,"All",59,9.39823008849558
"Kolkata Knight Riders","Andre Russell",2018,"Feroz Shah Kotla",28,1,18,"All",28,9.33333333333333
"Kolkata Knight Riders","Andre Russell",2018,"Holkar Cricket Stadium",41,3,24,"All",13.6666666666667,10.25
"Kolkata Knight Riders","Andre Russell",2018,"M Chinnaswamy Stadium",31,3,18,"All",10.3333333333333,10.3333333333333
"Kolkata Knight Riders","Andre Russell",2018,"MA Chidambaram Stadium",35,0,24,"All",Inf,8.75
"Kolkata Knight Riders","Andre Russell",2018,"Rajiv Gandhi International Stadium",31,1,18,"All",31,10.3333333333333
"Kolkata Knight Riders","Andre Russell",2018,"Wankhede Stadium",12,2,12,"All",6,6
"Kolkata Knight Riders","Andre Russell",2019,"Eden Gardens",172,9,120,"All",19.1111111111111,8.6
"Kolkata Knight Riders","Andre Russell",2019,"Feroz Shah Kotla",28,1,18,"All",28,9.33333333333333
"Kolkata Knight Riders","Andre Russell",2019,"M Chinnaswamy Stadium",16,0,6,"All",Inf,16
"Kolkata Knight Riders","Andre Russell",2019,"Punjab Cricket Association IS Bindra Stadium",29,1,18,"All",29,9.66666666666667
"Kolkata Knight Riders","Andre Russell",2019,"Rajiv Gandhi International Stadium",8,0,6,"All",Inf,8
"Kolkata Knight Riders","Andre Russell",2019,"Wankhede Stadium",34,0,13,"All",Inf,15.6923076923077
"Kolkata Knight Riders","Andre Russell",2020,"Sharjah Cricket Stadium",80,3,48,"All",26.6666666666667,10
"Kolkata Knight Riders","Andre Russell",2020,"Zayed Cricket Stadium",95,3,60,"All",31.6666666666667,9.5
"Kolkata Knight Riders","Andre Russell",2021,"MA Chidambaram Stadium",85,6,42,"All",14.1666666666667,12.1428571428571
"Kolkata Knight Riders","Andre Russell",2021,"Narendra Modi Stadium",2,0,6,"All",Inf,2
"Kolkata Knight Riders","Andre Russell",2021,"Wankhede Stadium",27,1,12,"All",27,13.5
"Kolkata Knight Riders","Andre Russell",2021,"Zayed Cricket Stadium",74,4,54,"All",18.5,8.22222222222222
"Kolkata Knight Riders","Andre Russell",2022,"Brabourne Stadium",65,4,36,"All",16.25,10.8333333333333
"Kolkata Knight Riders","Andre Russell",2022,"Dr DY Patil Sports Academy",108,6,53,"All",18,12.2264150943396
"Kolkata Knight Riders","Andre Russell",2022,"Maharashtra Cricket Association Stadium",53,5,48,"All",10.6,6.625
"Kolkata Knight Riders","Andre Russell",2022,"Wankhede Stadium",52,2,32,"All",26,9.75
"Kolkata Knight Riders","Angelo Mathews",2009,"SuperSport Park",31,0,14,"All",Inf,13.2857142857143
"Kolkata Knight Riders","Angelo Mathews",2010,"Brabourne Stadium",29,0,21,"All",Inf,8.28571428571428
"Kolkata Knight Riders","Angelo Mathews",2010,"Dr DY Patil Sports Academy",27,1,24,"All",27,6.75
"Kolkata Knight Riders","Angelo Mathews",2010,"Eden Gardens",148,5,102,"All",29.6,8.70588235294118
"Kolkata Knight Riders","Angelo Mathews",2010,"Feroz Shah Kotla",11,0,12,"All",Inf,5.5
"Kolkata Knight Riders","Angelo Mathews",2010,"M Chinnaswamy Stadium",25,1,18,"All",25,8.33333333333333
"Kolkata Knight Riders","Angelo Mathews",2010,"MA Chidambaram Stadium",15,0,6,"All",Inf,15
"Kolkata Knight Riders","Angelo Mathews",2010,"Punjab Cricket Association Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Angelo Mathews",2010,"Sardar Patel Stadium",33,0,18,"All",Inf,11
"Kolkata Knight Riders","Ankit Rajpoot",2016,"Eden Gardens",63,2,48,"All",31.5,7.875
"Kolkata Knight Riders","Ankit Rajpoot",2016,"Green Park",35,1,18,"All",35,11.6666666666667
"Kolkata Knight Riders","Ankit Rajpoot",2017,"Eden Gardens",14,1,18,"All",14,4.66666666666667
"Kolkata Knight Riders","Ankit Rajpoot",2017,"M Chinnaswamy Stadium",39,0,30,"All",Inf,7.8
"Kolkata Knight Riders","Ankit Rajpoot",2017,"Punjab Cricket Association IS Bindra Stadium",17,0,12,"All",Inf,8.5
"Kolkata Knight Riders","Ankit Rajpoot",2017,"Wankhede Stadium",37,3,24,"All",12.3333333333333,9.25
"Kolkata Knight Riders","Anukul Roy",2022,"Maharashtra Cricket Association Stadium",27,0,18,"All",Inf,9
"Kolkata Knight Riders","Anukul Roy",2022,"Wankhede Stadium",28,1,24,"All",28,7
"Kolkata Knight Riders","Anureet Singh",2009,"Newlands",35,2,24,"All",17.5,8.75
"Kolkata Knight Riders","Anureet Singh",2009,"SuperSport Park",12,0,6,"All",Inf,12
"Kolkata Knight Riders","Ashok Dinda",2008,"Eden Gardens",139,3,132,"All",46.3333333333333,6.31818181818182
"Kolkata Knight Riders","Ashok Dinda",2008,"M Chinnaswamy Stadium",9,2,18,"All",4.5,3
"Kolkata Knight Riders","Ashok Dinda",2008,"MA Chidambaram Stadium",25,0,18,"All",Inf,8.33333333333333
"Kolkata Knight Riders","Ashok Dinda",2008,"Punjab Cricket Association Stadium",24,1,18,"All",24,8
"Kolkata Knight Riders","Ashok Dinda",2008,"Rajiv Gandhi International Stadium",33,3,24,"All",11,8.25
"Kolkata Knight Riders","Ashok Dinda",2008,"Sawai Mansingh Stadium",30,0,24,"All",Inf,7.5
"Kolkata Knight Riders","Ashok Dinda",2009,"Buffalo Park",27,1,18,"All",27,9
"Kolkata Knight Riders","Ashok Dinda",2009,"Kingsmead",63,1,60,"All",63,6.3
"Kolkata Knight Riders","Ashok Dinda",2009,"Newlands",24,1,18,"All",24,8
"Kolkata Knight Riders","Ashok Dinda",2009,"St George's Park",50,0,24,"All",Inf,12.5
"Kolkata Knight Riders","Ashok Dinda",2009,"SuperSport Park",29,1,24,"All",29,7.25
"Kolkata Knight Riders","Ashok Dinda",2010,"Eden Gardens",65,5,72,"All",13,5.41666666666667
"Kolkata Knight Riders","Ashok Dinda",2010,"M Chinnaswamy Stadium",15,2,19,"All",7.5,4.73684210526316
"Kolkata Knight Riders","Ashok Dinda",2010,"MA Chidambaram Stadium",25,0,12,"All",Inf,12.5
"Kolkata Knight Riders","Ashok Dinda",2010,"Punjab Cricket Association Stadium",19,0,12,"All",Inf,9.5
"Kolkata Knight Riders","Ashok Dinda",2010,"Sardar Patel Stadium",28,2,24,"All",14,7
"Kolkata Knight Riders","Azhar Mahmood",2015,"Brabourne Stadium",41,0,18,"All",Inf,13.6666666666667
"Kolkata Knight Riders","Brad Hodge",2009,"Buffalo Park",13,1,12,"All",13,6.5
"Kolkata Knight Riders","Brad Hodge",2009,"Kingsmead",69,3,42,"All",23,9.85714285714286
"Kolkata Knight Riders","Brad Hodge",2009,"New Wanderers Stadium",25,1,24,"All",25,6.25
"Kolkata Knight Riders","Brad Hodge",2009,"St George's Park",42,2,30,"All",21,8.4
"Kolkata Knight Riders","Brad Hodge",2009,"SuperSport Park",12,0,12,"All",Inf,6
"Kolkata Knight Riders","Brad Hodge",2010,"Dr DY Patil Sports Academy",14,1,12,"All",14,7
"Kolkata Knight Riders","Brad Hodge",2010,"Eden Gardens",15,1,12,"All",15,7.5
"Kolkata Knight Riders","Brad Hodge",2010,"Sardar Patel Stadium",12,0,6,"All",Inf,12
"Kolkata Knight Riders","Brad Hogg",2015,"Eden Gardens",103,7,90,"All",14.7142857142857,6.86666666666667
"Kolkata Knight Riders","Brad Hogg",2015,"M Chinnaswamy Stadium",23,1,12,"All",23,11.5
"Kolkata Knight Riders","Brad Hogg",2015,"MA Chidambaram Stadium",18,1,24,"All",18,4.5
"Kolkata Knight Riders","Brad Hogg",2016,"Eden Gardens",103,4,72,"All",25.75,8.58333333333333
"Kolkata Knight Riders","Brad Hogg",2016,"Feroz Shah Kotla",39,0,24,"All",Inf,9.75
"Kolkata Knight Riders","Brett Lee",2011,"Dr DY Patil Sports Academy",28,0,24,"All",Inf,7
"Kolkata Knight Riders","Brett Lee",2011,"Eden Gardens",117,2,110,"All",58.5,6.38181818181818
"Kolkata Knight Riders","Brett Lee",2011,"Feroz Shah Kotla",24,0,24,"All",Inf,6
"Kolkata Knight Riders","Brett Lee",2011,"M Chinnaswamy Stadium",31,1,18,"All",31,10.3333333333333
"Kolkata Knight Riders","Brett Lee",2011,"Nehru Stadium",42,0,24,"All",Inf,10.5
"Kolkata Knight Riders","Brett Lee",2011,"Rajiv Gandhi International Stadium",30,1,24,"All",30,7.5
"Kolkata Knight Riders","Brett Lee",2011,"Sawai Mansingh Stadium",29,0,24,"All",Inf,7.25
"Kolkata Knight Riders","Brett Lee",2011,"Wankhede Stadium",37,1,24,"All",37,9.25
"Kolkata Knight Riders","Brett Lee",2012,"Barabati Stadium",15,1,24,"All",15,3.75
"Kolkata Knight Riders","Brett Lee",2012,"Eden Gardens",93,0,60,"All",Inf,9.3
"Kolkata Knight Riders","Brett Lee",2012,"Feroz Shah Kotla",39,1,24,"All",39,9.75
"Kolkata Knight Riders","Brett Lee",2012,"M Chinnaswamy Stadium",21,0,24,"All",Inf,5.25
"Kolkata Knight Riders","Brett Lee",2012,"MA Chidambaram Stadium",76,1,48,"All",76,9.5
"Kolkata Knight Riders","Brett Lee",2012,"Punjab Cricket Association Stadium",26,2,24,"All",13,6.5
"Kolkata Knight Riders","Brett Lee",2012,"Sawai Mansingh Stadium",29,2,24,"All",14.5,7.25
"Kolkata Knight Riders","Brett Lee",2013,"Eden Gardens",40,2,24,"All",20,10
"Kolkata Knight Riders","Brett Lee",2013,"Sawai Mansingh Stadium",20,1,24,"All",20,5
"Kolkata Knight Riders","Brett Lee",2013,"Shaheed Veer Narayan Singh International Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Carlos Brathwaite",2019,"Eden Gardens",29,0,18,"All",Inf,9.66666666666667
"Kolkata Knight Riders","Charl Langeveldt",2009,"Kingsmead",15,3,24,"All",5,3.75
"Kolkata Knight Riders","Charl Langeveldt",2010,"Dr DY Patil Sports Academy",26,2,24,"All",13,6.5
"Kolkata Knight Riders","Charl Langeveldt",2010,"Eden Gardens",27,1,24,"All",27,6.75
"Kolkata Knight Riders","Charl Langeveldt",2010,"Feroz Shah Kotla",35,2,18,"All",17.5,11.6666666666667
"Kolkata Knight Riders","Chris Gayle",2009,"Buffalo Park",21,1,24,"All",21,5.25
"Kolkata Knight Riders","Chris Gayle",2009,"Kingsmead",45,0,29,"All",Inf,9.31034482758621
"Kolkata Knight Riders","Chris Gayle",2009,"Newlands",34,0,30,"All",Inf,6.8
"Kolkata Knight Riders","Chris Gayle",2009,"St George's Park",44,0,30,"All",Inf,8.8
"Kolkata Knight Riders","Chris Gayle",2010,"Brabourne Stadium",31,0,24,"All",Inf,7.75
"Kolkata Knight Riders","Chris Gayle",2010,"Eden Gardens",25,1,12,"All",25,12.5
"Kolkata Knight Riders","Chris Gayle",2010,"Feroz Shah Kotla",38,1,24,"All",38,9.5
"Kolkata Knight Riders","Chris Gayle",2010,"MA Chidambaram Stadium",35,1,18,"All",35,11.6666666666667
"Kolkata Knight Riders","Chris Gayle",2010,"Punjab Cricket Association Stadium",23,1,18,"All",23,7.66666666666667
"Kolkata Knight Riders","Chris Green",2020,"Zayed Cricket Stadium",24,0,17,"All",Inf,8.47058823529412
"Kolkata Knight Riders","Chris Woakes",2017,"Eden Gardens",143,11,108,"All",13,7.94444444444444
"Kolkata Knight Riders","Chris Woakes",2017,"Feroz Shah Kotla",31,1,24,"All",31,7.75
"Kolkata Knight Riders","Chris Woakes",2017,"M Chinnaswamy Stadium",39,1,24,"All",39,9.75
"Kolkata Knight Riders","Chris Woakes",2017,"Maharashtra Cricket Association Stadium",38,0,18,"All",Inf,12.6666666666667
"Kolkata Knight Riders","Chris Woakes",2017,"Punjab Cricket Association IS Bindra Stadium",20,2,24,"All",10,5
"Kolkata Knight Riders","Chris Woakes",2017,"Rajiv Gandhi International Stadium",46,1,24,"All",46,11.5
"Kolkata Knight Riders","Chris Woakes",2017,"Saurashtra Cricket Association Stadium",35,0,18,"All",Inf,11.6666666666667
"Kolkata Knight Riders","Chris Woakes",2017,"Wankhede Stadium",34,1,24,"All",34,8.5
"Kolkata Knight Riders","Colin Munro",2016,"Eden Gardens",15,0,12,"All",Inf,7.5
"Kolkata Knight Riders","Colin de Grandhomme",2017,"Eden Gardens",57,4,42,"All",14.25,8.14285714285714
"Kolkata Knight Riders","Colin de Grandhomme",2017,"Feroz Shah Kotla",12,0,6,"All",Inf,12
"Kolkata Knight Riders","Colin de Grandhomme",2017,"M Chinnaswamy Stadium",15,0,12,"All",Inf,7.5
"Kolkata Knight Riders","Colin de Grandhomme",2017,"Maharashtra Cricket Association Stadium",14,0,12,"All",Inf,7
"Kolkata Knight Riders","Colin de Grandhomme",2017,"Punjab Cricket Association IS Bindra Stadium",37,0,24,"All",Inf,9.25
"Kolkata Knight Riders","David Hussey",2008,"Eden Gardens",71,1,42,"All",71,10.1428571428571
"Kolkata Knight Riders","David Hussey",2008,"MA Chidambaram Stadium",10,0,6,"All",Inf,10
"Kolkata Knight Riders","David Hussey",2008,"Punjab Cricket Association Stadium",23,1,18,"All",23,7.66666666666667
"Kolkata Knight Riders","David Hussey",2008,"Sawai Mansingh Stadium",26,0,12,"All",Inf,13
"Kolkata Knight Riders","David Hussey",2009,"New Wanderers Stadium",6,0,6,"All",Inf,6
"Kolkata Knight Riders","David Hussey",2009,"SuperSport Park",28,0,18,"All",Inf,9.33333333333333
"Kolkata Knight Riders","David Hussey",2010,"Eden Gardens",27,0,18,"All",Inf,9
"Kolkata Knight Riders","David Hussey",2010,"Feroz Shah Kotla",24,0,24,"All",Inf,6
"Kolkata Knight Riders","David Hussey",2010,"MA Chidambaram Stadium",22,0,12,"All",Inf,11
"Kolkata Knight Riders","David Hussey",2010,"Punjab Cricket Association Stadium",7,0,6,"All",Inf,7
"Kolkata Knight Riders","Harbhajan Singh",2021,"MA Chidambaram Stadium",63,0,42,"All",Inf,9
"Kolkata Knight Riders","Harry Gurney",2019,"Eden Gardens",116,4,72,"All",29,9.66666666666667
"Kolkata Knight Riders","Harry Gurney",2019,"MA Chidambaram Stadium",20,0,12,"All",Inf,10
"Kolkata Knight Riders","Harry Gurney",2019,"Punjab Cricket Association IS Bindra Stadium",41,1,24,"All",41,10.25
"Kolkata Knight Riders","Harry Gurney",2019,"Rajiv Gandhi International Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Harry Gurney",2019,"Sawai Mansingh Stadium",25,2,24,"All",12.5,6.25
"Kolkata Knight Riders","Harry Gurney",2019,"Wankhede Stadium",20,0,18,"All",Inf,6.66666666666667
"Kolkata Knight Riders","Harshit Rana",2022,"Maharashtra Cricket Association Stadium",27,0,12,"All",Inf,13.5
"Kolkata Knight Riders","Harshit Rana",2022,"Wankhede Stadium",24,1,18,"All",24,8
"Kolkata Knight Riders","Iqbal Abdulla",2008,"Eden Gardens",22,0,18,"All",Inf,7.33333333333333
"Kolkata Knight Riders","Iqbal Abdulla",2010,"Eden Gardens",28,1,24,"All",28,7
"Kolkata Knight Riders","Iqbal Abdulla",2010,"MA Chidambaram Stadium",21,0,15,"All",Inf,8.4
"Kolkata Knight Riders","Iqbal Abdulla",2010,"Punjab Cricket Association Stadium",12,0,12,"All",Inf,6
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Dr DY Patil Sports Academy",12,1,18,"All",12,4
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Eden Gardens",137,8,150,"All",17.125,5.48
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Feroz Shah Kotla",25,3,24,"All",8.33333333333333,6.25
"Kolkata Knight Riders","Iqbal Abdulla",2011,"M Chinnaswamy Stadium",18,1,18,"All",18,6
"Kolkata Knight Riders","Iqbal Abdulla",2011,"MA Chidambaram Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Nehru Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Rajiv Gandhi International Stadium",34,2,24,"All",17,8.5
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Sawai Mansingh Stadium",14,0,12,"All",Inf,7
"Kolkata Knight Riders","Iqbal Abdulla",2011,"Wankhede Stadium",23,0,18,"All",Inf,7.66666666666667
"Kolkata Knight Riders","Iqbal Abdulla",2012,"Eden Gardens",34,1,30,"All",34,6.8
"Kolkata Knight Riders","Iqbal Abdulla",2012,"MA Chidambaram Stadium",27,0,24,"All",Inf,6.75
"Kolkata Knight Riders","Iqbal Abdulla",2012,"Sawai Mansingh Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Iqbal Abdulla",2012,"Subrata Roy Sahara Stadium",44,2,42,"All",22,6.28571428571429
"Kolkata Knight Riders","Iqbal Abdulla",2012,"Wankhede Stadium",23,1,24,"All",23,5.75
"Kolkata Knight Riders","Iqbal Abdulla",2013,"Eden Gardens",57,1,42,"All",57,8.14285714285714
"Kolkata Knight Riders","Iqbal Abdulla",2013,"Rajiv Gandhi International Stadium",29,3,23,"All",9.66666666666667,7.56521739130435
"Kolkata Knight Riders","Iqbal Abdulla",2013,"Subrata Roy Sahara Stadium",26,2,24,"All",13,6.5
"Kolkata Knight Riders","Iqbal Abdulla",2013,"Wankhede Stadium",30,1,24,"All",30,7.5
"Kolkata Knight Riders","Ishant Sharma",2008,"Eden Gardens",173,4,136,"All",43.25,7.63235294117647
"Kolkata Knight Riders","Ishant Sharma",2008,"M Chinnaswamy Stadium",7,1,18,"All",7,2.33333333333333
"Kolkata Knight Riders","Ishant Sharma",2008,"MA Chidambaram Stadium",26,0,18,"All",Inf,8.66666666666667
"Kolkata Knight Riders","Ishant Sharma",2008,"Punjab Cricket Association Stadium",41,0,24,"All",Inf,10.25
"Kolkata Knight Riders","Ishant Sharma",2008,"Rajiv Gandhi International Stadium",27,0,18,"All",Inf,9
"Kolkata Knight Riders","Ishant Sharma",2008,"Sawai Mansingh Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Ishant Sharma",2008,"Wankhede Stadium",29,1,15,"All",29,11.6
"Kolkata Knight Riders","Ishant Sharma",2009,"Buffalo Park",24,1,24,"All",24,6
"Kolkata Knight Riders","Ishant Sharma",2009,"Kingsmead",82,3,72,"All",27.3333333333333,6.83333333333333
"Kolkata Knight Riders","Ishant Sharma",2009,"New Wanderers Stadium",46,2,48,"All",23,5.75
"Kolkata Knight Riders","Ishant Sharma",2009,"Newlands",49,2,42,"All",24.5,7
"Kolkata Knight Riders","Ishant Sharma",2009,"St George's Park",56,3,48,"All",18.6666666666667,7
"Kolkata Knight Riders","Ishant Sharma",2009,"SuperSport Park",40,0,24,"All",Inf,10
"Kolkata Knight Riders","Ishant Sharma",2010,"Brabourne Stadium",44,2,24,"All",22,11
"Kolkata Knight Riders","Ishant Sharma",2010,"Dr DY Patil Sports Academy",31,1,24,"All",31,7.75
"Kolkata Knight Riders","Ishant Sharma",2010,"Eden Gardens",65,1,48,"All",65,8.125
"Kolkata Knight Riders","Ishant Sharma",2010,"Feroz Shah Kotla",17,1,6,"All",17,17
"Kolkata Knight Riders","Ishant Sharma",2010,"M Chinnaswamy Stadium",46,0,24,"All",Inf,11.5
"Kolkata Knight Riders","Ishant Sharma",2010,"Sardar Patel Stadium",33,2,24,"All",16.5,8.25
"Kolkata Knight Riders","Jacques Kallis",2011,"Dr DY Patil Sports Academy",18,0,12,"All",Inf,9
"Kolkata Knight Riders","Jacques Kallis",2011,"Eden Gardens",9,0,6,"All",Inf,9
"Kolkata Knight Riders","Jacques Kallis",2011,"Feroz Shah Kotla",11,0,12,"All",Inf,5.5
"Kolkata Knight Riders","Jacques Kallis",2011,"M Chinnaswamy Stadium",16,2,18,"All",8,5.33333333333333
"Kolkata Knight Riders","Jacques Kallis",2011,"MA Chidambaram Stadium",34,2,18,"All",17,11.3333333333333
"Kolkata Knight Riders","Jacques Kallis",2011,"Nehru Stadium",21,0,18,"All",Inf,7
"Kolkata Knight Riders","Jacques Kallis",2011,"Rajiv Gandhi International Stadium",12,1,12,"All",12,6
"Kolkata Knight Riders","Jacques Kallis",2011,"Sawai Mansingh Stadium",31,0,24,"All",Inf,7.75
"Kolkata Knight Riders","Jacques Kallis",2011,"Wankhede Stadium",18,2,24,"All",9,4.5
"Kolkata Knight Riders","Jacques Kallis",2012,"Barabati Stadium",16,0,12,"All",Inf,8
"Kolkata Knight Riders","Jacques Kallis",2012,"Eden Gardens",191,4,138,"All",47.75,8.30434782608696
"Kolkata Knight Riders","Jacques Kallis",2012,"Feroz Shah Kotla",20,2,24,"All",10,5
"Kolkata Knight Riders","Jacques Kallis",2012,"M Chinnaswamy Stadium",7,2,12,"All",3.5,3.5
"Kolkata Knight Riders","Jacques Kallis",2012,"MA Chidambaram Stadium",55,3,48,"All",18.3333333333333,6.875
"Kolkata Knight Riders","Jacques Kallis",2012,"Punjab Cricket Association Stadium",23,0,18,"All",Inf,7.66666666666667
"Kolkata Knight Riders","Jacques Kallis",2012,"Sawai Mansingh Stadium",35,0,24,"All",Inf,8.75
"Kolkata Knight Riders","Jacques Kallis",2012,"Subrata Roy Sahara Stadium",24,2,24,"All",12,6
"Kolkata Knight Riders","Jacques Kallis",2012,"Wankhede Stadium",32,2,24,"All",16,8
"Kolkata Knight Riders","Jacques Kallis",2013,"Eden Gardens",107,7,108,"All",15.2857142857143,5.94444444444444
"Kolkata Knight Riders","Jacques Kallis",2013,"JSCA International Stadium Complex",65,3,48,"All",21.6666666666667,8.125
"Kolkata Knight Riders","Jacques Kallis",2013,"M Chinnaswamy Stadium",30,0,24,"All",Inf,7.5
"Kolkata Knight Riders","Jacques Kallis",2013,"MA Chidambaram Stadium",50,0,24,"All",Inf,12.5
"Kolkata Knight Riders","Jacques Kallis",2013,"Punjab Cricket Association Stadium",24,3,24,"All",8,6
"Kolkata Knight Riders","Jacques Kallis",2013,"Rajiv Gandhi International Stadium",13,0,6,"All",Inf,13
"Kolkata Knight Riders","Jacques Kallis",2013,"Sawai Mansingh Stadium",28,0,24,"All",Inf,7
"Kolkata Knight Riders","Jacques Kallis",2013,"Shaheed Veer Narayan Singh International Stadium",29,1,18,"All",29,9.66666666666667
"Kolkata Knight Riders","Jacques Kallis",2013,"Subrata Roy Sahara Stadium",27,2,24,"All",13.5,6.75
"Kolkata Knight Riders","Jacques Kallis",2013,"Wankhede Stadium",21,0,18,"All",Inf,7
"Kolkata Knight Riders","Jacques Kallis",2014,"Barabati Stadium",38,0,18,"All",Inf,12.6666666666667
"Kolkata Knight Riders","Jacques Kallis",2014,"Dubai International Cricket Stadium",15,1,12,"All",15,7.5
"Kolkata Knight Riders","Jacques Kallis",2014,"Feroz Shah Kotla",38,1,24,"All",38,9.5
"Kolkata Knight Riders","Jacques Kallis",2014,"JSCA International Stadium Complex",10,0,6,"All",Inf,10
"Kolkata Knight Riders","Jacques Kallis",2014,"Sharjah Cricket Stadium",26,1,24,"All",26,6.5
"Kolkata Knight Riders","Jacques Kallis",2014,"Sheikh Zayed Stadium",59,1,48,"All",59,7.375
"Kolkata Knight Riders","Jason Holder",2016,"Eden Gardens",21,0,18,"All",Inf,7
"Kolkata Knight Riders","Jason Holder",2016,"Feroz Shah Kotla",68,2,48,"All",34,8.5
"Kolkata Knight Riders","Jason Holder",2016,"Green Park",14,0,12,"All",Inf,7
"Kolkata Knight Riders","Javon Searles",2018,"Eden Gardens",13,0,6,"All",Inf,13
"Kolkata Knight Riders","Javon Searles",2018,"Holkar Cricket Stadium",52,1,24,"All",52,13
"Kolkata Knight Riders","Javon Searles",2018,"Rajiv Gandhi International Stadium",24,1,12,"All",24,12
"Kolkata Knight Riders","Jaydev Unadkat",2010,"Eden Gardens",85,4,62,"All",21.25,8.2258064516129
"Kolkata Knight Riders","Jaydev Unadkat",2011,"Eden Gardens",71,2,48,"All",35.5,8.875
"Kolkata Knight Riders","Jaydev Unadkat",2011,"Feroz Shah Kotla",24,1,24,"All",24,6
"Kolkata Knight Riders","Jaydev Unadkat",2011,"M Chinnaswamy Stadium",30,1,12,"All",30,15
"Kolkata Knight Riders","Jaydev Unadkat",2011,"Nehru Stadium",25,2,24,"All",12.5,6.25
"Kolkata Knight Riders","Jaydev Unadkat",2012,"Eden Gardens",32,0,18,"All",Inf,10.6666666666667
"Kolkata Knight Riders","Jaydev Unadkat",2016,"Wankhede Stadium",49,0,18,"All",Inf,16.3333333333333
"Kolkata Knight Riders","Johan Botha",2015,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",26,0,24,"All",Inf,6.5
"Kolkata Knight Riders","Johan Botha",2015,"Eden Gardens",55,1,36,"All",55,9.16666666666667
"Kolkata Knight Riders","John Hastings",2016,"Eden Gardens",37,2,40,"All",18.5,5.55
"Kolkata Knight Riders","KC Cariappa",2015,"Eden Gardens",28,1,12,"All",28,14
"Kolkata Knight Riders","KC Cariappa",2019,"Rajiv Gandhi International Stadium",34,0,12,"All",Inf,17
"Kolkata Knight Riders","Kamlesh Nagarkoti",2020,"Dubai International Cricket Stadium",71,3,54,"All",23.6666666666667,7.88888888888889
"Kolkata Knight Riders","Kamlesh Nagarkoti",2020,"Sharjah Cricket Stadium",71,1,42,"All",71,10.1428571428571
"Kolkata Knight Riders","Kamlesh Nagarkoti",2020,"Zayed Cricket Stadium",89,1,60,"All",89,8.9
"Kolkata Knight Riders","Kamlesh Nagarkoti",2021,"Wankhede Stadium",25,0,12,"All",Inf,12.5
"Kolkata Knight Riders","Kuldeep Yadav",2016,"Eden Gardens",65,3,48,"All",21.6666666666667,8.125
"Kolkata Knight Riders","Kuldeep Yadav",2016,"Feroz Shah Kotla",35,3,24,"All",11.6666666666667,8.75
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Eden Gardens",143,5,114,"All",28.6,7.52631578947368
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Feroz Shah Kotla",29,0,18,"All",Inf,9.66666666666667
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Maharashtra Cricket Association Stadium",31,2,24,"All",15.5,7.75
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Punjab Cricket Association IS Bindra Stadium",34,2,18,"All",17,11.3333333333333
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Rajiv Gandhi International Stadium",43,0,24,"All",Inf,10.75
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Saurashtra Cricket Association Stadium",25,2,24,"All",12.5,6.25
"Kolkata Knight Riders","Kuldeep Yadav",2017,"Wankhede Stadium",35,1,24,"All",35,8.75
"Kolkata Knight Riders","Kuldeep Yadav",2018,"Eden Gardens",245,12,182,"All",20.4166666666667,8.07692307692308
"Kolkata Knight Riders","Kuldeep Yadav",2018,"Feroz Shah Kotla",22,0,12,"All",Inf,11
"Kolkata Knight Riders","Kuldeep Yadav",2018,"Holkar Cricket Stadium",29,1,12,"All",29,14.5
"Kolkata Knight Riders","Kuldeep Yadav",2018,"M Chinnaswamy Stadium",20,1,24,"All",20,5
