"Bowler","Season","Bowling_Team","Runs","Wickets","Balls","Stadium","Striker","Batting_Team","Average","Economy"
"Musavir Khote",2008,"Mumbai Indians",51,2,30,"All","All","All",25.5,10.2
"Mustafizur Rahman",2016,"Sunrisers Hyderabad",421,17,366,"All","All","All",24.7647058823529,6.9016393442623
"Mustafizur Rahman",2017,"Sunrisers Hyderabad",34,0,16,"All","All","All",Inf,12.75
"Mustafizur Rahman",2018,"Mumbai Indians",230,7,165,"All","All","All",32.8571428571429,8.36363636363636
"Mustafizur Rahman",2021,"Rajasthan Royals",436,14,311,"All","All","All",31.1428571428571,8.41157556270096
"Mustafizur Rahman",2022,"Delhi Capitals",244,8,192,"All","All","All",30.5,7.625
"Muthiah Muralidaran",2008,"Chennai Super Kings",404,11,348,"All","All","All",36.7272727272727,6.96551724137931
"Muthiah Muralidaran",2009,"Chennai Super Kings",261,14,300,"All","All","All",18.6428571428571,5.22
"Muthiah Muralidaran",2010,"Chennai Super Kings",329,15,288,"All","All","All",21.9333333333333,6.85416666666667
"Muthiah Muralidaran",2011,"Kochi Tuskers Kerala",141,2,114,"All","All","All",70.5,7.42105263157895
"Muthiah Muralidaran",2012,"Royal Challengers Bangalore",260,15,240,"All","All","All",17.3333333333333,6.5
"Muthiah Muralidaran",2013,"Royal Challengers Bangalore",177,3,138,"All","All","All",59,7.69565217391304
"Muthiah Muralidaran",2014,"Royal Challengers Bangalore",124,3,96,"All","All","All",41.3333333333333,7.75
"Nathan Coulter-Nile",2013,"Mumbai Indians",29,1,24,"All","All","All",29,7.25
"Nathan Coulter-Nile",2014,"Delhi Capitals",27,2,24,"All","All","All",13.5,6.75
"Nathan Coulter-Nile",2015,"Delhi Capitals",321,15,255,"All","All","All",21.4,7.55294117647059
"Nathan Coulter-Nile",2016,"Delhi Capitals",114,3,90,"All","All","All",38,7.6
"Nathan Coulter-Nile",2017,"Kolkata Knight Riders",228,15,170,"All","All","All",15.2,8.04705882352941
"Nathan Coulter-Nile",2020,"Mumbai Indians",206,5,156,"All","All","All",41.2,7.92307692307692
"Nathan Coulter-Nile",2021,"Mumbai Indians",127,7,120,"All","All","All",18.1428571428571,6.35
"Nathan Coulter-Nile",2022,"Rajasthan Royals",48,0,18,"All","All","All",Inf,16
"Nathan Ellis",2021,"Punjab Kings",90,1,66,"All","All","All",90,8.18181818181818
"Nathan Ellis",2022,"Punjab Kings",55,3,36,"All","All","All",18.3333333333333,9.16666666666667
"Nathan McCullum",2011,"Pune Warriors",34,0,30,"All","All","All",Inf,6.8
"Nathan Rimmington",2011,"Punjab Kings",19,0,18,"All","All","All",Inf,6.33333333333333
"Nathu Singh",2017,"Gujarat Lions",15,1,24,"All","All","All",15,3.75
"Navdeep Saini",2019,"Royal Challengers Bangalore",397,11,288,"All","All","All",36.0909090909091,8.27083333333333
"Navdeep Saini",2020,"Royal Challengers Bangalore",379,6,274,"All","All","All",63.1666666666667,8.2992700729927
"Navdeep Saini",2021,"Royal Challengers Bangalore",52,0,24,"All","All","All",Inf,13
"Navdeep Saini",2022,"Rajasthan Royals",72,3,36,"All","All","All",24,12
"Nayan Doshi",2010,"Royal Challengers Bangalore",17,1,24,"All","All","All",17,4.25
"Nayan Doshi",2011,"Rajasthan Royals",62,1,32,"All","All","All",62,11.625
"Nitish Rana",2016,"Mumbai Indians",3,0,6,"All","All","All",Inf,3
"Nitish Rana",2018,"Kolkata Knight Riders",44,4,37,"All","All","All",11,7.13513513513514
"Nitish Rana",2019,"Kolkata Knight Riders",72,3,48,"All","All","All",24,9
"Nitish Rana",2020,"Kolkata Knight Riders",23,0,12,"All","All","All",Inf,11.5
"Nitish Rana",2021,"Kolkata Knight Riders",12,0,12,"All","All","All",Inf,6
"Nitish Rana",2022,"Kolkata Knight Riders",23,0,12,"All","All","All",Inf,11.5
"Nuwan Kulasekara",2011,"Chennai Super Kings",26,1,18,"All","All","All",26,8.66666666666667
"Nuwan Kulasekara",2012,"Chennai Super Kings",94,4,84,"All","All","All",23.5,6.71428571428571
"Nuwan Zoysa",2008,"Deccan Chargers",99,2,66,"All","All","All",49.5,9
"Obed McCoy",2022,"Rajasthan Royals",237,11,155,"All","All","All",21.5454545454545,9.1741935483871
"Odean Smith",2022,"Punjab Kings",178,6,90,"All","All","All",29.6666666666667,11.8666666666667
"Oshane Thomas",2019,"Rajasthan Royals",79,5,60,"All","All","All",15.8,7.9
"PM Sarvesh Kumar",2008,"Deccan Chargers",42,1,30,"All","All","All",42,8.4
"Padmanabhan Prasanth",2011,"Kochi Tuskers Kerala",18,0,6,"All","All","All",Inf,18
"Paidikalva Vijaykumar",2008,"Deccan Chargers",199,4,152,"All","All","All",49.75,7.85526315789474
"Palani Amarnath",2008,"Chennai Super Kings",236,7,132,"All","All","All",33.7142857142857,10.7272727272727
"Pankaj Singh",2008,"Rajasthan Royals",129,0,72,"All","All","All",Inf,10.75
"Pankaj Singh",2009,"Royal Challengers Bangalore",65,2,42,"All","All","All",32.5,9.28571428571429
