"Bowler","Season","Bowling_Team","Runs","Wickets","Balls","Stadium","Striker","Batting_Team","Average","Economy"
"Shivil Kaushik",2016,"Gujarat Lions",192,6,138,"All","All","All",32,8.34782608695652
"Shivil Kaushik",2017,"Gujarat Lions",105,0,66,"All","All","All",Inf,9.54545454545454
"Shoaib Ahmed",2009,"Deccan Chargers",152,5,102,"All","All","All",30.4,8.94117647058824
"Shoaib Akhtar",2008,"Kolkata Knight Riders",54,5,42,"All","All","All",10.8,7.71428571428572
"Shoaib Malik",2008,"Delhi Capitals",85,2,51,"All","All","All",42.5,10
"Shreyas Gopal",2014,"Mumbai Indians",113,6,84,"All","All","All",18.8333333333333,8.07142857142857
"Shreyas Gopal",2015,"Mumbai Indians",23,1,13,"All","All","All",23,10.6153846153846
"Shreyas Gopal",2016,"Mumbai Indians",18,0,18,"All","All","All",Inf,6
"Shreyas Gopal",2018,"Rajasthan Royals",236,11,186,"All","All","All",21.4545454545455,7.61290322580645
"Shreyas Gopal",2019,"Rajasthan Royals",347,20,288,"All","All","All",17.35,7.22916666666667
"Shreyas Gopal",2020,"Rajasthan Royals",427,10,300,"All","All","All",42.7,8.54
"Shreyas Gopal",2021,"Rajasthan Royals",84,0,42,"All","All","All",Inf,12
"Shreyas Gopal",2022,"Sunrisers Hyderabad",34,1,18,"All","All","All",34,11.3333333333333
"Shreyas Iyer",2022,"Kolkata Knight Riders",7,0,6,"All","All","All",Inf,7
"Shrikant Mundhe",2011,"Pune Warriors",6,1,6,"All","All","All",6,6
"Shrikant Wagh",2010,"Rajasthan Royals",16,1,6,"All","All","All",16,16
"Shrikant Wagh",2011,"Pune Warriors",121,4,96,"All","All","All",30.25,7.5625
"Shubham Agarwal",2017,"Gujarat Lions",42,1,24,"All","All","All",42,10.5
"Siddarth Kaul",2013,"Delhi Capitals",170,4,131,"All","All","All",42.5,7.78625954198473
"Siddarth Kaul",2014,"Delhi Capitals",126,2,78,"All","All","All",63,9.69230769230769
"Siddarth Kaul",2017,"Sunrisers Hyderabad",300,16,214,"All","All","All",18.75,8.41121495327103
"Siddarth Kaul",2018,"Sunrisers Hyderabad",547,21,396,"All","All","All",26.047619047619,8.28787878787879
"Siddarth Kaul",2019,"Sunrisers Hyderabad",242,6,162,"All","All","All",40.3333333333333,8.96296296296296
"Siddarth Kaul",2020,"Sunrisers Hyderabad",64,2,24,"All","All","All",32,16
"Siddarth Kaul",2021,"Sunrisers Hyderabad",247,7,180,"All","All","All",35.2857142857143,8.23333333333333
"Siddarth Kaul",2022,"Royal Challengers Bangalore",43,0,24,"All","All","All",Inf,10.75
"Siddharth Chitnis",2008,"Mumbai Indians",60,2,36,"All","All","All",30,10
"Siddharth Trivedi",2008,"Rajasthan Royals",399,13,288,"All","All","All",30.6923076923077,8.3125
"Siddharth Trivedi",2009,"Rajasthan Royals",152,6,120,"All","All","All",25.3333333333333,7.6
"Siddharth Trivedi",2010,"Rajasthan Royals",260,11,213,"All","All","All",23.6363636363636,7.32394366197183
"Siddharth Trivedi",2011,"Rajasthan Royals",303,10,214,"All","All","All",30.3,8.49532710280374
"Siddharth Trivedi",2012,"Rajasthan Royals",380,13,312,"All","All","All",29.2307692307692,7.30769230769231
"Siddharth Trivedi",2013,"Rajasthan Royals",410,12,359,"All","All","All",34.1666666666667,6.85236768802228
"Simarjeet Singh",2022,"Chennai Super Kings",138,4,108,"All","All","All",34.5,7.66666666666667
"Sohail Tanvir",2008,"Rajasthan Royals",266,22,247,"All","All","All",12.0909090909091,6.46153846153846
"Sourav Ganguly",2008,"Kolkata Knight Riders",128,6,120,"All","All","All",21.3333333333333,6.4
"Sourav Ganguly",2009,"Kolkata Knight Riders",97,2,72,"All","All","All",48.5,8.08333333333333
"Sourav Ganguly",2010,"Kolkata Knight Riders",43,0,24,"All","All","All",Inf,10.75
"Sourav Ganguly",2012,"Pune Warriors",95,2,60,"All","All","All",47.5,9.5
"Sourav Sarkar",2009,"Kolkata Knight Riders",34,1,25,"All","All","All",34,8.16
"Sreenath Aravind",2011,"Royal Challengers Bangalore",368,21,276,"All","All","All",17.5238095238095,8
"Sreenath Aravind",2012,"Royal Challengers Bangalore",48,0,18,"All","All","All",Inf,16
"Sreenath Aravind",2015,"Royal Challengers Bangalore",132,8,108,"All","All","All",16.5,7.33333333333333
"Sreenath Aravind",2016,"Royal Challengers Bangalore",216,11,175,"All","All","All",19.6363636363636,7.40571428571429
"Sreenath Aravind",2017,"Royal Challengers Bangalore",275,5,183,"All","All","All",55,9.01639344262295
"Sreesanth",2008,"Punjab Kings",442,19,307,"All","All","All",23.2631578947368,8.63843648208469
"Sreesanth",2009,"Punjab Kings",192,6,138,"All","All","All",32,8.34782608695652
"Sreesanth",2010,"Punjab Kings",187,4,114,"All","All","All",46.75,9.84210526315789
"Sreesanth",2011,"Kochi Tuskers Kerala",206,7,191,"All","All","All",29.4285714285714,6.47120418848167
"Sreesanth",2013,"Rajasthan Royals",163,5,130,"All","All","All",32.6,7.52307692307692
"Sridharan Sriram",2010,"Royal Challengers Bangalore",24,0,12,"All","All","All",Inf,12
"Sridharan Sriram",2011,"Delhi Capitals",25,0,6,"All","All","All",Inf,25
"Steven Smith",2012,"Pune Warriors",5,0,2,"All","All","All",Inf,15
"Stuart Binny",2010,"Mumbai Indians",9,0,6,"All","All","All",Inf,9
"Stuart Binny",2011,"Rajasthan Royals",44,0,24,"All","All","All",Inf,11
"Stuart Binny",2012,"Rajasthan Royals",78,3,60,"All","All","All",26,7.8
"Stuart Binny",2013,"Rajasthan Royals",162,6,144,"All","All","All",27,6.75
"Stuart Binny",2014,"Rajasthan Royals",64,3,54,"All","All","All",21.3333333333333,7.11111111111111
"Stuart Binny",2015,"Rajasthan Royals",140,5,114,"All","All","All",28,7.36842105263158
"Stuart Binny",2016,"Royal Challengers Bangalore",134,1,102,"All","All","All",134,7.88235294117647
"Stuart Binny",2017,"Royal Challengers Bangalore",50,4,36,"All","All","All",12.5,8.33333333333333
"Stuart Binny",2018,"Rajasthan Royals",33,0,12,"All","All","All",Inf,16.5
"Stuart Binny",2019,"Rajasthan Royals",44,1,42,"All","All","All",44,6.28571428571429
"Sudeep Tyagi",2009,"Chennai Super Kings",136,5,114,"All","All","All",27.2,7.1578947368421
"Sudeep Tyagi",2010,"Chennai Super Kings",159,1,95,"All","All","All",159,10.0421052631579
"Sudhesan Midhun",2019,"Rajasthan Royals",27,0,12,"All","All","All",Inf,13.5
"Sumit Narwal",2010,"Rajasthan Royals",185,5,94,"All","All","All",37,11.8085106382979
"Sumit Narwal",2013,"Kolkata Knight Riders",17,0,12,"All","All","All",Inf,8.5
"Sunil Joshi",2008,"Royal Challengers Bangalore",82,1,55,"All","All","All",82,8.94545454545455
"Sunil Narine",2012,"Kolkata Knight Riders",324,24,355,"All","All","All",13.5,5.47605633802817
"Sunil Narine",2013,"Kolkata Knight Riders",350,22,384,"All","All","All",15.9090909090909,5.46875
"Sunil Narine",2014,"Kolkata Knight Riders",407,21,384,"All","All","All",19.3809523809524,6.359375
"Sunil Narine",2015,"Kolkata Knight Riders",234,7,192,"All","All","All",33.4285714285714,7.3125
"Sunil Narine",2016,"Kolkata Knight Riders",304,11,256,"All","All","All",27.6363636363636,7.125
"Sunil Narine",2017,"Kolkata Knight Riders",412,10,354,"All","All","All",41.2,6.98305084745763
"Sunil Narine",2018,"Kolkata Knight Riders",467,17,366,"All","All","All",27.4705882352941,7.65573770491803
"Sunil Narine",2019,"Kolkata Knight Riders",347,10,266,"All","All","All",34.7,7.82706766917293
"Sunil Narine",2020,"Kolkata Knight Riders",302,5,228,"All","All","All",60.4,7.94736842105263
"Sunil Narine",2021,"Kolkata Knight Riders",361,16,336,"All","All","All",22.5625,6.44642857142857
"Sunil Narine",2022,"Kolkata Knight Riders",312,9,336,"All","All","All",34.6666666666667,5.57142857142857
"Sunny Gupta",2012,"Delhi Capitals",47,0,18,"All","All","All",Inf,15.6666666666667
"Suraj Randiv",2011,"Chennai Super Kings",223,6,174,"All","All","All",37.1666666666667,7.68965517241379
"Suresh Raina",2008,"Chennai Super Kings",30,1,20,"All","All","All",30,9
"Suresh Raina",2009,"Chennai Super Kings",164,7,166,"All","All","All",23.4285714285714,5.92771084337349
"Suresh Raina",2010,"Chennai Super Kings",178,6,143,"All","All","All",29.6666666666667,7.46853146853147
"Suresh Raina",2011,"Chennai Super Kings",201,4,165,"All","All","All",50.25,7.30909090909091
"Suresh Raina",2012,"Chennai Super Kings",105,2,84,"All","All","All",52.5,7.5
"Suresh Raina",2013,"Chennai Super Kings",23,1,12,"All","All","All",23,11.5
"Suresh Raina",2014,"Chennai Super Kings",134,1,108,"All","All","All",134,7.44444444444444
"Suresh Raina",2015,"Chennai Super Kings",93,2,72,"All","All","All",46.5,7.75
"Suresh Raina",2016,"Gujarat Lions",82,0,60,"All","All","All",Inf,8.2
"Suresh Raina",2017,"Gujarat Lions",102,1,72,"All","All","All",102,8.5
"Suresh Raina",2019,"Chennai Super Kings",6,0,6,"All","All","All",Inf,6
"Suryakumar Yadav",2014,"Kolkata Knight Riders",8,0,6,"All","All","All",Inf,8
"Swapnil Singh",2016,"Punjab Kings",29,0,18,"All","All","All",Inf,9.66666666666667
"Swapnil Singh",2017,"Punjab Kings",61,1,42,"All","All","All",61,8.71428571428571
"T Natarajan",2017,"Punjab Kings",115,2,76,"All","All","All",57.5,9.07894736842105
"T Natarajan",2020,"Sunrisers Hyderabad",504,16,377,"All","All","All",31.5,8.02122015915119
"T Natarajan",2021,"Sunrisers Hyderabad",69,2,48,"All","All","All",34.5,8.625
"T Natarajan",2022,"Sunrisers Hyderabad",406,18,258,"All","All","All",22.5555555555556,9.44186046511628
"TP Sudhindra",2012,"Deccan Chargers",136,1,70,"All","All","All",136,11.6571428571429
"Tabraiz Shamsi",2016,"Royal Challengers Bangalore",147,3,96,"All","All","All",49,9.1875
"Tabraiz Shamsi",2021,"Rajasthan Royals",34,0,24,"All","All","All",Inf,8.5
"Tejas Baroka",2017,"Gujarat Lions",33,0,21,"All","All","All",Inf,9.42857142857143
"Thilan Thushara",2009,"Chennai Super Kings",60,3,48,"All","All","All",20,7.5
"Thilan Thushara",2010,"Chennai Super Kings",101,5,87,"All","All","All",20.2,6.96551724137931
"Thisara Perera",2010,"Chennai Super Kings",19,0,6,"All","All","All",Inf,19
"Thisara Perera",2011,"Kochi Tuskers Kerala",111,2,84,"All","All","All",55.5,7.92857142857143
"Thisara Perera",2012,"Mumbai Indians",27,0,15,"All","All","All",Inf,10.8
"Thisara Perera",2013,"Sunrisers Hyderabad",478,19,358,"All","All","All",25.1578947368421,8.01117318435754
"Thisara Perera",2015,"Punjab Kings",55,1,36,"All","All","All",55,9.16666666666667
"Thisara Perera",2016,"Rising Pune Supergiants",326,9,199,"All","All","All",36.2222222222222,9.82914572864322
"Tilak Varma",2022,"Mumbai Indians",13,0,12,"All","All","All",Inf,6.5
"Tillakaratne Dilshan",2008,"Delhi Capitals",3,1,6,"All","All","All",3,3
"Tillakaratne Dilshan",2009,"Delhi Capitals",98,0,96,"All","All","All",Inf,6.125
"Tillakaratne Dilshan",2010,"Delhi Capitals",70,3,49,"All","All","All",23.3333333333333,8.57142857142857
"Tillakaratne Dilshan",2011,"Royal Challengers Bangalore",108,1,72,"All","All","All",108,9
"Tillakaratne Dilshan",2012,"Royal Challengers Bangalore",77,0,42,"All","All","All",Inf,11
"Tillakaratne Dilshan",2013,"Royal Challengers Bangalore",10,0,6,"All","All","All",Inf,10
"Tim Southee",2011,"Chennai Super Kings",166,4,114,"All","All","All",41.5,8.73684210526316
"Tim Southee",2014,"Rajasthan Royals",76,0,60,"All","All","All",Inf,7.6
"Tim Southee",2015,"Rajasthan Royals",247,6,168,"All","All","All",41.1666666666667,8.82142857142857
"Tim Southee",2016,"Mumbai Indians",329,9,258,"All","All","All",36.5555555555556,7.65116279069767
"Tim Southee",2017,"Mumbai Indians",96,3,60,"All","All","All",32,9.6
"Tim Southee",2018,"Royal Challengers Bangalore",261,5,174,"All","All","All",52.2,9
"Tim Southee",2019,"Royal Challengers Bangalore",118,1,54,"All","All","All",118,13.1111111111111
"Tim Southee",2021,"Kolkata Knight Riders",95,3,72,"All","All","All",31.6666666666667,7.91666666666667
"Tim Southee",2022,"Kolkata Knight Riders",275,14,210,"All","All","All",19.6428571428571,7.85714285714286
"Tirumalasetti Suman",2009,"Deccan Chargers",108,5,90,"All","All","All",21.6,7.2
"Tirumalasetti Suman",2010,"Deccan Chargers",24,0,12,"All","All","All",Inf,12
"Tirumalasetti Suman",2011,"Mumbai Indians",50,0,36,"All","All","All",Inf,8.33333333333333
"Tirumalasetti Suman",2013,"Pune Warriors",15,1,12,"All","All","All",15,7.5
"Tom Curran",2018,"Kolkata Knight Riders",118,6,61,"All","All","All",19.6666666666667,11.6065573770492
"Tom Curran",2020,"Rajasthan Royals",208,3,109,"All","All","All",69.3333333333333,11.4495412844037
"Tom Curran",2021,"Delhi Capitals",104,4,68,"All","All","All",26,9.17647058823529
"Travis Head",2017,"Royal Challengers Bangalore",81,2,48,"All","All","All",40.5,10.125
"Trent Boult",2015,"Sunrisers Hyderabad",236,9,168,"All","All","All",26.2222222222222,8.42857142857143
"Trent Boult",2016,"Sunrisers Hyderabad",39,1,24,"All","All","All",39,9.75
"Trent Boult",2017,"Kolkata Knight Riders",216,5,143,"All","All","All",43.2,9.06293706293706
"Trent Boult",2018,"Delhi Capitals",466,18,316,"All","All","All",25.8888888888889,8.84810126582279
"Trent Boult",2019,"Delhi Capitals",163,5,114,"All","All","All",32.6,8.57894736842105
"Trent Boult",2020,"Mumbai Indians",457,25,344,"All","All","All",18.28,7.97093023255814
"Trent Boult",2021,"Mumbai Indians",406,13,308,"All","All","All",31.2307692307692,7.90909090909091
"Trent Boult",2022,"Rajasthan Royals",492,16,372,"All","All","All",30.75,7.93548387096774
"Tushar Deshpande",2020,"Delhi Capitals",192,3,102,"All","All","All",64,11.2941176470588
"Tushar Deshpande",2022,"Chennai Super Kings",63,1,42,"All","All","All",63,9
"Tymal Mills",2017,"Royal Challengers Bangalore",153,5,107,"All","All","All",30.6,8.57943925233645
"Tymal Mills",2022,"Mumbai Indians",190,6,102,"All","All","All",31.6666666666667,11.1764705882353
"Tyron Henderson",2009,"Rajasthan Royals",40,1,36,"All","All","All",40,6.66666666666667
"Umar Gul",2008,"Kolkata Knight Riders",184,12,135,"All","All","All",15.3333333333333,8.17777777777778
"Umesh Yadav",2010,"Delhi Capitals",184,6,144,"All","All","All",30.6666666666667,7.66666666666667
"Umesh Yadav",2011,"Delhi Capitals",169,2,108,"All","All","All",84.5,9.38888888888889
"Umesh Yadav",2012,"Delhi Capitals",452,19,366,"All","All","All",23.7894736842105,7.40983606557377
"Umesh Yadav",2013,"Delhi Capitals",508,16,347,"All","All","All",31.75,8.78386167146974
"Umesh Yadav",2014,"Kolkata Knight Riders",367,11,270,"All","All","All",33.3636363636364,8.15555555555556
"Umesh Yadav",2015,"Kolkata Knight Riders",382,10,252,"All","All","All",38.2,9.09523809523809
"Umesh Yadav",2016,"Kolkata Knight Riders",234,10,156,"All","All","All",23.4,9
"Umesh Yadav",2017,"Kolkata Knight Riders",410,17,291,"All","All","All",24.1176470588235,8.45360824742268
"Umesh Yadav",2018,"Royal Challengers Bangalore",418,20,319,"All","All","All",20.9,7.86206896551724
"Umesh Yadav",2019,"Royal Challengers Bangalore",371,8,227,"All","All","All",46.375,9.80616740088106
"Umesh Yadav",2020,"Royal Challengers Bangalore",83,0,42,"All","All","All",Inf,11.8571428571429
"Umesh Yadav",2022,"Kolkata Knight Riders",339,16,288,"All","All","All",21.1875,7.0625
"Umran Malik",2021,"Sunrisers Hyderabad",96,2,72,"All","All","All",48,8
"Umran Malik",2022,"Sunrisers Hyderabad",444,22,295,"All","All","All",20.1818181818182,9.03050847457627
"Vaibhav Arora",2022,"Punjab Kings",164,3,107,"All","All","All",54.6666666666667,9.19626168224299
"Varun Aaron",2011,"Delhi Capitals",82,2,72,"All","All","All",41,6.83333333333333
"Varun Aaron",2012,"Delhi Capitals",271,8,186,"All","All","All",33.875,8.74193548387097
"Varun Aaron",2014,"Royal Challengers Bangalore",299,16,220,"All","All","All",18.6875,8.15454545454545
"Varun Aaron",2015,"Royal Challengers Bangalore",177,3,104,"All","All","All",59,10.2115384615385
"Varun Aaron",2016,"Royal Challengers Bangalore",227,2,142,"All","All","All",113.5,9.59154929577465
"Varun Aaron",2017,"Punjab Kings",163,7,120,"All","All","All",23.2857142857143,8.15
"Varun Aaron",2019,"Rajasthan Royals",116,4,72,"All","All","All",29,9.66666666666667
"Varun Aaron",2020,"Rajasthan Royals",94,0,48,"All","All","All",Inf,11.75
"Varun Aaron",2022,"Gujarat Titans",52,2,30,"All","All","All",26,10.4
"Varun Chakravarthy",2019,"Punjab Kings",35,1,18,"All","All","All",35,11.6666666666667
"Varun Chakravarthy",2020,"Kolkata Knight Riders",356,17,312,"All","All","All",20.9411764705882,6.84615384615385
"Varun Chakravarthy",2021,"Kolkata Knight Riders",448,18,408,"All","All","All",24.8888888888889,6.58823529411765
"Varun Chakravarthy",2022,"Kolkata Knight Riders",332,6,234,"All","All","All",55.3333333333333,8.51282051282051
"Veer Pratap Singh",2012,"Deccan Chargers",296,10,204,"All","All","All",29.6,8.70588235294118
"Venkatesh Iyer",2021,"Kolkata Knight Riders",69,3,51,"All","All","All",23,8.11764705882353
"Venkatesh Iyer",2022,"Kolkata Knight Riders",46,0,24,"All","All","All",Inf,11.5
"Venugopal Rao",2008,"Deccan Chargers",137,2,84,"All","All","All",68.5,9.78571428571428
"Venugopal Rao",2009,"Deccan Chargers",122,4,90,"All","All","All",30.5,8.13333333333333
"Venugopal Rao",2010,"Deccan Chargers",10,0,6,"All","All","All",Inf,10
"Venugopal Rao",2011,"Delhi Capitals",26,0,12,"All","All","All",Inf,13
"Venugopal Rao",2012,"Delhi Capitals",26,0,12,"All","All","All",Inf,13
"Venugopal Rao",2014,"Sunrisers Hyderabad",16,0,12,"All","All","All",Inf,8
"Vidyut Sivaramakrishnan",2008,"Chennai Super Kings",22,1,12,"All","All","All",22,11
"Vijay Shankar",2014,"Chennai Super Kings",19,0,6,"All","All","All",Inf,19
"Vijay Shankar",2018,"Delhi Capitals",58,1,30,"All","All","All",58,11.6
"Vijay Shankar",2019,"Sunrisers Hyderabad",70,1,48,"All","All","All",70,8.75
"Vijay Shankar",2020,"Sunrisers Hyderabad",82,4,79,"All","All","All",20.5,6.22784810126582
"Vijay Shankar",2021,"Sunrisers Hyderabad",100,3,66,"All","All","All",33.3333333333333,9.09090909090909
"Vijay Shankar",2022,"Gujarat Titans",15,0,9,"All","All","All",Inf,10
"Vikram Singh",2008,"Punjab Kings",420,11,288,"All","All","All",38.1818181818182,8.75
"Vikram Singh",2009,"Punjab Kings",82,1,54,"All","All","All",82,9.11111111111111
"Vikram Singh",2010,"Punjab Kings",40,0,18,"All","All","All",Inf,13.3333333333333
"Vikramjeet Malik",2009,"Punjab Kings",98,2,72,"All","All","All",49,8.16666666666667
"Vikramjeet Malik",2010,"Punjab Kings",62,1,43,"All","All","All",62,8.65116279069767
"Vikramjeet Malik",2011,"Punjab Kings",13,0,12,"All","All","All",Inf,6.5
"Vikramjeet Malik",2013,"Rajasthan Royals",59,2,60,"All","All","All",29.5,5.9
"Vikramjeet Malik",2014,"Rajasthan Royals",29,1,18,"All","All","All",29,9.66666666666667
"Vikrant Yeligati",2008,"Mumbai Indians",59,0,30,"All","All","All",Inf,11.8
"Vinay Kumar",2008,"Royal Challengers Bangalore",182,5,138,"All","All","All",36.4,7.91304347826087
"Vinay Kumar",2009,"Royal Challengers Bangalore",271,9,194,"All","All","All",30.1111111111111,8.38144329896907
"Vinay Kumar",2010,"Royal Challengers Bangalore",396,16,277,"All","All","All",24.75,8.57761732851986
"Vinay Kumar",2011,"Kochi Tuskers Kerala",335,12,268,"All","All","All",27.9166666666667,7.5
"Vinay Kumar",2012,"Royal Challengers Bangalore",480,19,335,"All","All","All",25.2631578947368,8.59701492537313
"Vinay Kumar",2013,"Royal Challengers Bangalore",493,23,361,"All","All","All",21.4347826086957,8.19390581717452
"Vinay Kumar",2014,"Kolkata Knight Riders",281,7,192,"All","All","All",40.1428571428571,8.78125
"Vinay Kumar",2015,"Mumbai Indians",368,7,261,"All","All","All",52.5714285714286,8.45977011494253
"Vinay Kumar",2016,"Mumbai Indians",64,3,54,"All","All","All",21.3333333333333,7.11111111111111
"Vinay Kumar",2017,"Mumbai Indians",31,2,18,"All","All","All",15.5,10.3333333333333
"Vinay Kumar",2018,"Kolkata Knight Riders",65,2,23,"All","All","All",32.5,16.9565217391304
"Virat Kohli",2008,"Royal Challengers Bangalore",61,2,46,"All","All","All",30.5,7.95652173913043
"Virat Kohli",2009,"Royal Challengers Bangalore",46,0,36,"All","All","All",Inf,7.66666666666667
"Virat Kohli",2010,"Royal Challengers Bangalore",50,0,32,"All","All","All",Inf,9.375
"Virat Kohli",2011,"Royal Challengers Bangalore",139,2,102,"All","All","All",69.5,8.17647058823529
"Virat Kohli",2012,"Royal Challengers Bangalore",49,0,18,"All","All","All",Inf,16.3333333333333
"Virat Kohli",2015,"Royal Challengers Bangalore",10,0,11,"All","All","All",Inf,5.45454545454545
"Virat Kohli",2016,"Royal Challengers Bangalore",13,0,6,"All","All","All",Inf,13
"Virender Sehwag",2008,"Delhi Capitals",133,3,66,"All","All","All",44.3333333333333,12.0909090909091
"Virender Sehwag",2009,"Delhi Capitals",25,0,6,"All","All","All",Inf,25
"Virender Sehwag",2010,"Delhi Capitals",23,3,34,"All","All","All",7.66666666666667,4.05882352941176
"Virender Sehwag",2012,"Delhi Capitals",45,0,24,"All","All","All",Inf,11.25
"Virender Sehwag",2013,"Delhi Capitals",9,0,6,"All","All","All",Inf,9
"Wanindu Hasaranga de Silva",2021,"Royal Challengers Bangalore",60,0,36,"All","All","All",Inf,10
"Wanindu Hasaranga de Silva",2022,"Royal Challengers Bangalore",430,26,342,"All","All","All",16.5384615384615,7.54385964912281
"Washington Sundar",2017,"Rising Pune Supergiants",185,8,180,"All","All","All",23.125,6.16666666666667
"Washington Sundar",2018,"Royal Challengers Bangalore",192,4,120,"All","All","All",48,9.6
"Washington Sundar",2019,"Royal Challengers Bangalore",74,4,54,"All","All","All",18.5,8.22222222222222
"Washington Sundar",2020,"Royal Challengers Bangalore",298,8,300,"All","All","All",37.25,5.96
"Washington Sundar",2021,"Royal Challengers Bangalore",118,3,96,"All","All","All",39.3333333333333,7.375
"Washington Sundar",2022,"Sunrisers Hyderabad",239,6,168,"All","All","All",39.8333333333333,8.53571428571429
"Wayne Parnell",2011,"Pune Warriors",213,9,176,"All","All","All",23.6666666666667,7.26136363636364
"Wayne Parnell",2012,"Pune Warriors",128,5,126,"All","All","All",25.6,6.09523809523809
"Wayne Parnell",2013,"Pune Warriors",137,7,89,"All","All","All",19.5714285714286,9.23595505617978
"Wayne Parnell",2014,"Delhi Capitals",223,6,181,"All","All","All",37.1666666666667,7.39226519337017
"Wilkin Mota",2008,"Punjab Kings",36,1,18,"All","All","All",36,12
"Wilkin Mota",2009,"Punjab Kings",61,3,54,"All","All","All",20.3333333333333,6.77777777777778
"Yash Dayal",2022,"Gujarat Titans",296,11,192,"All","All","All",26.9090909090909,9.25
"Yashasvi Jaiswal",2022,"Rajasthan Royals",6,0,1,"All","All","All",Inf,36
"Yo Mahesh",2008,"Delhi Capitals",370,16,253,"All","All","All",23.125,8.77470355731225
"Yo Mahesh",2009,"Delhi Capitals",25,1,12,"All","All","All",25,12.5
"Yo Mahesh",2010,"Delhi Capitals",23,1,18,"All","All","All",23,7.66666666666667
"Yo Mahesh",2012,"Chennai Super Kings",81,3,56,"All","All","All",27,8.67857142857143
"Yogesh Nagar",2009,"Delhi Capitals",20,2,12,"All","All","All",10,10
"Yogesh Nagar",2010,"Delhi Capitals",28,1,18,"All","All","All",28,9.33333333333333
"Yogesh Nagar",2011,"Delhi Capitals",67,1,30,"All","All","All",67,13.4
"Yogesh Nagar",2012,"Delhi Capitals",10,0,6,"All","All","All",Inf,10
"Yusuf Abdulla",2009,"Punjab Kings",241,14,168,"All","All","All",17.2142857142857,8.60714285714286
"Yusuf Abdulla",2010,"Punjab Kings",66,1,41,"All","All","All",66,9.65853658536586
"Yusuf Pathan",2008,"Rajasthan Royals",230,8,169,"All","All","All",28.75,8.16568047337278
"Yusuf Pathan",2009,"Rajasthan Royals",243,7,210,"All","All","All",34.7142857142857,6.94285714285714
"Yusuf Pathan",2010,"Rajasthan Royals",246,5,204,"All","All","All",49.2,7.23529411764706
"Yusuf Pathan",2011,"Kolkata Knight Riders",238,13,234,"All","All","All",18.3076923076923,6.1025641025641
"Yusuf Pathan",2012,"Kolkata Knight Riders",182,3,132,"All","All","All",60.6666666666667,8.27272727272727
"Yusuf Pathan",2013,"Kolkata Knight Riders",73,1,54,"All","All","All",73,8.11111111111111
"Yusuf Pathan",2014,"Kolkata Knight Riders",10,0,6,"All","All","All",Inf,10
"Yusuf Pathan",2015,"Kolkata Knight Riders",97,2,60,"All","All","All",48.5,9.7
"Yusuf Pathan",2016,"Kolkata Knight Riders",33,1,36,"All","All","All",33,5.5
"Yusuf Pathan",2017,"Kolkata Knight Riders",41,1,24,"All","All","All",41,10.25
"Yusuf Pathan",2018,"Sunrisers Hyderabad",14,1,12,"All","All","All",14,7
"Yusuf Pathan",2019,"Sunrisers Hyderabad",8,0,6,"All","All","All",Inf,8
"Yuvraj Singh",2008,"Punjab Kings",83,3,54,"All","All","All",27.6666666666667,9.22222222222222
"Yuvraj Singh",2009,"Punjab Kings",142,6,120,"All","All","All",23.6666666666667,7.1
"Yuvraj Singh",2010,"Punjab Kings",152,5,138,"All","All","All",30.4,6.60869565217391
"Yuvraj Singh",2011,"Pune Warriors",192,9,174,"All","All","All",21.3333333333333,6.62068965517241
"Yuvraj Singh",2013,"Pune Warriors",152,6,132,"All","All","All",25.3333333333333,6.90909090909091
"Yuvraj Singh",2014,"Royal Challengers Bangalore",187,5,136,"All","All","All",37.4,8.25
"Yuvraj Singh",2015,"Delhi Capitals",72,1,54,"All","All","All",72,8
"Yuvraj Singh",2016,"Sunrisers Hyderabad",52,0,37,"All","All","All",Inf,8.43243243243243
"Yuvraj Singh",2017,"Sunrisers Hyderabad",22,1,12,"All","All","All",22,11
"Yuvraj Singh",2018,"Punjab Kings",23,0,12,"All","All","All",Inf,11.5
"Yuzvendra Chahal",2013,"Mumbai Indians",34,0,24,"All","All","All",Inf,8.5
"Yuzvendra Chahal",2014,"Royal Challengers Bangalore",386,12,330,"All","All","All",32.1666666666667,7.01818181818182
"Yuzvendra Chahal",2015,"Royal Challengers Bangalore",415,23,281,"All","All","All",18.0434782608696,8.86120996441281
"Yuzvendra Chahal",2016,"Royal Challengers Bangalore",401,21,295,"All","All","All",19.0952380952381,8.15593220338983
"Yuzvendra Chahal",2017,"Royal Challengers Bangalore",333,14,261,"All","All","All",23.7857142857143,7.6551724137931
"Yuzvendra Chahal",2018,"Royal Challengers Bangalore",363,12,300,"All","All","All",30.25,7.26
"Yuzvendra Chahal",2019,"Royal Challengers Bangalore",386,18,296,"All","All","All",21.4444444444444,7.82432432432432
"Yuzvendra Chahal",2020,"Royal Challengers Bangalore",405,21,343,"All","All","All",19.2857142857143,7.08454810495627
"Yuzvendra Chahal",2021,"Royal Challengers Bangalore",374,18,318,"All","All","All",20.7777777777778,7.05660377358491
"Yuzvendra Chahal",2022,"Rajasthan Royals",527,27,408,"All","All","All",19.5185185185185,7.75
"Zaheer Khan",2008,"Royal Challengers Bangalore",357,14,252,"All","All","All",25.5,8.5
