"Bowling_Team","Bowler","Runs","Wickets","Balls","Batting_Team","Stadium","Season","Average","Economy"
"Rajasthan Royals","Glenn Phillips",20,1,12,"All","All","All",20,10
"Rajasthan Royals","Harmeet Singh",34,1,24,"All","All","All",34,8.5
"Rajasthan Royals","Iqbal Abdulla",17,0,12,"All","All","All",Inf,8.5
"Rajasthan Royals","Ish Sodhi",202,9,181,"All","All","All",22.4444444444444,6.69613259668508
"Rajasthan Royals","Jacob Oram",45,1,24,"All","All","All",45,11.25
"Rajasthan Royals","James Faulkner",1272,47,907,"All","All","All",27.063829787234,8.41455347298787
"Rajasthan Royals","James Neesham",29,0,18,"All","All","All",Inf,9.66666666666667
"Rajasthan Royals","Jaydev Unadkat",1280,29,796,"All","All","All",44.1379310344828,9.64824120603015
"Rajasthan Royals","Jofra Archer",981,46,825,"All","All","All",21.3260869565217,7.13454545454545
"Rajasthan Royals","Johan Botha",610,19,534,"All","All","All",32.1052631578947,6.85393258426966
"Rajasthan Royals","Kamran Khan",177,9,142,"All","All","All",19.6666666666667,7.47887323943662
"Rajasthan Royals","Kane Richardson",206,9,162,"All","All","All",22.8888888888889,7.62962962962963
"Rajasthan Royals","Kartik Tyagi",491,13,313,"All","All","All",37.7692307692308,9.41214057507987
"Rajasthan Royals","Kevon Cooper",757,33,576,"All","All","All",22.9393939393939,7.88541666666667
"Rajasthan Royals","Krishnappa Gowtham",478,12,360,"All","All","All",39.8333333333333,7.96666666666667
"Rajasthan Royals","Kuldeep Sen",237,8,151,"All","All","All",29.625,9.41721854304636
"Rajasthan Royals","Kuldip Yadav",16,0,12,"All","All","All",Inf,8
"Rajasthan Royals","Lee Carseldine",6,1,6,"All","All","All",6,6
"Rajasthan Royals","Liam Livingstone",13,0,6,"All","All","All",Inf,13
"Rajasthan Royals","Mahipal Lomror",74,1,60,"All","All","All",74,7.4
"Rajasthan Royals","Mayank Markande",26,0,18,"All","All","All",Inf,8.66666666666667
"Rajasthan Royals","Morne Morkel",106,0,84,"All","All","All",Inf,7.57142857142857
"Rajasthan Royals","Munaf Patel",779,33,617,"All","All","All",23.6060606060606,7.57536466774716
"Rajasthan Royals","Mustafizur Rahman",436,14,311,"All","All","All",31.1428571428571,8.41157556270096
"Rajasthan Royals","Nathan Coulter-Nile",48,0,18,"All","All","All",Inf,16
"Rajasthan Royals","Navdeep Saini",72,3,36,"All","All","All",24,12
"Rajasthan Royals","Nayan Doshi",62,1,32,"All","All","All",62,11.625
"Rajasthan Royals","Obed McCoy",237,11,155,"All","All","All",21.5454545454545,9.1741935483871
"Rajasthan Royals","Oshane Thomas",79,5,60,"All","All","All",15.8,7.9
"Rajasthan Royals","Pankaj Singh",322,7,210,"All","All","All",46,9.2
"Rajasthan Royals","Prasidh Krishna",551,19,399,"All","All","All",29,8.28571428571428
"Rajasthan Royals","Pravin Tambe",710,23,564,"All","All","All",30.8695652173913,7.5531914893617
"Rajasthan Royals","Rahul Shukla",79,3,48,"All","All","All",26.3333333333333,9.875
"Rajasthan Royals","Rahul Tewatia",756,21,570,"All","All","All",36,7.95789473684211
"Rajasthan Royals","Rajat Bhatia",329,12,258,"All","All","All",27.4166666666667,7.65116279069767
"Rajasthan Royals","Ravichandran Ashwin",503,12,402,"All","All","All",41.9166666666667,7.50746268656716
"Rajasthan Royals","Ravindra Jadeja",172,6,153,"All","All","All",28.6666666666667,6.74509803921569
"Rajasthan Royals","Riyan Parag",280,4,157,"All","All","All",70,10.7006369426752
