"Striker","Season","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Bowling_Team","Batting_Team","Average","Strike_Rate"
"Adam Zampa",2017,"Maharashtra Cricket Association Stadium",5,1,7,0,"All","All","All",5,71.4285714285714
"Aditya Dole",2010,"Sawai Mansingh Stadium",30,1,18,0,"All","All","All",30,166.666666666667
"Aditya Dole",2010,"Vidarbha Cricket Association Stadium",4,1,4,0,"All","All","All",4,100
"Aditya Tare",2010,"Brabourne Stadium",32,2,23,0,"All","All","All",16,139.130434782609
"Aditya Tare",2010,"Eden Gardens",1,1,3,0,"All","All","All",1,33.3333333333333
"Aditya Tare",2010,"Feroz Shah Kotla",17,1,10,0,"All","All","All",17,170
"Aditya Tare",2013,"Eden Gardens",35,2,28,0,"All","All","All",17.5,125
"Aditya Tare",2013,"Feroz Shah Kotla",7,1,7,0,"All","All","All",7,100
"Aditya Tare",2013,"Himachal Pradesh Cricket Association Stadium",22,1,12,0,"All","All","All",22,183.333333333333
"Aditya Tare",2013,"Wankhede Stadium",59,1,37,0,"All","All","All",59,159.459459459459
"Aditya Tare",2014,"Barabati Stadium",2,0,3,0,"All","All","All",Inf,66.6666666666667
"Aditya Tare",2014,"Brabourne Stadium",0,1,1,0,"All","All","All",0,0
"Aditya Tare",2014,"Dubai International Cricket Stadium",47,3,42,0,"All","All","All",15.6666666666667,111.904761904762
"Aditya Tare",2014,"Sharjah Cricket Stadium",8,1,10,0,"All","All","All",8,80
"Aditya Tare",2014,"Sheikh Zayed Stadium",24,1,22,0,"All","All","All",24,109.090909090909
"Aditya Tare",2014,"Wankhede Stadium",45,2,20,0,"All","All","All",22.5,225
"Aditya Tare",2015,"Eden Gardens",7,1,7,0,"All","All","All",7,100
"Aditya Tare",2015,"Wankhede Stadium",7,1,10,0,"All","All","All",7,70
"Aditya Tare",2016,"Rajiv Gandhi International Stadium",8,2,15,1,"All","All","All",4,53.3333333333333
"Aditya Tare",2017,"M Chinnaswamy Stadium",18,1,17,0,"All","All","All",18,105.882352941176
"Aditya Tare",2017,"Maharashtra Cricket Association Stadium",0,1,5,0,"All","All","All",0,0
"Aditya Tare",2017,"Wankhede Stadium",0,1,1,1,"All","All","All",0,0
"Adrian Barath",2010,"Barabati Stadium",7,1,10,0,"All","All","All",7,70
"Adrian Barath",2010,"Feroz Shah Kotla",2,0,5,0,"All","All","All",Inf,40
"Adrian Barath",2010,"Punjab Cricket Association Stadium",33,1,27,0,"All","All","All",33,122.222222222222
"Aiden Blizzard",2011,"Dr DY Patil Sports Academy",6,1,6,0,"All","All","All",6,100
"Aiden Blizzard",2011,"MA Chidambaram Stadium",10,1,11,0,"All","All","All",10,90.9090909090909
"Aiden Blizzard",2011,"Punjab Cricket Association Stadium",15,1,10,0,"All","All","All",15,150
"Aiden Blizzard",2011,"Wankhede Stadium",89,3,60,0,"All","All","All",29.6666666666667,148.333333333333
"Aiden Blizzard",2012,"Feroz Shah Kotla",0,1,3,0,"All","All","All",0,0
"Aiden Markram",2021,"Dubai International Cricket Stadium",57,2,44,0,"All","All","All",28.5,129.545454545455
"Aiden Markram",2021,"Sharjah Cricket Stadium",47,2,46,0,"All","All","All",23.5,102.173913043478
"Aiden Markram",2021,"Zayed Cricket Stadium",42,1,29,0,"All","All","All",42,144.827586206897
"Aiden Markram",2022,"Brabourne Stadium",110,1,61,0,"All","All","All",110,180.327868852459
"Aiden Markram",2022,"Dr DY Patil Sports Academy",65,1,49,0,"All","All","All",65,132.65306122449
"Aiden Markram",2022,"Maharashtra Cricket Association Stadium",106,2,76,0,"All","All","All",53,139.473684210526
"Aiden Markram",2022,"Wankhede Stadium",100,4,88,0,"All","All","All",25,113.636363636364
"Ajantha Mendis",2009,"St George's Park",0,1,1,0,"All","All","All",0,0
"Ajantha Mendis",2010,"M Chinnaswamy Stadium",1,0,1,0,"All","All","All",Inf,100
"Ajantha Mendis",2013,"Subrata Roy Sahara Stadium",2,1,4,0,"All","All","All",2,50
"Ajinkya Rahane",2008,"Dr DY Patil Sports Academy",0,1,7,0,"All","All","All",0,0
"Ajinkya Rahane",2008,"Eden Gardens",4,1,10,0,"All","All","All",4,40
"Ajinkya Rahane",2009,"Buffalo Park",22,2,20,0,"All","All","All",11,110
"Ajinkya Rahane",2009,"Kingsmead",3,1,7,0,"All","All","All",3,42.8571428571429
"Ajinkya Rahane",2009,"New Wanderers Stadium",0,1,1,0,"All","All","All",0,0
"Ajinkya Rahane",2009,"St George's Park",62,0,49,0,"All","All","All",Inf,126.530612244898
"Ajinkya Rahane",2009,"SuperSport Park",57,2,46,0,"All","All","All",28.5,123.913043478261
"Ajinkya Rahane",2011,"Eden Gardens",6,1,9,0,"All","All","All",6,66.6666666666667
"Ajinkya Rahane",2011,"Holkar Cricket Stadium",8,1,9,0,"All","All","All",8,88.8888888888889
"Ajinkya Rahane",2011,"MA Chidambaram Stadium",4,1,8,0,"All","All","All",4,50
"Ajinkya Rahane",2011,"Sawai Mansingh Stadium",102,3,72,1,"All","All","All",34,141.666666666667
"Ajinkya Rahane",2012,"Eden Gardens",19,1,16,0,"All","All","All",19,118.75
"Ajinkya Rahane",2012,"Feroz Shah Kotla",84,0,63,0,"All","All","All",Inf,133.333333333333
"Ajinkya Rahane",2012,"M Chinnaswamy Stadium",103,0,60,0,"All","All","All",Inf,171.666666666667
"Ajinkya Rahane",2012,"MA Chidambaram Stadium",15,1,10,0,"All","All","All",15,150
"Ajinkya Rahane",2012,"Punjab Cricket Association Stadium",5,1,6,0,"All","All","All",5,83.3333333333333
"Ajinkya Rahane",2012,"Rajiv Gandhi International Stadium",6,1,7,0,"All","All","All",6,85.7142857142857
"Ajinkya Rahane",2012,"Sawai Mansingh Stadium",288,7,237,0,"All","All","All",41.1428571428571,121.518987341772
"Ajinkya Rahane",2012,"Subrata Roy Sahara Stadium",0,1,3,0,"All","All","All",0,0
"Ajinkya Rahane",2012,"Wankhede Stadium",40,1,31,0,"All","All","All",40,129.032258064516
"Ajinkya Rahane",2013,"Eden Gardens",27,2,28,0,"All","All","All",13.5,96.4285714285714
"Ajinkya Rahane",2013,"Feroz Shah Kotla",46,2,44,0,"All","All","All",23,104.545454545455
"Ajinkya Rahane",2013,"M Chinnaswamy Stadium",14,1,13,0,"All","All","All",14,107.692307692308
"Ajinkya Rahane",2013,"MA Chidambaram Stadium",16,1,15,0,"All","All","All",16,106.666666666667
"Ajinkya Rahane",2013,"Punjab Cricket Association Stadium",59,0,49,0,"All","All","All",Inf,120.408163265306
"Ajinkya Rahane",2013,"Rajiv Gandhi International Stadium",12,1,25,0,"All","All","All",12,48
"Ajinkya Rahane",2013,"Sawai Mansingh Stadium",280,5,249,0,"All","All","All",56,112.449799196787
"Ajinkya Rahane",2013,"Subrata Roy Sahara Stadium",30,1,27,0,"All","All","All",30,111.111111111111
"Ajinkya Rahane",2013,"Wankhede Stadium",4,1,8,0,"All","All","All",4,50
"Ajinkya Rahane",2014,"Dubai International Cricket Stadium",15,1,12,0,"All","All","All",15,125
"Ajinkya Rahane",2014,"Feroz Shah Kotla",12,1,10,0,"All","All","All",12,120
"Ajinkya Rahane",2014,"JSCA International Stadium Complex",4,1,7,1,"All","All","All",4,57.1428571428571
"Ajinkya Rahane",2014,"M Chinnaswamy Stadium",24,1,22,0,"All","All","All",24,109.090909090909
"Ajinkya Rahane",2014,"Punjab Cricket Association Stadium",23,1,26,0,"All","All","All",23,88.4615384615385
"Ajinkya Rahane",2014,"Sardar Patel Stadium",94,2,75,0,"All","All","All",47,125.333333333333
"Ajinkya Rahane",2014,"Sharjah Cricket Stadium",13,1,8,1,"All","All","All",13,162.5
"Ajinkya Rahane",2014,"Sheikh Zayed Stadium",154,3,131,0,"All","All","All",51.3333333333333,117.557251908397
"Ajinkya Rahane",2015,"Brabourne Stadium",136,2,82,1,"All","All","All",68,165.853658536585
"Ajinkya Rahane",2015,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",62,1,56,0,"All","All","All",62,110.714285714286
"Ajinkya Rahane",2015,"Feroz Shah Kotla",47,1,39,0,"All","All","All",47,120.512820512821
