"Batting_Team","Striker","Bowling_Team","Stadium","Runs","Dismissed","Balls","Season","Average","Strike_Rate"
"Chennai Super Kings","Joginder Sharma","Rajasthan Royals","Sawai Mansingh Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Justin Kemp","Deccan Chargers","MA Chidambaram Stadium",22,1,16,"All",22,137.5
"Chennai Super Kings","Justin Kemp","Delhi Capitals","Feroz Shah Kotla",4,1,8,"All",4,50
"Chennai Super Kings","Kedar Jadhav","Delhi Capitals","Dubai International Cricket Stadium",26,1,21,"All",26,123.809523809524
"Chennai Super Kings","Kedar Jadhav","Delhi Capitals","Feroz Shah Kotla",27,1,34,"All",27,79.4117647058823
"Chennai Super Kings","Kedar Jadhav","Kolkata Knight Riders","Eden Gardens",20,1,12,"All",20,166.666666666667
"Chennai Super Kings","Kedar Jadhav","Kolkata Knight Riders","MA Chidambaram Stadium",8,0,8,"All",Inf,100
"Chennai Super Kings","Kedar Jadhav","Kolkata Knight Riders","Zayed Cricket Stadium",7,0,12,"All",Inf,58.3333333333333
"Chennai Super Kings","Kedar Jadhav","Mumbai Indians","MA Chidambaram Stadium",6,1,11,"All",6,54.5454545454545
"Chennai Super Kings","Kedar Jadhav","Mumbai Indians","Wankhede Stadium",82,1,76,"All",82,107.894736842105
"Chennai Super Kings","Kedar Jadhav","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",0,1,1,"All",0,0
"Chennai Super Kings","Kedar Jadhav","Rajasthan Royals","MA Chidambaram Stadium",8,1,3,"All",8,266.666666666667
"Chennai Super Kings","Kedar Jadhav","Rajasthan Royals","Sawai Mansingh Stadium",1,1,6,"All",1,16.6666666666667
"Chennai Super Kings","Kedar Jadhav","Rajasthan Royals","Sharjah Cricket Stadium",22,1,16,"All",22,137.5
"Chennai Super Kings","Kedar Jadhav","Rajasthan Royals","Zayed Cricket Stadium",4,0,7,"All",Inf,57.1428571428571
"Chennai Super Kings","Kedar Jadhav","Royal Challengers Bangalore","M Chinnaswamy Stadium",9,1,9,"All",9,100
"Chennai Super Kings","Kedar Jadhav","Royal Challengers Bangalore","MA Chidambaram Stadium",13,0,19,"All",Inf,68.4210526315789
"Chennai Super Kings","Kedar Jadhav","Sunrisers Hyderabad","Dubai International Cricket Stadium",3,1,10,"All",3,30
"Chennai Super Kings","Kedar Jadhav","Sunrisers Hyderabad","MA Chidambaram Stadium",11,0,10,"All",Inf,110
"Chennai Super Kings","Kedar Jadhav","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",1,1,2,"All",1,50
"Chennai Super Kings","Lakshmipathy Balaji","Deccan Chargers","MA Chidambaram Stadium",15,1,10,"All",15,150
"Chennai Super Kings","Lakshmipathy Balaji","Delhi Capitals","MA Chidambaram Stadium",3,1,8,"All",3,37.5
