"Batting_Team","Striker","Runs","Dismissed","Balls","Bowling_Team","Stadium","Season","Average","Strike_Rate"
"Mumbai Indians","Jean-Paul Duminy",565,15,496,"All","All","All",37.6666666666667,113.911290322581
"Mumbai Indians","Jos Buttler",527,21,361,"All","All","All",25.0952380952381,145.983379501385
"Mumbai Indians","Karn Sharma",49,6,41,"All","All","All",8.16666666666667,119.512195121951
"Mumbai Indians","Kieron Pollard",3412,119,2316,"All","All","All",28.672268907563,147.322970639033
"Mumbai Indians","Krunal Pandya",1143,50,825,"All","All","All",22.86,138.545454545455
"Mumbai Indians","Kumar Kartikeya",3,1,5,"All","All","All",3,60
"Mumbai Indians","Lasith Malinga",88,14,99,"All","All","All",6.28571428571429,88.8888888888889
"Mumbai Indians","Lendl Simmons",1079,27,852,"All","All","All",39.962962962963,126.643192488263
"Mumbai Indians","Luke Ronchi",34,5,34,"All","All","All",6.8,100
"Mumbai Indians","Manish Pandey",3,2,9,"All","All","All",1.5,33.3333333333333
"Mumbai Indians","Marchant de Lange",1,1,2,"All","All","All",1,50
"Mumbai Indians","Marco Jansen",0,2,3,"All","All","All",0,0
"Mumbai Indians","Martin Guptill",57,3,55,"All","All","All",19,103.636363636364
"Mumbai Indians","Mayank Markande",27,3,29,"All","All","All",9,93.1034482758621
"Mumbai Indians","Michael Hussey",209,9,182,"All","All","All",23.2222222222222,114.835164835165
"Mumbai Indians","Mitchell Johnson",59,4,53,"All","All","All",14.75,111.320754716981
"Mumbai Indians","Mitchell McClenaghan",85,13,70,"All","All","All",6.53846153846154,121.428571428571
"Mumbai Indians","Mohammad Ashraful",2,1,10,"All","All","All",2,20
"Mumbai Indians","Munaf Patel",2,1,8,"All","All","All",2,25
"Mumbai Indians","Murugan Ashwin",12,3,14,"All","All","All",4,85.7142857142857
"Mumbai Indians","Musavir Khote",24,2,22,"All","All","All",12,109.090909090909
"Mumbai Indians","Mustafizur Rahman",1,1,3,"All","All","All",1,33.3333333333333
"Mumbai Indians","Nathan Coulter-Nile",38,4,26,"All","All","All",9.5,146.153846153846
"Mumbai Indians","Nitish Rana",437,14,339,"All","All","All",31.2142857142857,128.908554572271
"Mumbai Indians","Parthiv Patel",911,39,691,"All","All","All",23.3589743589744,131.837916063676
"Mumbai Indians","Pinal Shah",87,7,86,"All","All","All",12.4285714285714,101.162790697674
"Mumbai Indians","Piyush Chawla",0,1,2,"All","All","All",0,0
"Mumbai Indians","Pradeep Sangwan",0,1,4,"All","All","All",0,0
"Mumbai Indians","Pragyan Ojha",10,4,26,"All","All","All",2.5,38.4615384615385
"Mumbai Indians","Praveen Kumar",1,1,2,"All","All","All",1,50
"Mumbai Indians","Quinton de Kock",1329,39,1012,"All","All","All",34.0769230769231,131.324110671937
"Mumbai Indians","RP Singh",6,2,12,"All","All","All",3,50
"Mumbai Indians","Rahul Chahar",28,6,30,"All","All","All",4.66666666666667,93.3333333333333
"Mumbai Indians","Rajagopal Sathish",137,9,130,"All","All","All",15.2222222222222,105.384615384615
"Mumbai Indians","Ramandeep Singh",45,2,40,"All","All","All",22.5,112.5
"Mumbai Indians","Rasikh Salam",5,0,4,"All","All","All",Inf,125
"Mumbai Indians","Richard Levi",83,6,73,"All","All","All",13.8333333333333,113.698630136986
"Mumbai Indians","Ricky Ponting",52,5,75,"All","All","All",10.4,69.3333333333333
"Mumbai Indians","Riley Meredith",0,0,1,"All","All","All",NA,0
"Mumbai Indians","Rishi Dhawan",21,3,21,"All","All","All",7,100
"Mumbai Indians","Robin Peterson",32,3,30,"All","All","All",10.6666666666667,106.666666666667
"Mumbai Indians","Robin Uthappa",320,9,279,"All","All","All",35.5555555555556,114.695340501792
"Mumbai Indians","Rohan Raje",20,1,18,"All","All","All",20,111.111111111111
"Mumbai Indians","Rohit Sharma",4709,155,3636,"All","All","All",30.3806451612903,129.510451045105
"Mumbai Indians","Ryan McLaren",66,3,69,"All","All","All",22,95.6521739130435
"Mumbai Indians","Sachin Tendulkar",2334,67,1948,"All","All","All",34.8358208955224,119.815195071869
"Mumbai Indians","Sanath Jayasuriya",768,28,532,"All","All","All",27.4285714285714,144.360902255639
"Mumbai Indians","Sanjay Yadav",0,1,2,"All","All","All",0,0
"Mumbai Indians","Saurabh Tiwary",728,25,561,"All","All","All",29.12,129.768270944742
"Mumbai Indians","Shaun Pollock",147,8,111,"All","All","All",18.375,132.432432432432
"Mumbai Indians","Shikhar Dhawan",231,14,215,"All","All","All",16.5,107.441860465116
"Mumbai Indians","Shreyas Gopal",14,2,27,"All","All","All",7,51.8518518518518
"Mumbai Indians","Siddharth Chitnis",18,2,10,"All","All","All",9,180
"Mumbai Indians","Siddhesh Lad",15,1,13,"All","All","All",15,115.384615384615
"Mumbai Indians","Stuart Binny",8,1,5,"All","All","All",8,160
"Mumbai Indians","Suryakumar Yadav",2036,61,1472,"All","All","All",33.3770491803279,138.315217391304
"Mumbai Indians","Thisara Perera",4,1,9,"All","All","All",4,44.4444444444444
"Mumbai Indians","Tilak Varma",397,11,303,"All","All","All",36.0909090909091,131.023102310231
"Mumbai Indians","Tim David",186,5,86,"All","All","All",37.2,216.279069767442
"Mumbai Indians","Tim Southee",37,4,22,"All","All","All",9.25,168.181818181818
"Mumbai Indians","Tirumalasetti Suman",80,8,70,"All","All","All",10,114.285714285714
"Mumbai Indians","Trent Boult",1,1,5,"All","All","All",1,20
"Mumbai Indians","Tristan Stubbs",2,2,4,"All","All","All",1,50
"Mumbai Indians","Tymal Mills",0,1,3,"All","All","All",0,0
"Mumbai Indians","Unmukt Chand",102,6,87,"All","All","All",17,117.241379310345
