"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Chennai Super Kings","Chris Jordan",2022,"Dr DY Patil Sports Academy",6,0,3,"All",Inf,200
"Chennai Super Kings","Chris Morris",2013,"Eden Gardens",0,1,1,"All",0,0
"Chennai Super Kings","Chris Morris",2013,"MA Chidambaram Stadium",13,0,11,"All",Inf,118.181818181818
"Chennai Super Kings","Chris Morris",2013,"Wankhede Stadium",1,1,4,"All",1,25
"Chennai Super Kings","David Hussey",2014,"Brabourne Stadium",40,0,29,"All",Inf,137.931034482759
"Chennai Super Kings","David Hussey",2014,"JSCA International Stadium Complex",75,1,62,"All",75,120.967741935484
"Chennai Super Kings","David Hussey",2014,"Wankhede Stadium",1,1,3,"All",1,33.3333333333333
"Chennai Super Kings","Deepak Chahar",2018,"Feroz Shah Kotla",1,0,2,"All",Inf,50
"Chennai Super Kings","Deepak Chahar",2018,"Maharashtra Cricket Association Stadium",39,1,20,"All",39,195
"Chennai Super Kings","Deepak Chahar",2018,"Wankhede Stadium",10,2,7,"All",5,142.857142857143
"Chennai Super Kings","Deepak Chahar",2019,"MA Chidambaram Stadium",0,1,2,"All",0,0
"Chennai Super Kings","Deepak Chahar",2019,"Wankhede Stadium",7,1,7,"All",7,100
"Chennai Super Kings","Deepak Chahar",2020,"Dubai International Cricket Stadium",7,0,7,"All",Inf,100
"Chennai Super Kings","Deepak Chahar",2020,"Sharjah Cricket Stadium",0,1,5,"All",0,0
"Chennai Super Kings","Deepak Chahar",2021,"Zayed Cricket Stadium",1,0,1,"All",Inf,100
"Chennai Super Kings","Devon Conway",2022,"Brabourne Stadium",16,1,14,"All",16,114.285714285714
"Chennai Super Kings","Devon Conway",2022,"Dr DY Patil Sports Academy",87,1,49,"All",87,177.551020408163
"Chennai Super Kings","Devon Conway",2022,"Maharashtra Cricket Association Stadium",141,1,92,"All",141,153.260869565217
"Chennai Super Kings","Devon Conway",2022,"Wankhede Stadium",8,3,18,"All",2.66666666666667,44.4444444444444
"Chennai Super Kings","Dhruv Shorey",2018,"Maharashtra Cricket Association Stadium",8,1,9,"All",8,88.8888888888889
"Chennai Super Kings","Dhruv Shorey",2019,"MA Chidambaram Stadium",5,1,8,"All",5,62.5
"Chennai Super Kings","Doug Bollinger",2010,"MA Chidambaram Stadium",16,0,13,"All",Inf,123.076923076923
"Chennai Super Kings","Doug Bollinger",2010,"Vidarbha Cricket Association Stadium",2,0,3,"All",Inf,66.6666666666667
"Chennai Super Kings","Doug Bollinger",2011,"Wankhede Stadium",0,0,1,"All",NA,0
"Chennai Super Kings","Doug Bollinger",2012,"MA Chidambaram Stadium",3,1,5,"All",3,60
"Chennai Super Kings","Dwaine Pretorius",2022,"Brabourne Stadium",8,2,5,"All",4,160
"Chennai Super Kings","Dwaine Pretorius",2022,"Dr DY Patil Sports Academy",22,1,14,"All",22,157.142857142857
"Chennai Super Kings","Dwaine Pretorius",2022,"Maharashtra Cricket Association Stadium",13,1,8,"All",13,162.5
"Chennai Super Kings","Dwaine Pretorius",2022,"Wankhede Stadium",1,0,1,"All",Inf,100
"Chennai Super Kings","Dwayne Bravo",2011,"M Chinnaswamy Stadium",5,1,5,"All",5,100
"Chennai Super Kings","Dwayne Bravo",2011,"MA Chidambaram Stadium",6,0,1,"All",Inf,600
"Chennai Super Kings","Dwayne Bravo",2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",43,0,18,"All",Inf,238.888888888889
"Chennai Super Kings","Dwayne Bravo",2012,"Eden Gardens",11,0,7,"All",Inf,157.142857142857
"Chennai Super Kings","Dwayne Bravo",2012,"Feroz Shah Kotla",22,1,31,"All",22,70.9677419354839
"Chennai Super Kings","Dwayne Bravo",2012,"Himachal Pradesh Cricket Association Stadium",48,1,43,"All",48,111.627906976744
"Chennai Super Kings","Dwayne Bravo",2012,"M Chinnaswamy Stadium",33,0,14,"All",Inf,235.714285714286
"Chennai Super Kings","Dwayne Bravo",2012,"MA Chidambaram Stadium",159,4,101,"All",39.75,157.425742574257
"Chennai Super Kings","Dwayne Bravo",2012,"Sawai Mansingh Stadium",10,1,15,"All",10,66.6666666666667
"Chennai Super Kings","Dwayne Bravo",2012,"Subrata Roy Sahara Stadium",5,0,2,"All",Inf,250
"Chennai Super Kings","Dwayne Bravo",2012,"Wankhede Stadium",40,1,33,"All",40,121.212121212121
"Chennai Super Kings","Dwayne Bravo",2013,"Eden Gardens",22,1,20,"All",22,110
"Chennai Super Kings","Dwayne Bravo",2013,"Feroz Shah Kotla",3,1,2,"All",3,150
"Chennai Super Kings","Dwayne Bravo",2013,"M Chinnaswamy Stadium",11,1,9,"All",11,122.222222222222
"Chennai Super Kings","Dwayne Bravo",2013,"MA Chidambaram Stadium",53,4,57,"All",13.25,92.9824561403509
"Chennai Super Kings","Dwayne Bravo",2013,"Sawai Mansingh Stadium",23,0,11,"All",Inf,209.090909090909
"Chennai Super Kings","Dwayne Bravo",2013,"Wankhede Stadium",9,1,7,"All",9,128.571428571429
"Chennai Super Kings","Dwayne Bravo",2014,"Sheikh Zayed Stadium",8,0,3,"All",Inf,266.666666666667
