"Batting_Team","Striker","Season","Stadium","Runs","Dismissed","Balls","Bowling_Team","Average","Strike_Rate"
"Punjab Kings","Luke Pomersbach",2008,"Feroz Shah Kotla",25,0,12,"All",Inf,208.333333333333
"Punjab Kings","Luke Pomersbach",2008,"Punjab Cricket Association Stadium",48,1,37,"All",48,129.72972972973
"Punjab Kings","Luke Pomersbach",2008,"Wankhede Stadium",79,0,50,"All",Inf,158
"Punjab Kings","Luke Pomersbach",2009,"Kingsmead",26,1,32,"All",26,81.25
"Punjab Kings","Luke Pomersbach",2009,"New Wanderers Stadium",1,1,2,"All",1,50
"Punjab Kings","Luke Pomersbach",2009,"OUTsurance Oval",9,1,8,"All",9,112.5
"Punjab Kings","Luke Pomersbach",2009,"SuperSport Park",5,1,7,"All",5,71.4285714285714
"Punjab Kings","Luke Pomersbach",2013,"Feroz Shah Kotla",18,1,10,"All",18,180
"Punjab Kings","Luke Pomersbach",2013,"MA Chidambaram Stadium",7,1,9,"All",7,77.7777777777778
"Punjab Kings","Luke Pomersbach",2013,"Punjab Cricket Association Stadium",33,0,40,"All",Inf,82.5
"Punjab Kings","M Shahrukh Khan",2021,"Dubai International Cricket Stadium",30,1,19,"All",30,157.894736842105
"Punjab Kings","M Shahrukh Khan",2021,"MA Chidambaram Stadium",22,1,17,"All",22,129.411764705882
"Punjab Kings","M Shahrukh Khan",2021,"Narendra Modi Stadium",17,3,22,"All",5.66666666666667,77.2727272727273
"Punjab Kings","M Shahrukh Khan",2021,"Sharjah Cricket Stadium",16,1,11,"All",16,145.454545454545
"Punjab Kings","M Shahrukh Khan",2021,"Wankhede Stadium",68,1,45,"All",68,151.111111111111
"Punjab Kings","M Shahrukh Khan",2022,"Brabourne Stadium",33,3,39,"All",11,84.6153846153846
"Punjab Kings","M Shahrukh Khan",2022,"Dr DY Patil Sports Academy",50,1,48,"All",50,104.166666666667
"Punjab Kings","M Shahrukh Khan",2022,"Maharashtra Cricket Association Stadium",15,1,6,"All",15,250
"Punjab Kings","M Shahrukh Khan",2022,"Wankhede Stadium",19,2,15,"All",9.5,126.666666666667
"Punjab Kings","Mahela Jayawardene",2008,"Eden Gardens",11,0,10,"All",Inf,110
"Punjab Kings","Mahela Jayawardene",2008,"Feroz Shah Kotla",36,0,17,"All",Inf,211.764705882353
"Punjab Kings","Mahela Jayawardene",2008,"M Chinnaswamy Stadium",17,0,22,"All",Inf,77.2727272727273
"Punjab Kings","Mahela Jayawardene",2008,"MA Chidambaram Stadium",8,1,6,"All",8,133.333333333333
"Punjab Kings","Mahela Jayawardene",2008,"Punjab Cricket Association Stadium",51,3,37,"All",17,137.837837837838
"Punjab Kings","Mahela Jayawardene",2008,"Rajiv Gandhi International Stadium",45,0,23,"All",Inf,195.652173913043
"Punjab Kings","Mahela Jayawardene",2008,"Sawai Mansingh Stadium",2,1,4,"All",2,50
"Punjab Kings","Mahela Jayawardene",2008,"Wankhede Stadium",9,2,12,"All",4.5,75
"Punjab Kings","Mahela Jayawardene",2009,"De Beers Diamond Oval",43,1,28,"All",43,153.571428571429
"Punjab Kings","Mahela Jayawardene",2009,"Kingsmead",67,3,55,"All",22.3333333333333,121.818181818182
"Punjab Kings","Mahela Jayawardene",2009,"Newlands",13,2,16,"All",6.5,81.25
"Punjab Kings","Mahela Jayawardene",2009,"St George's Park",52,0,41,"All",Inf,126.829268292683
"Punjab Kings","Mahela Jayawardene",2009,"SuperSport Park",44,0,25,"All",Inf,176
"Punjab Kings","Mahela Jayawardene",2010,"Barabati Stadium",14,1,9,"All",14,155.555555555556
"Punjab Kings","Mahela Jayawardene",2010,"Brabourne Stadium",20,1,18,"All",20,111.111111111111
"Punjab Kings","Mahela Jayawardene",2010,"Eden Gardens",110,0,59,"All",Inf,186.440677966102
"Punjab Kings","Mahela Jayawardene",2010,"Feroz Shah Kotla",38,1,35,"All",38,108.571428571429
"Punjab Kings","Mahela Jayawardene",2010,"Himachal Pradesh Cricket Association Stadium",114,1,70,"All",114,162.857142857143
"Punjab Kings","Mahela Jayawardene",2010,"M Chinnaswamy Stadium",26,0,13,"All",Inf,200
"Punjab Kings","Mahela Jayawardene",2010,"MA Chidambaram Stadium",3,1,5,"All",3,60
"Punjab Kings","Mahela Jayawardene",2010,"Punjab Cricket Association Stadium",70,4,56,"All",17.5,125
"Punjab Kings","Mahela Jayawardene",2010,"Sawai Mansingh Stadium",44,1,33,"All",44,133.333333333333
"Punjab Kings","Manan Vohra",2013,"Eden Gardens",31,1,21,"All",31,147.619047619048
"Punjab Kings","Manan Vohra",2013,"Feroz Shah Kotla",8,1,11,"All",8,72.7272727272727
"Punjab Kings","Manan Vohra",2013,"Himachal Pradesh Cricket Association Stadium",20,0,8,"All",Inf,250
"Punjab Kings","Manan Vohra",2013,"Punjab Cricket Association Stadium",55,3,40,"All",18.3333333333333,137.5
"Punjab Kings","Manan Vohra",2013,"Rajiv Gandhi International Stadium",0,1,1,"All",0,0
"Punjab Kings","Manan Vohra",2013,"Sawai Mansingh Stadium",3,1,6,"All",3,50
"Punjab Kings","Manan Vohra",2013,"Subrata Roy Sahara Stadium",43,0,28,"All",Inf,153.571428571429
"Punjab Kings","Manan Vohra",2013,"Wankhede Stadium",1,1,2,"All",1,50
"Punjab Kings","Manan Vohra",2014,"Eden Gardens",26,1,19,"All",26,136.842105263158
"Punjab Kings","Manan Vohra",2014,"Feroz Shah Kotla",42,1,19,"All",42,221.052631578947
"Punjab Kings","Manan Vohra",2014,"M Chinnaswamy Stadium",67,1,52,"All",67,128.846153846154
"Punjab Kings","Manan Vohra",2014,"Punjab Cricket Association Stadium",108,3,92,"All",36,117.391304347826
"Punjab Kings","Manan Vohra",2014,"Rajiv Gandhi International Stadium",47,1,20,"All",47,235
"Punjab Kings","Manan Vohra",2014,"Wankhede Stadium",34,1,31,"All",34,109.677419354839
"Punjab Kings","Manan Vohra",2015,"Eden Gardens",39,1,34,"All",39,114.705882352941
"Punjab Kings","Manan Vohra",2015,"Feroz Shah Kotla",1,1,7,"All",1,14.2857142857143
"Punjab Kings","Manan Vohra",2015,"M Chinnaswamy Stadium",2,1,3,"All",2,66.6666666666667
"Punjab Kings","Manan Vohra",2015,"Punjab Cricket Association Stadium",20,3,22,"All",6.66666666666667,90.9090909090909
"Punjab Kings","Manan Vohra",2015,"Rajiv Gandhi International Stadium",20,1,15,"All",20,133.333333333333
"Punjab Kings","Manan Vohra",2016,"Eden Gardens",0,1,5,"All",0,0
"Punjab Kings","Manan Vohra",2016,"Feroz Shah Kotla",32,1,24,"All",32,133.333333333333
"Punjab Kings","Manan Vohra",2016,"Punjab Cricket Association IS Bindra Stadium",104,4,79,"All",26,131.645569620253
"Punjab Kings","Manan Vohra",2016,"Rajiv Gandhi International Stadium",25,1,23,"All",25,108.695652173913
"Punjab Kings","Manan Vohra",2017,"Eden Gardens",28,1,19,"All",28,147.368421052632
"Punjab Kings","Manan Vohra",2017,"Feroz Shah Kotla",3,1,6,"All",3,50
"Punjab Kings","Manan Vohra",2017,"Holkar Cricket Stadium",48,2,30,"All",24,160
"Punjab Kings","Manan Vohra",2017,"M Chinnaswamy Stadium",25,1,28,"All",25,89.2857142857143
"Punjab Kings","Manan Vohra",2017,"Punjab Cricket Association IS Bindra Stadium",28,2,22,"All",14,127.272727272727
"Punjab Kings","Manan Vohra",2017,"Rajiv Gandhi International Stadium",95,1,50,"All",95,190
"Punjab Kings","Manan Vohra",2017,"Saurashtra Cricket Association Stadium",2,1,4,"All",2,50
"Punjab Kings","Mandeep Singh",2011,"Himachal Pradesh Cricket Association Stadium",18,2,15,"All",9,120
"Punjab Kings","Mandeep Singh",2011,"Holkar Cricket Stadium",15,0,10,"All",Inf,150
"Punjab Kings","Mandeep Singh",2011,"Punjab Cricket Association Stadium",14,2,16,"All",7,87.5
"Punjab Kings","Mandeep Singh",2012,"Eden Gardens",38,1,34,"All",38,111.764705882353
"Punjab Kings","Mandeep Singh",2012,"Feroz Shah Kotla",21,1,12,"All",21,175
"Punjab Kings","Mandeep Singh",2012,"Himachal Pradesh Cricket Association Stadium",24,2,22,"All",12,109.090909090909
"Punjab Kings","Mandeep Singh",2012,"M Chinnaswamy Stadium",43,1,30,"All",43,143.333333333333
"Punjab Kings","Mandeep Singh",2012,"MA Chidambaram Stadium",56,1,50,"All",56,112
"Punjab Kings","Mandeep Singh",2012,"Punjab Cricket Association Stadium",93,6,77,"All",15.5,120.779220779221
"Punjab Kings","Mandeep Singh",2012,"Rajiv Gandhi International Stadium",75,1,48,"All",75,156.25
"Punjab Kings","Mandeep Singh",2012,"Sawai Mansingh Stadium",34,1,25,"All",34,136
"Punjab Kings","Mandeep Singh",2012,"Subrata Roy Sahara Stadium",24,1,23,"All",24,104.347826086957
"Punjab Kings","Mandeep Singh",2012,"Wankhede Stadium",24,1,21,"All",24,114.285714285714
"Punjab Kings","Mandeep Singh",2013,"Eden Gardens",25,1,20,"All",25,125
"Punjab Kings","Mandeep Singh",2013,"Feroz Shah Kotla",24,1,15,"All",24,160
"Punjab Kings","Mandeep Singh",2013,"Himachal Pradesh Cricket Association Stadium",1,1,5,"All",1,20
"Punjab Kings","Mandeep Singh",2013,"MA Chidambaram Stadium",15,1,15,"All",15,100
"Punjab Kings","Mandeep Singh",2013,"Punjab Cricket Association Stadium",143,5,115,"All",28.6,124.347826086957
"Punjab Kings","Mandeep Singh",2013,"Rajiv Gandhi International Stadium",10,1,11,"All",10,90.9090909090909
"Punjab Kings","Mandeep Singh",2013,"Sawai Mansingh Stadium",2,1,8,"All",2,25
"Punjab Kings","Mandeep Singh",2013,"Subrata Roy Sahara Stadium",31,1,26,"All",31,119.230769230769
"Punjab Kings","Mandeep Singh",2013,"Wankhede Stadium",9,1,8,"All",9,112.5
"Punjab Kings","Mandeep Singh",2014,"Barabati Stadium",3,2,11,"All",1.5,27.2727272727273
"Punjab Kings","Mandeep Singh",2014,"M Chinnaswamy Stadium",21,1,15,"All",21,140
"Punjab Kings","Mandeep Singh",2019,"Eden Gardens",33,0,15,"All",Inf,220
"Punjab Kings","Mandeep Singh",2019,"Feroz Shah Kotla",30,1,27,"All",30,111.111111111111
"Punjab Kings","Mandeep Singh",2019,"M Chinnaswamy Stadium",4,0,4,"All",Inf,100
"Punjab Kings","Mandeep Singh",2019,"MA Chidambaram Stadium",1,0,1,"All",Inf,100
"Punjab Kings","Mandeep Singh",2019,"Punjab Cricket Association IS Bindra Stadium",85,3,68,"All",28.3333333333333,125
"Punjab Kings","Mandeep Singh",2019,"Sawai Mansingh Stadium",5,0,2,"All",Inf,250
"Punjab Kings","Mandeep Singh",2019,"Wankhede Stadium",7,0,3,"All",Inf,233.333333333333
"Punjab Kings","Mandeep Singh",2020,"Dubai International Cricket Stadium",50,3,36,"All",16.6666666666667,138.888888888889
"Punjab Kings","Mandeep Singh",2020,"Sharjah Cricket Stadium",66,0,56,"All",Inf,117.857142857143
"Punjab Kings","Mandeep Singh",2020,"Zayed Cricket Stadium",14,3,17,"All",4.66666666666667,82.3529411764706
"Punjab Kings","Mandeep Singh",2021,"Zayed Cricket Stadium",15,1,14,"All",15,107.142857142857
"Punjab Kings","Manoj Tiwary",2018,"Maharashtra Cricket Association Stadium",35,1,30,"All",35,116.666666666667
"Punjab Kings","Manoj Tiwary",2018,"Rajiv Gandhi International Stadium",1,1,5,"All",1,20
"Punjab Kings","Manoj Tiwary",2018,"Sawai Mansingh Stadium",7,1,8,"All",7,87.5
"Punjab Kings","Manoj Tiwary",2018,"Wankhede Stadium",4,0,1,"All",Inf,400
"Punjab Kings","Manpreet Gony",2013,"MA Chidambaram Stadium",0,0,1,"All",NA,0
"Punjab Kings","Manpreet Gony",2013,"Punjab Cricket Association Stadium",45,2,21,"All",22.5,214.285714285714
"Punjab Kings","Manpreet Gony",2013,"Wankhede Stadium",0,1,3,"All",0,0
"Punjab Kings","Manvinder Bisla",2010,"Barabati Stadium",0,1,7,"All",0,0
"Punjab Kings","Manvinder Bisla",2010,"Brabourne Stadium",11,1,10,"All",11,110
"Punjab Kings","Manvinder Bisla",2010,"Eden Gardens",18,1,13,"All",18,138.461538461538
"Punjab Kings","Manvinder Bisla",2010,"M Chinnaswamy Stadium",75,1,51,"All",75,147.058823529412
"Punjab Kings","Manvinder Bisla",2010,"MA Chidambaram Stadium",7,1,9,"All",7,77.7777777777778
"Punjab Kings","Manvinder Bisla",2010,"Punjab Cricket Association Stadium",87,4,74,"All",21.75,117.567567567568
"Punjab Kings","Manvinder Bisla",2010,"Sawai Mansingh Stadium",20,1,14,"All",20,142.857142857143
"Punjab Kings","Marcus Stoinis",2016,"Eden Gardens",0,1,3,"All",0,0
"Punjab Kings","Marcus Stoinis",2016,"Punjab Cricket Association IS Bindra Stadium",119,2,88,"All",59.5,135.227272727273
"Punjab Kings","Marcus Stoinis",2016,"Saurashtra Cricket Association Stadium",27,1,17,"All",27,158.823529411765
"Punjab Kings","Marcus Stoinis",2017,"Eden Gardens",9,1,12,"All",9,75
"Punjab Kings","Marcus Stoinis",2017,"Holkar Cricket Stadium",1,1,3,"All",1,33.3333333333333
"Punjab Kings","Marcus Stoinis",2017,"Saurashtra Cricket Association Stadium",7,1,9,"All",7,77.7777777777778
"Punjab Kings","Marcus Stoinis",2018,"Holkar Cricket Stadium",54,1,34,"All",54,158.823529411765
"Punjab Kings","Marcus Stoinis",2018,"M Chinnaswamy Stadium",11,1,9,"All",11,122.222222222222
"Punjab Kings","Marcus Stoinis",2018,"Punjab Cricket Association IS Bindra Stadium",22,0,15,"All",Inf,146.666666666667
"Punjab Kings","Marcus Stoinis",2018,"Sawai Mansingh Stadium",11,1,16,"All",11,68.75
"Punjab Kings","Marcus Stoinis",2018,"Wankhede Stadium",1,1,2,"All",1,50
"Punjab Kings","Martin Guptill",2017,"M Chinnaswamy Stadium",9,1,10,"All",9,90
"Punjab Kings","Martin Guptill",2017,"Maharashtra Cricket Association Stadium",0,1,1,"All",0,0
"Punjab Kings","Martin Guptill",2017,"Punjab Cricket Association IS Bindra Stadium",87,3,59,"All",29,147.457627118644
"Punjab Kings","Martin Guptill",2017,"Wankhede Stadium",36,1,18,"All",36,200
"Punjab Kings","Mayank Agarwal",2018,"Eden Gardens",2,0,2,"All",Inf,100
"Punjab Kings","Mayank Agarwal",2018,"Feroz Shah Kotla",21,1,16,"All",21,131.25
"Punjab Kings","Mayank Agarwal",2018,"Holkar Cricket Stadium",15,4,17,"All",3.75,88.2352941176471
"Punjab Kings","Mayank Agarwal",2018,"M Chinnaswamy Stadium",15,1,11,"All",15,136.363636363636
"Punjab Kings","Mayank Agarwal",2018,"Punjab Cricket Association IS Bindra Stadium",55,3,33,"All",18.3333333333333,166.666666666667
"Punjab Kings","Mayank Agarwal",2018,"Rajiv Gandhi International Stadium",12,1,15,"All",12,80
"Punjab Kings","Mayank Agarwal",2019,"Eden Gardens",58,1,34,"All",58,170.588235294118
"Punjab Kings","Mayank Agarwal",2019,"Feroz Shah Kotla",2,1,9,"All",2,22.2222222222222
"Punjab Kings","Mayank Agarwal",2019,"M Chinnaswamy Stadium",35,1,21,"All",35,166.666666666667
"Punjab Kings","Mayank Agarwal",2019,"MA Chidambaram Stadium",0,1,2,"All",0,0
"Punjab Kings","Mayank Agarwal",2019,"Punjab Cricket Association IS Bindra Stadium",188,7,126,"All",26.8571428571429,149.206349206349
"Punjab Kings","Mayank Agarwal",2019,"Rajiv Gandhi International Stadium",27,1,18,"All",27,150
"Punjab Kings","Mayank Agarwal",2019,"Sawai Mansingh Stadium",22,1,24,"All",22,91.6666666666667
"Punjab Kings","Mayank Agarwal",2020,"Dubai International Cricket Stadium",166,6,124,"All",27.6666666666667,133.870967741935
"Punjab Kings","Mayank Agarwal",2020,"Sharjah Cricket Stadium",151,2,75,"All",75.5,201.333333333333
"Punjab Kings","Mayank Agarwal",2020,"Zayed Cricket Stadium",107,3,72,"All",35.6666666666667,148.611111111111
"Punjab Kings","Mayank Agarwal",2021,"Dubai International Cricket Stadium",119,3,82,"All",39.6666666666667,145.121951219512
"Punjab Kings","Mayank Agarwal",2021,"MA Chidambaram Stadium",47,2,45,"All",23.5,104.444444444444
"Punjab Kings","Mayank Agarwal",2021,"Narendra Modi Stadium",130,1,92,"All",130,141.304347826087
"Punjab Kings","Mayank Agarwal",2021,"Sharjah Cricket Stadium",62,2,48,"All",31,129.166666666667
"Punjab Kings","Mayank Agarwal",2021,"Wankhede Stadium",83,3,47,"All",27.6666666666667,176.595744680851
"Punjab Kings","Mayank Agarwal",2022,"Brabourne Stadium",52,4,42,"All",13,123.809523809524
"Punjab Kings","Mayank Agarwal",2022,"Dr DY Patil Sports Academy",32,2,26,"All",16,123.076923076923
"Punjab Kings","Mayank Agarwal",2022,"Maharashtra Cricket Association Stadium",77,2,49,"All",38.5,157.142857142857
"Punjab Kings","Mayank Agarwal",2022,"Wankhede Stadium",35,4,43,"All",8.75,81.3953488372093
"Punjab Kings","Mitchell Johnson",2014,"Barabati Stadium",25,1,18,"All",25,138.888888888889
"Punjab Kings","Mitchell Johnson",2014,"Eden Gardens",10,0,11,"All",Inf,90.9090909090909
"Punjab Kings","Mitchell Johnson",2014,"M Chinnaswamy Stadium",16,0,12,"All",Inf,133.333333333333
"Punjab Kings","Mitchell Johnson",2014,"Sharjah Cricket Stadium",4,1,6,"All",4,66.6666666666667
"Punjab Kings","Mitchell Johnson",2014,"Sheikh Zayed Stadium",0,1,1,"All",0,0
"Punjab Kings","Mitchell Johnson",2014,"Wankhede Stadium",1,0,2,"All",Inf,50
"Punjab Kings","Mitchell Johnson",2015,"M Chinnaswamy Stadium",1,1,4,"All",1,25
"Punjab Kings","Mitchell Johnson",2015,"MA Chidambaram Stadium",1,1,2,"All",1,50
"Punjab Kings","Mitchell Johnson",2015,"Maharashtra Cricket Association Stadium",1,2,6,"All",0.5,16.6666666666667
"Punjab Kings","Mitchell Johnson",2015,"Punjab Cricket Association Stadium",12,0,10,"All",Inf,120
"Punjab Kings","Mitchell Johnson",2015,"Sardar Patel Stadium",13,0,7,"All",Inf,185.714285714286
"Punjab Kings","Mitchell Johnson",2015,"Wankhede Stadium",3,0,7,"All",Inf,42.8571428571429
"Punjab Kings","Mitchell Johnson",2016,"Feroz Shah Kotla",4,1,12,"All",4,33.3333333333333
"Punjab Kings","Mitchell Johnson",2016,"Punjab Cricket Association IS Bindra Stadium",1,1,2,"All",1,50
"Punjab Kings","Mohammad Kaif",2010,"MA Chidambaram Stadium",14,1,16,"All",14,87.5
"Punjab Kings","Mohammad Kaif",2010,"Punjab Cricket Association Stadium",14,2,14,"All",7,100
"Punjab Kings","Mohammed Shami",2019,"Punjab Cricket Association IS Bindra Stadium",0,1,1,"All",0,0
"Punjab Kings","Mohammed Shami",2019,"Rajiv Gandhi International Stadium",1,0,1,"All",Inf,100
"Punjab Kings","Mohammed Shami",2020,"Dubai International Cricket Stadium",0,1,1,"All",0,0
"Punjab Kings","Mohammed Shami",2020,"Zayed Cricket Stadium",2,0,2,"All",Inf,100
"Punjab Kings","Mohammed Shami",2021,"MA Chidambaram Stadium",3,1,3,"All",3,100
"Punjab Kings","Mohammed Shami",2021,"Narendra Modi Stadium",1,0,2,"All",Inf,50
"Punjab Kings","Mohammed Shami",2021,"Wankhede Stadium",9,0,12,"All",Inf,75
"Punjab Kings","Mohit Sharma",2016,"Eden Gardens",1,0,1,"All",Inf,100
"Punjab Kings","Mohit Sharma",2016,"Feroz Shah Kotla",15,1,8,"All",15,187.5
"Punjab Kings","Mohit Sharma",2016,"M Chinnaswamy Stadium",14,1,12,"All",14,116.666666666667
"Punjab Kings","Mohit Sharma",2016,"Punjab Cricket Association IS Bindra Stadium",1,1,3,"All",1,33.3333333333333
"Punjab Kings","Mohit Sharma",2016,"Saurashtra Cricket Association Stadium",1,1,2,"All",1,50
"Punjab Kings","Mohit Sharma",2017,"Eden Gardens",10,1,8,"All",10,125
"Punjab Kings","Mohit Sharma",2017,"Feroz Shah Kotla",13,1,14,"All",13,92.8571428571429
"Punjab Kings","Mohit Sharma",2017,"M Chinnaswamy Stadium",6,1,4,"All",6,150
"Punjab Kings","Mohit Sharma",2017,"Maharashtra Cricket Association Stadium",6,1,12,"All",6,50
"Punjab Kings","Mohit Sharma",2017,"Punjab Cricket Association IS Bindra Stadium",2,1,4,"All",2,50
"Punjab Kings","Mohit Sharma",2017,"Rajiv Gandhi International Stadium",10,1,5,"All",10,200
"Punjab Kings","Mohit Sharma",2017,"Saurashtra Cricket Association Stadium",4,0,3,"All",Inf,133.333333333333
"Punjab Kings","Mohit Sharma",2018,"Holkar Cricket Stadium",7,1,8,"All",7,87.5
"Punjab Kings","Mohit Sharma",2018,"M Chinnaswamy Stadium",1,0,2,"All",Inf,50
"Punjab Kings","Mohit Sharma",2018,"Maharashtra Cricket Association Stadium",2,0,3,"All",Inf,66.6666666666667
"Punjab Kings","Moises Henriques",2021,"Dubai International Cricket Stadium",3,0,3,"All",Inf,100
"Punjab Kings","Moises Henriques",2021,"MA Chidambaram Stadium",14,1,17,"All",14,82.3529411764706
"Punjab Kings","Moises Henriques",2021,"Narendra Modi Stadium",2,1,3,"All",2,66.6666666666667
"Punjab Kings","Moises Henriques",2021,"Sharjah Cricket Stadium",12,0,9,"All",Inf,133.333333333333
"Punjab Kings","Mujeeb Ur Rahman",2018,"M Chinnaswamy Stadium",0,1,2,"All",0,0
"Punjab Kings","Mujeeb Ur Rahman",2018,"Rajiv Gandhi International Stadium",10,0,5,"All",Inf,200
"Punjab Kings","Mujeeb Ur Rahman",2019,"Punjab Cricket Association IS Bindra Stadium",0,0,1,"All",NA,0
"Punjab Kings","Mujeeb Ur Rahman",2019,"Rajiv Gandhi International Stadium",0,1,3,"All",0,0
"Punjab Kings","Mujeeb Ur Rahman",2020,"Dubai International Cricket Stadium",1,1,3,"All",1,33.3333333333333
"Punjab Kings","Murali Vijay",2015,"Eden Gardens",28,1,21,"All",28,133.333333333333
"Punjab Kings","Murali Vijay",2015,"M Chinnaswamy Stadium",2,1,6,"All",2,33.3333333333333
"Punjab Kings","Murali Vijay",2015,"MA Chidambaram Stadium",34,1,32,"All",34,106.25
"Punjab Kings","Murali Vijay",2015,"Maharashtra Cricket Association Stadium",56,3,54,"All",18.6666666666667,103.703703703704
"Punjab Kings","Murali Vijay",2015,"Punjab Cricket Association Stadium",51,2,50,"All",25.5,102
"Punjab Kings","Murali Vijay",2015,"Rajiv Gandhi International Stadium",24,1,18,"All",24,133.333333333333
"Punjab Kings","Murali Vijay",2015,"Sardar Patel Stadium",21,1,18,"All",21,116.666666666667
"Punjab Kings","Murali Vijay",2015,"Wankhede Stadium",35,1,29,"All",35,120.689655172414
"Punjab Kings","Murali Vijay",2016,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",113,1,93,"All",113,121.505376344086
"Punjab Kings","Murali Vijay",2016,"Eden Gardens",6,1,11,"All",6,54.5454545454545
"Punjab Kings","Murali Vijay",2016,"Feroz Shah Kotla",1,1,5,"All",1,20
"Punjab Kings","Murali Vijay",2016,"M Chinnaswamy Stadium",16,1,8,"All",16,200
"Punjab Kings","Murali Vijay",2016,"Punjab Cricket Association IS Bindra Stadium",260,7,203,"All",37.1428571428571,128.07881773399
"Punjab Kings","Murali Vijay",2016,"Rajiv Gandhi International Stadium",2,1,3,"All",2,66.6666666666667
"Punjab Kings","Murali Vijay",2016,"Saurashtra Cricket Association Stadium",55,1,41,"All",55,134.146341463415
"Punjab Kings","Murugan Ashwin",2019,"M Chinnaswamy Stadium",1,0,2,"All",Inf,50
"Punjab Kings","Murugan Ashwin",2019,"Punjab Cricket Association IS Bindra Stadium",1,1,2,"All",1,50
"Punjab Kings","Murugan Ashwin",2019,"Rajiv Gandhi International Stadium",1,0,1,"All",Inf,100
"Punjab Kings","Murugan Ashwin",2020,"Dubai International Cricket Stadium",4,1,4,"All",4,100
"Punjab Kings","Murugan Ashwin",2021,"MA Chidambaram Stadium",9,1,10,"All",9,90
"Punjab Kings","Murugan Ashwin",2021,"Wankhede Stadium",6,1,14,"All",6,42.8571428571429
"Punjab Kings","Nathan Ellis",2021,"Sharjah Cricket Stadium",12,1,12,"All",12,100
"Punjab Kings","Nathan Ellis",2021,"Zayed Cricket Stadium",6,0,4,"All",Inf,150
"Punjab Kings","Nathan Ellis",2022,"Brabourne Stadium",0,1,2,"All",0,0
"Punjab Kings","Nathan Rimmington",2011,"Dr DY Patil Sports Academy",1,0,1,"All",Inf,100
"Punjab Kings","Nicholas Pooran",2019,"M Chinnaswamy Stadium",46,1,28,"All",46,164.285714285714
"Punjab Kings","Nicholas Pooran",2019,"Punjab Cricket Association IS Bindra Stadium",89,3,55,"All",29.6666666666667,161.818181818182
"Punjab Kings","Nicholas Pooran",2019,"Rajiv Gandhi International Stadium",21,1,10,"All",21,210
"Punjab Kings","Nicholas Pooran",2019,"Sawai Mansingh Stadium",12,1,14,"All",12,85.7142857142857
"Punjab Kings","Nicholas Pooran",2020,"Dubai International Cricket Stadium",236,6,143,"All",39.3333333333333,165.034965034965
"Punjab Kings","Nicholas Pooran",2020,"Sharjah Cricket Stadium",33,0,12,"All",Inf,275
"Punjab Kings","Nicholas Pooran",2020,"Zayed Cricket Stadium",84,4,53,"All",21,158.490566037736
"Punjab Kings","Nicholas Pooran",2021,"Dubai International Cricket Stadium",44,2,29,"All",22,151.724137931034
"Punjab Kings","Nicholas Pooran",2021,"Narendra Modi Stadium",19,2,22,"All",9.5,86.3636363636364
"Punjab Kings","Nicholas Pooran",2021,"Sharjah Cricket Stadium",11,2,11,"All",5.5,100
"Punjab Kings","Nicholas Pooran",2021,"Wankhede Stadium",9,3,11,"All",3,81.8181818181818
"Punjab Kings","Nicholas Pooran",2021,"Zayed Cricket Stadium",2,1,3,"All",2,66.6666666666667
"Punjab Kings","Nikhil Naik",2016,"Punjab Cricket Association IS Bindra Stadium",1,1,3,"All",1,33.3333333333333
"Punjab Kings","Nikhil Naik",2016,"Rajiv Gandhi International Stadium",22,1,28,"All",22,78.5714285714286
"Punjab Kings","Nitin Saini",2012,"Feroz Shah Kotla",15,1,15,"All",15,100
"Punjab Kings","Nitin Saini",2012,"Himachal Pradesh Cricket Association Stadium",1,1,4,"All",1,25
"Punjab Kings","Nitin Saini",2012,"M Chinnaswamy Stadium",50,1,36,"All",50,138.888888888889
"Punjab Kings","Nitin Saini",2012,"MA Chidambaram Stadium",6,1,4,"All",6,150
"Punjab Kings","Nitin Saini",2012,"Punjab Cricket Association Stadium",36,4,53,"All",9,67.9245283018868
"Punjab Kings","Nitin Saini",2012,"Rajiv Gandhi International Stadium",2,1,4,"All",2,50
"Punjab Kings","Nitin Saini",2012,"Wankhede Stadium",30,1,25,"All",30,120
"Punjab Kings","Odean Smith",2022,"Brabourne Stadium",3,2,8,"All",1.5,37.5
"Punjab Kings","Odean Smith",2022,"Dr DY Patil Sports Academy",38,1,23,"All",38,165.217391304348
"Punjab Kings","Odean Smith",2022,"Maharashtra Cricket Association Stadium",1,0,1,"All",Inf,100
"Punjab Kings","Odean Smith",2022,"Wankhede Stadium",9,0,12,"All",Inf,75
"Punjab Kings","Paras Dogra",2012,"Eden Gardens",6,1,11,"All",6,54.5454545454545
"Punjab Kings","Paras Dogra",2012,"M Chinnaswamy Stadium",3,0,5,"All",Inf,60
"Punjab Kings","Paras Dogra",2012,"Punjab Cricket Association Stadium",6,1,8,"All",6,75
"Punjab Kings","Pardeep Sahu",2016,"Feroz Shah Kotla",18,0,12,"All",Inf,150
"Punjab Kings","Pardeep Sahu",2016,"Punjab Cricket Association IS Bindra Stadium",1,1,1,"All",1,100
"Punjab Kings","Parvinder Awana",2012,"Feroz Shah Kotla",4,0,5,"All",Inf,80
