"Batting_Team","Striker","Bowling_Team","Stadium","Season","Runs","Wickets","Balls","Average","Strike_Rate"
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Sharjah Cricket Stadium",2020,2,1,3,2,66.6666666666667
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Wankhede Stadium",2018,22,1,19,22,115.789473684211
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Wankhede Stadium",2019,0,1,1,0,0
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Wankhede Stadium",2022,10,1,14,10,71.4285714285714
"Chennai Super Kings","Ambati Rayudu","Mumbai Indians","Zayed Cricket Stadium",2020,71,1,48,71,147.916666666667
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Brabourne Stadium",2022,13,1,21,13,61.9047619047619
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Dubai International Cricket Stadium",2021,4,1,5,4,80
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","MA Chidambaram Stadium",2019,21,0,15,Inf,140
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Maharashtra Cricket Association Stadium",2018,1,1,3,1,33.3333333333333
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",2018,49,1,35,49,140
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Punjab Cricket Association IS Bindra Stadium",2019,1,1,2,1,50
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Wankhede Stadium",2021,0,1,1,0,0
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Wankhede Stadium",2022,78,1,39,78,200
"Chennai Super Kings","Ambati Rayudu","Punjab Kings","Zayed Cricket Stadium",2020,30,0,30,Inf,100
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Brabourne Stadium",2022,3,1,6,3,50
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","MA Chidambaram Stadium",2019,1,1,8,1,12.5
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Maharashtra Cricket Association Stadium",2018,12,1,8,12,150
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Sawai Mansingh Stadium",2018,12,1,9,12,133.333333333333
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Sawai Mansingh Stadium",2019,57,1,47,57,121.276595744681
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Wankhede Stadium",2021,27,1,17,27,158.823529411765
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Zayed Cricket Stadium",2020,13,1,19,13,68.4210526315789
"Chennai Super Kings","Ambati Rayudu","Rajasthan Royals","Zayed Cricket Stadium",2021,2,1,4,2,50
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","Dubai International Cricket Stadium",2020,81,2,67,40.5,120.89552238806
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","M Chinnaswamy Stadium",2018,82,1,53,82,154.716981132075
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","M Chinnaswamy Stadium",2019,29,1,29,29,100
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","MA Chidambaram Stadium",2019,28,1,42,28,66.6666666666667
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2018,32,1,25,32,128
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",2022,10,1,8,10,125
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","Sharjah Cricket Stadium",2021,32,1,22,32,145.454545454545
"Chennai Super Kings","Ambati Rayudu","Royal Challengers Bangalore","Wankhede Stadium",2021,14,1,7,14,200
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Dr DY Patil Sports Academy",2022,27,1,27,27,100
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Dubai International Cricket Stadium",2020,49,2,43,24.5,113.953488372093
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","MA Chidambaram Stadium",2019,21,1,25,21,84
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",2018,100,0,62,Inf,161.290322580645
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2018,79,1,37,79,213.513513513514
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2019,25,0,21,Inf,119.047619047619
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Sharjah Cricket Stadium",2021,17,0,13,Inf,130.769230769231
"Chennai Super Kings","Ambati Rayudu","Sunrisers Hyderabad","Wankhede Stadium",2018,16,1,20,16,80
"Chennai Super Kings","Andrew Flintoff","Delhi Capitals","Kingsmead",2009,16,1,17,16,94.1176470588235
"Chennai Super Kings","Andrew Flintoff","Mumbai Indians","Newlands",2009,24,1,23,24,104.347826086957
"Chennai Super Kings","Andrew Flintoff","Royal Challengers Bangalore","St George's Park",2009,22,0,13,Inf,169.230769230769
"Chennai Super Kings","Ankit Rajpoot","Mumbai Indians","MA Chidambaram Stadium",2013,2,0,6,Inf,33.3333333333333
"Chennai Super Kings","Arun Karthik","Rajasthan Royals","Sardar Patel Stadium",2010,3,0,5,Inf,60
"Chennai Super Kings","Ashish Nehra","Kolkata Knight Riders","Eden Gardens",2015,1,0,4,Inf,25
"Chennai Super Kings","Ashish Nehra","Mumbai Indians","Wankhede Stadium",2015,0,1,1,0,0
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","M Chinnaswamy Stadium",2015,0,0,1,NA,0
"Chennai Super Kings","Ashish Nehra","Royal Challengers Bangalore","MA Chidambaram Stadium",2015,0,0,1,NA,0
"Chennai Super Kings","Ben Laughlin","Mumbai Indians","MA Chidambaram Stadium",2013,0,1,1,0,0
"Chennai Super Kings","Ben Laughlin","Mumbai Indians","Wankhede Stadium",2013,4,0,8,Inf,50
"Chennai Super Kings","Brendon McCullum","Delhi Capitals","Feroz Shah Kotla",2014,32,1,35,32,91.4285714285714
"Chennai Super Kings","Brendon McCullum","Delhi Capitals","MA Chidambaram Stadium",2015,4,1,2,4,200
"Chennai Super Kings","Brendon McCullum","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",2015,11,1,21,11,52.3809523809524
"Chennai Super Kings","Brendon McCullum","Delhi Capitals","Sheikh Zayed Stadium",2014,9,1,10,9,90
"Chennai Super Kings","Brendon McCullum","Kolkata Knight Riders","Eden Gardens",2014,28,1,24,28,116.666666666667
"Chennai Super Kings","Brendon McCullum","Kolkata Knight Riders","Eden Gardens",2015,32,1,12,32,266.666666666667
"Chennai Super Kings","Brendon McCullum","Kolkata Knight Riders","JSCA International Stadium Complex",2014,56,1,40,56,140
"Chennai Super Kings","Brendon McCullum","Kolkata Knight Riders","MA Chidambaram Stadium",2015,19,1,14,19,135.714285714286
"Chennai Super Kings","Brendon McCullum","Mumbai Indians","Brabourne Stadium",2014,14,1,11,14,127.272727272727
"Chennai Super Kings","Brendon McCullum","Mumbai Indians","Dubai International Cricket Stadium",2014,71,0,53,Inf,133.962264150943
"Chennai Super Kings","Brendon McCullum","Mumbai Indians","MA Chidambaram Stadium",2015,23,1,11,23,209.090909090909
"Chennai Super Kings","Brendon McCullum","Mumbai Indians","Wankhede Stadium",2014,13,1,11,13,118.181818181818
"Chennai Super Kings","Brendon McCullum","Mumbai Indians","Wankhede Stadium",2015,46,1,20,46,230
"Chennai Super Kings","Brendon McCullum","Punjab Kings","Barabati Stadium",2014,33,1,29,33,113.793103448276
"Chennai Super Kings","Brendon McCullum","Punjab Kings","MA Chidambaram Stadium",2015,66,1,44,66,150
"Chennai Super Kings","Brendon McCullum","Punjab Kings","Punjab Cricket Association Stadium",2015,6,1,6,6,100
"Chennai Super Kings","Brendon McCullum","Punjab Kings","Sheikh Zayed Stadium",2014,67,1,45,67,148.888888888889
"Chennai Super Kings","Brendon McCullum","Punjab Kings","Wankhede Stadium",2014,11,1,16,11,68.75
"Chennai Super Kings","Brendon McCullum","Rajasthan Royals","Dubai International Cricket Stadium",2014,6,1,10,6,60
"Chennai Super Kings","Brendon McCullum","Rajasthan Royals","JSCA International Stadium Complex",2014,6,1,3,6,200
"Chennai Super Kings","Brendon McCullum","Rajasthan Royals","MA Chidambaram Stadium",2015,81,1,61,81,132.786885245902
"Chennai Super Kings","Brendon McCullum","Rajasthan Royals","Sardar Patel Stadium",2015,12,1,7,12,171.428571428571
"Chennai Super Kings","Brendon McCullum","Royal Challengers Bangalore","JSCA International Stadium Complex",2014,19,1,13,19,146.153846153846
"Chennai Super Kings","Brendon McCullum","Royal Challengers Bangalore","M Chinnaswamy Stadium",2015,4,1,6,4,66.6666666666667
"Chennai Super Kings","Brendon McCullum","Royal Challengers Bangalore","MA Chidambaram Stadium",2015,20,1,15,20,133.333333333333
"Chennai Super Kings","Brendon McCullum","Sunrisers Hyderabad","MA Chidambaram Stadium",2015,100,0,56,Inf,178.571428571429
"Chennai Super Kings","Brendon McCullum","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",2015,12,1,5,12,240
"Chennai Super Kings","Brendon McCullum","Sunrisers Hyderabad","Sharjah Cricket Stadium",2014,40,1,33,40,121.212121212121
"Chennai Super Kings","Chamara Kapugedera","Delhi Capitals","Feroz Shah Kotla",2008,8,1,9,8,88.8888888888889
"Chennai Super Kings","Chamara Kapugedera","Mumbai Indians","Wankhede Stadium",2008,0,1,2,0,0
"Chennai Super Kings","Chamara Kapugedera","Rajasthan Royals","Dr DY Patil Sports Academy",2008,8,1,12,8,66.6666666666667
"Chennai Super Kings","Chris Jordan","Punjab Kings","Brabourne Stadium",2022,5,1,5,5,100
"Chennai Super Kings","Chris Jordan","Sunrisers Hyderabad","Dr DY Patil Sports Academy",2022,6,0,3,Inf,200
"Chennai Super Kings","Chris Morris","Mumbai Indians","Eden Gardens",2013,0,1,1,0,0
"Chennai Super Kings","Chris Morris","Mumbai Indians","Wankhede Stadium",2013,1,1,4,1,25
"Chennai Super Kings","Chris Morris","Pune Warriors","MA Chidambaram Stadium",2013,5,0,5,Inf,100
"Chennai Super Kings","Chris Morris","Rajasthan Royals","MA Chidambaram Stadium",2013,1,0,1,Inf,100
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore","MA Chidambaram Stadium",2013,7,0,4,Inf,175
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad","MA Chidambaram Stadium",2013,0,0,1,NA,0
"Chennai Super Kings","David Hussey","Mumbai Indians","Brabourne Stadium",2014,40,0,29,Inf,137.931034482759
"Chennai Super Kings","David Hussey","Punjab Kings","Wankhede Stadium",2014,1,1,3,1,33.3333333333333
"Chennai Super Kings","David Hussey","Royal Challengers Bangalore","JSCA International Stadium Complex",2014,25,1,29,25,86.2068965517241
"Chennai Super Kings","David Hussey","Sunrisers Hyderabad","JSCA International Stadium Complex",2014,50,0,33,Inf,151.515151515152
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Feroz Shah Kotla",2018,1,0,2,Inf,50
"Chennai Super Kings","Deepak Chahar","Kolkata Knight Riders","Zayed Cricket Stadium",2021,1,0,1,Inf,100
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","MA Chidambaram Stadium",2019,0,1,2,0,0
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Sharjah Cricket Stadium",2020,0,1,5,0,0
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Wankhede Stadium",2018,0,1,1,0,0
"Chennai Super Kings","Deepak Chahar","Mumbai Indians","Wankhede Stadium",2019,7,1,7,7,100
"Chennai Super Kings","Deepak Chahar","Punjab Kings","Maharashtra Cricket Association Stadium",2018,39,1,20,39,195
"Chennai Super Kings","Deepak Chahar","Royal Challengers Bangalore","Dubai International Cricket Stadium",2020,5,0,5,Inf,100
"Chennai Super Kings","Deepak Chahar","Sunrisers Hyderabad","Dubai International Cricket Stadium",2020,2,0,2,Inf,100
