"Striker","Season","Bowler","Batting_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Bowling_Team","Average","Strike_Rate"
"AB de Villiers",2019,"Krunal Pandya","Royal Challengers Bangalore",10,0,11,0,"All","All",Inf,90.9090909090909
"AB de Villiers",2019,"Kuldeep Yadav","Royal Challengers Bangalore",8,0,8,0,"All","All",Inf,100
"AB de Villiers",2019,"Lasith Malinga","Royal Challengers Bangalore",48,1,15,1,"All","All",48,320
"AB de Villiers",2019,"Lockie Ferguson","Royal Challengers Bangalore",6,0,1,0,"All","All",Inf,600
"AB de Villiers",2019,"Mayank Markande","Royal Challengers Bangalore",8,0,8,0,"All","All",Inf,100
"AB de Villiers",2019,"Mohammad Nabi","Royal Challengers Bangalore",1,1,2,0,"All","All",1,50
"AB de Villiers",2019,"Mohammed Shami","Royal Challengers Bangalore",40,0,19,0,"All","All",Inf,210.526315789474
"AB de Villiers",2019,"Murugan Ashwin","Royal Challengers Bangalore",24,0,17,0,"All","All",Inf,141.176470588235
"AB de Villiers",2019,"Nitish Rana","Royal Challengers Bangalore",6,0,3,0,"All","All",Inf,200
"AB de Villiers",2019,"Piyush Chawla","Royal Challengers Bangalore",8,0,6,0,"All","All",Inf,133.333333333333
"AB de Villiers",2019,"Prasidh Krishna","Royal Challengers Bangalore",8,0,3,0,"All","All",Inf,266.666666666667
"AB de Villiers",2019,"Rahul Chahar","Royal Challengers Bangalore",14,0,13,0,"All","All",Inf,107.692307692308
"AB de Villiers",2019,"Ravichandran Ashwin","Royal Challengers Bangalore",13,0,15,0,"All","All",Inf,86.6666666666667
"AB de Villiers",2019,"Ravindra Jadeja","Royal Challengers Bangalore",2,1,2,0,"All","All",2,100
"AB de Villiers",2019,"Sam Curran","Royal Challengers Bangalore",6,0,3,0,"All","All",Inf,200
"AB de Villiers",2019,"Sandeep Lamichhane","Royal Challengers Bangalore",3,0,3,0,"All","All",Inf,100
"AB de Villiers",2019,"Shardul Thakur","Royal Challengers Bangalore",16,0,8,0,"All","All",Inf,200
"AB de Villiers",2019,"Sherfane Rutherford","Royal Challengers Bangalore",1,1,2,0,"All","All",1,50
"AB de Villiers",2019,"Shreyas Gopal","Royal Challengers Bangalore",6,2,7,0,"All","All",3,85.7142857142857
"AB de Villiers",2019,"Sunil Narine","Royal Challengers Bangalore",13,1,7,0,"All","All",13,185.714285714286
"AB de Villiers",2019,"Varun Aaron","Royal Challengers Bangalore",17,0,6,0,"All","All",Inf,283.333333333333
"AB de Villiers",2020,"Abhishek Sharma","Royal Challengers Bangalore",2,0,3,0,"All","All",Inf,66.6666666666667
"AB de Villiers",2020,"Andre Russell","Royal Challengers Bangalore",29,0,11,0,"All","All",Inf,263.636363636364
"AB de Villiers",2020,"Anrich Nortje","Royal Challengers Bangalore",14,2,9,1,"All","All",7,155.555555555556
"AB de Villiers",2020,"Axar Patel","Royal Challengers Bangalore",4,0,4,0,"All","All",Inf,100
"AB de Villiers",2020,"Bhuvneshwar Kumar","Royal Challengers Bangalore",13,1,7,1,"All","All",13,185.714285714286
"AB de Villiers",2020,"Daniel Sams","Royal Challengers Bangalore",9,0,5,0,"All","All",Inf,180
"AB de Villiers",2020,"Deepak Chahar","Royal Challengers Bangalore",0,1,1,0,"All","All",0,0
"AB de Villiers",2020,"Harshal Patel","Royal Challengers Bangalore",5,0,2,0,"All","All",Inf,250
"AB de Villiers",2020,"Imran Tahir","Royal Challengers Bangalore",16,0,14,0,"All","All",Inf,114.285714285714
"AB de Villiers",2020,"James Pattinson","Royal Challengers Bangalore",13,0,6,0,"All","All",Inf,216.666666666667
"AB de Villiers",2020,"Jason Holder","Royal Challengers Bangalore",7,0,6,0,"All","All",Inf,116.666666666667
"AB de Villiers",2020,"Jasprit Bumrah","Royal Challengers Bangalore",28,0,10,0,"All","All",Inf,280
"AB de Villiers",2020,"Jaydev Unadkat","Royal Challengers Bangalore",30,0,10,0,"All","All",Inf,300
"AB de Villiers",2020,"Jofra Archer","Royal Challengers Bangalore",16,0,7,0,"All","All",Inf,228.571428571429
"AB de Villiers",2020,"Kagiso Rabada","Royal Challengers Bangalore",11,0,5,0,"All","All",Inf,220
"AB de Villiers",2020,"Kamlesh Nagarkoti","Royal Challengers Bangalore",20,0,8,0,"All","All",Inf,250
"AB de Villiers",2020,"Kartik Tyagi","Royal Challengers Bangalore",7,0,7,0,"All","All",Inf,100
"AB de Villiers",2020,"Kieron Pollard","Royal Challengers Bangalore",10,1,6,0,"All","All",10,166.666666666667
"AB de Villiers",2020,"Krunal Pandya","Royal Challengers Bangalore",8,0,4,0,"All","All",Inf,200
"AB de Villiers",2020,"Mitchell Santner","Royal Challengers Bangalore",9,0,9,0,"All","All",Inf,100
"AB de Villiers",2020,"Mohammed Shami","Royal Challengers Bangalore",1,1,3,0,"All","All",1,33.3333333333333
"AB de Villiers",2020,"Monu Kumar","Royal Challengers Bangalore",8,0,4,0,"All","All",Inf,200
"AB de Villiers",2020,"Murugan Ashwin","Royal Challengers Bangalore",7,1,6,0,"All","All",7,116.666666666667
"AB de Villiers",2020,"Pat Cummins","Royal Challengers Bangalore",17,0,6,0,"All","All",Inf,283.333333333333
"AB de Villiers",2020,"Prasidh Krishna","Royal Challengers Bangalore",6,0,5,0,"All","All",Inf,120
"AB de Villiers",2020,"Rahul Chahar","Royal Challengers Bangalore",4,0,7,0,"All","All",Inf,57.1428571428571
