"Bowling_Team","Bowler","Batting_Team","Stadium","Runs","Wickets","Balls","Season","Average","Economy"
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians","M Chinnaswamy Stadium",45,1,24,"All",45,11.25
"Chennai Super Kings","Ben Hilfenhaus","Mumbai Indians","Wankhede Stadium",34,2,24,"All",17,8.5
"Chennai Super Kings","Ben Hilfenhaus","Punjab Kings","Barabati Stadium",36,1,24,"All",36,9
"Chennai Super Kings","Ben Hilfenhaus","Punjab Kings","Himachal Pradesh Cricket Association Stadium",20,1,24,"All",20,5
"Chennai Super Kings","Ben Hilfenhaus","Rajasthan Royals","Dubai International Cricket Stadium",32,1,24,"All",32,8
"Chennai Super Kings","Ben Hilfenhaus","Rajasthan Royals","Sawai Mansingh Stadium",8,2,24,"All",4,2
"Chennai Super Kings","Ben Hilfenhaus","Sunrisers Hyderabad","Sharjah Cricket Stadium",32,2,24,"All",16,8
"Chennai Super Kings","Ben Laughlin","Mumbai Indians","MA Chidambaram Stadium",25,1,18,"All",25,8.33333333333333
"Chennai Super Kings","Ben Laughlin","Mumbai Indians","Wankhede Stadium",46,0,24,"All",Inf,11.5
"Chennai Super Kings","Chamara Kapugedera","Delhi Capitals","Feroz Shah Kotla",15,0,6,"All",Inf,15
"Chennai Super Kings","Chamara Kapugedera","Mumbai Indians","Wankhede Stadium",26,0,5,"All",Inf,31.2
"Chennai Super Kings","Chamara Kapugedera","Punjab Kings","MA Chidambaram Stadium",8,0,6,"All",Inf,8
"Chennai Super Kings","Chandrasekar Ganapathy","Royal Challengers Bangalore","MA Chidambaram Stadium",13,0,6,"All",Inf,13
"Chennai Super Kings","Chris Jordan","Gujarat Titans","Maharashtra Cricket Association Stadium",58,0,23,"All",Inf,15.1304347826087
"Chennai Super Kings","Chris Jordan","Punjab Kings","Brabourne Stadium",23,2,24,"All",11.5,5.75
"Chennai Super Kings","Chris Jordan","Royal Challengers Bangalore","Dr DY Patil Sports Academy",20,0,12,"All",Inf,10
"Chennai Super Kings","Chris Jordan","Sunrisers Hyderabad","Dr DY Patil Sports Academy",34,0,18,"All",Inf,11.3333333333333
"Chennai Super Kings","Chris Morris","Delhi Capitals","Feroz Shah Kotla",13,1,12,"All",13,6.5
"Chennai Super Kings","Chris Morris","Kolkata Knight Riders","Eden Gardens",12,1,18,"All",12,4
"Chennai Super Kings","Chris Morris","Kolkata Knight Riders","MA Chidambaram Stadium",29,1,18,"All",29,9.66666666666667
"Chennai Super Kings","Chris Morris","Mumbai Indians","Eden Gardens",25,1,24,"All",25,6.25
"Chennai Super Kings","Chris Morris","Mumbai Indians","Feroz Shah Kotla",26,1,18,"All",26,8.66666666666667
"Chennai Super Kings","Chris Morris","Mumbai Indians","Wankhede Stadium",14,0,18,"All",Inf,4.66666666666667
"Chennai Super Kings","Chris Morris","Pune Warriors","MA Chidambaram Stadium",25,2,24,"All",12.5,6.25
"Chennai Super Kings","Chris Morris","Pune Warriors","Subrata Roy Sahara Stadium",21,1,18,"All",21,7
"Chennai Super Kings","Chris Morris","Punjab Kings","MA Chidambaram Stadium",31,0,18,"All",Inf,10.3333333333333
"Chennai Super Kings","Chris Morris","Punjab Kings","Punjab Cricket Association Stadium",27,2,24,"All",13.5,6.75
"Chennai Super Kings","Chris Morris","Rajasthan Royals","MA Chidambaram Stadium",32,0,18,"All",Inf,10.6666666666667
"Chennai Super Kings","Chris Morris","Rajasthan Royals","Sawai Mansingh Stadium",36,1,24,"All",36,9
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore","M Chinnaswamy Stadium",22,0,12,"All",Inf,11
"Chennai Super Kings","Chris Morris","Royal Challengers Bangalore","MA Chidambaram Stadium",40,3,24,"All",13.3333333333333,10
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad","MA Chidambaram Stadium",24,0,18,"All",Inf,8
"Chennai Super Kings","Chris Morris","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",24,1,12,"All",24,12
"Chennai Super Kings","David Hussey","Royal Challengers Bangalore","JSCA International Stadium Complex",38,2,17,"All",19,13.4117647058824
"Chennai Super Kings","David Willey","Rajasthan Royals","Sawai Mansingh Stadium",47,1,24,"All",47,11.75
"Chennai Super Kings","David Willey","Royal Challengers Bangalore","Maharashtra Cricket Association Stadium",24,1,24,"All",24,6
"Chennai Super Kings","David Willey","Sunrisers Hyderabad","Maharashtra Cricket Association Stadium",24,0,12,"All",Inf,12
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium",28,2,24,"All",14,7
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Dubai International Cricket Stadium",98,1,60,"All",98,9.8
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Feroz Shah Kotla",43,2,42,"All",21.5,6.14285714285714
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","MA Chidambaram Stadium",32,1,18,"All",32,10.6666666666667
"Chennai Super Kings","Deepak Chahar","Delhi Capitals","Sharjah Cricket Stadium",18,2,24,"All",9,4.5
