"Bowling_Team","Bowler","Batting_Team","Runs","Wickets","Balls","Season","Stadium","Average","Economy"
"Delhi Capitals","Axar Patel","Punjab Kings",108,9,138,"All","All",12,4.69565217391304
"Delhi Capitals","Axar Patel","Rajasthan Royals",168,4,132,"All","All",42,7.63636363636364
"Delhi Capitals","Axar Patel","Royal Challengers Bangalore",197,7,168,"All","All",28.1428571428571,7.03571428571429
"Delhi Capitals","Axar Patel","Sunrisers Hyderabad",201,6,168,"All","All",33.5,7.17857142857143
"Delhi Capitals","Ben Rohrer","Rajasthan Royals",12,0,6,"All","All",Inf,12
"Delhi Capitals","Brett Geeves","Mumbai Indians",50,1,24,"All","All",50,12.5
"Delhi Capitals","Brett Geeves","Rajasthan Royals",41,0,24,"All","All",Inf,10.25
"Delhi Capitals","Carlos Brathwaite","Gujarat Lions",38,1,24,"All","All",38,9.5
"Delhi Capitals","Carlos Brathwaite","Kolkata Knight Riders",52,3,36,"All","All",17.3333333333333,8.66666666666667
"Delhi Capitals","Carlos Brathwaite","Punjab Kings",53,0,36,"All","All",Inf,8.83333333333333
"Delhi Capitals","Carlos Brathwaite","Rising Pune Supergiants",17,0,12,"All","All",Inf,8.5
"Delhi Capitals","Carlos Brathwaite","Royal Challengers Bangalore",65,2,43,"All","All",32.5,9.06976744186047
"Delhi Capitals","Carlos Brathwaite","Sunrisers Hyderabad",27,2,24,"All","All",13.5,6.75
"Delhi Capitals","Chetan Sakariya","Kolkata Knight Riders",17,1,18,"All","All",17,5.66666666666667
"Delhi Capitals","Chetan Sakariya","Lucknow Super Giants",44,0,24,"All","All",Inf,11
"Delhi Capitals","Chetan Sakariya","Rajasthan Royals",23,2,24,"All","All",11.5,5.75
"Delhi Capitals","Chris Morris","Chennai Super Kings",47,1,24,"All","All",47,11.75
"Delhi Capitals","Chris Morris","Gujarat Lions",67,3,48,"All","All",22.3333333333333,8.375
"Delhi Capitals","Chris Morris","Kolkata Knight Riders",223,7,156,"All","All",31.8571428571429,8.57692307692308
"Delhi Capitals","Chris Morris","Mumbai Indians",133,3,90,"All","All",44.3333333333333,8.86666666666667
"Delhi Capitals","Chris Morris","Punjab Kings",140,10,126,"All","All",14,6.66666666666667
"Delhi Capitals","Chris Morris","Rajasthan Royals",75,1,42,"All","All",75,10.7142857142857
"Delhi Capitals","Chris Morris","Rising Pune Supergiants",31,2,24,"All","All",15.5,7.75
"Delhi Capitals","Chris Morris","Royal Challengers Bangalore",152,6,114,"All","All",25.3333333333333,8
"Delhi Capitals","Chris Morris","Sunrisers Hyderabad",129,8,108,"All","All",16.125,7.16666666666667
"Delhi Capitals","Chris Woakes","Chennai Super Kings",18,2,18,"All","All",9,6
"Delhi Capitals","Chris Woakes","Punjab Kings",42,1,24,"All","All",42,10.5
"Delhi Capitals","Chris Woakes","Rajasthan Royals",22,2,24,"All","All",11,5.5
"Delhi Capitals","Corey Anderson","Gujarat Lions",55,1,30,"All","All",55,11
"Delhi Capitals","Corey Anderson","Kolkata Knight Riders",27,0,17,"All","All",Inf,9.52941176470588
"Delhi Capitals","Corey Anderson","Mumbai Indians",29,1,12,"All","All",29,14.5
"Delhi Capitals","Corey Anderson","Punjab Kings",23,1,18,"All","All",23,7.66666666666667
"Delhi Capitals","Corey Anderson","Rising Pune Supergiants",14,0,12,"All","All",Inf,7
"Delhi Capitals","Corey Anderson","Royal Challengers Bangalore",38,0,24,"All","All",Inf,9.5
"Delhi Capitals","Dan Christian","Mumbai Indians",35,2,18,"All","All",17.5,11.6666666666667
"Delhi Capitals","Dan Christian","Punjab Kings",29,2,30,"All","All",14.5,5.8
"Delhi Capitals","Dan Christian","Sunrisers Hyderabad",37,0,23,"All","All",Inf,9.65217391304348
"Delhi Capitals","Daniel Sams","Mumbai Indians",44,0,24,"All","All",Inf,11
"Delhi Capitals","Daniel Sams","Punjab Kings",30,0,24,"All","All",Inf,7.5
"Delhi Capitals","Daniel Sams","Royal Challengers Bangalore",40,0,24,"All","All",Inf,10
"Delhi Capitals","Daniel Vettori","Chennai Super Kings",29,2,24,"All","All",14.5,7.25
"Delhi Capitals","Daniel Vettori","Deccan Chargers",23,1,18,"All","All",23,7.66666666666667
"Delhi Capitals","Daniel Vettori","Kolkata Knight Riders",30,1,24,"All","All",30,7.5
"Delhi Capitals","Daniel Vettori","Punjab Kings",57,3,59,"All","All",19,5.79661016949153
"Delhi Capitals","Daniel Vettori","Rajasthan Royals",67,1,36,"All","All",67,11.1666666666667
"Delhi Capitals","Daniel Vettori","Royal Challengers Bangalore",126,3,96,"All","All",42,7.875
"Delhi Capitals","Dirk Nannes","Chennai Super Kings",102,5,90,"All","All",20.4,6.8
"Delhi Capitals","Dirk Nannes","Deccan Chargers",146,4,114,"All","All",36.5,7.68421052631579
"Delhi Capitals","Dirk Nannes","Kolkata Knight Riders",79,3,67,"All","All",26.3333333333333,7.07462686567164
"Delhi Capitals","Dirk Nannes","Mumbai Indians",95,5,72,"All","All",19,7.91666666666667
"Delhi Capitals","Dirk Nannes","Punjab Kings",36,2,42,"All","All",18,5.14285714285714
"Delhi Capitals","Dirk Nannes","Rajasthan Royals",83,2,69,"All","All",41.5,7.21739130434783
"Delhi Capitals","Dirk Nannes","Royal Challengers Bangalore",55,1,48,"All","All",55,6.875
"Delhi Capitals","Domnic Muthuswami","Chennai Super Kings",18,1,18,"All","All",18,6
"Delhi Capitals","Domnic Muthuswami","Kolkata Knight Riders",18,2,18,"All","All",9,6
"Delhi Capitals","Domnic Muthuswami","Mumbai Indians",7,1,12,"All","All",7,3.5
"Delhi Capitals","Domnic Muthuswami","Punjab Kings",24,0,18,"All","All",Inf,8
"Delhi Capitals","Domnic Muthuswami","Royal Challengers Bangalore",14,0,6,"All","All",Inf,14
"Delhi Capitals","Domnic Muthuswami","Sunrisers Hyderabad",20,0,12,"All","All",Inf,10
"Delhi Capitals","Doug Bracewell","Royal Challengers Bangalore",32,3,24,"All","All",10.6666666666667,8
"Delhi Capitals","Farveez Maharoof","Deccan Chargers",75,4,48,"All","All",18.75,9.375
"Delhi Capitals","Farveez Maharoof","Kolkata Knight Riders",55,2,42,"All","All",27.5,7.85714285714286
"Delhi Capitals","Farveez Maharoof","Mumbai Indians",77,3,48,"All","All",25.6666666666667,9.625
"Delhi Capitals","Farveez Maharoof","Punjab Kings",124,4,84,"All","All",31,8.85714285714286
"Delhi Capitals","Farveez Maharoof","Rajasthan Royals",139,11,138,"All","All",12.6363636363636,6.04347826086957
"Delhi Capitals","Farveez Maharoof","Royal Challengers Bangalore",50,3,60,"All","All",16.6666666666667,5
"Delhi Capitals","Glenn Maxwell","Chennai Super Kings",19,1,18,"All","All",19,6.33333333333333
"Delhi Capitals","Glenn Maxwell","Kolkata Knight Riders",34,2,18,"All","All",17,11.3333333333333
"Delhi Capitals","Glenn Maxwell","Mumbai Indians",40,0,30,"All","All",Inf,8
"Delhi Capitals","Glenn Maxwell","Punjab Kings",4,0,6,"All","All",Inf,4
"Delhi Capitals","Glenn Maxwell","Rajasthan Royals",21,1,6,"All","All",21,21
"Delhi Capitals","Glenn Maxwell","Royal Challengers Bangalore",23,2,24,"All","All",11.5,5.75
"Delhi Capitals","Glenn Maxwell","Sunrisers Hyderabad",13,0,12,"All","All",Inf,6.5
"Delhi Capitals","Glenn McGrath","Chennai Super Kings",44,1,48,"All","All",44,5.5
"Delhi Capitals","Glenn McGrath","Deccan Chargers",64,2,48,"All","All",32,8
"Delhi Capitals","Glenn McGrath","Kolkata Knight Riders",22,0,24,"All","All",Inf,5.5
"Delhi Capitals","Glenn McGrath","Mumbai Indians",65,0,48,"All","All",Inf,8.125
"Delhi Capitals","Glenn McGrath","Punjab Kings",47,2,36,"All","All",23.5,7.83333333333333
"Delhi Capitals","Glenn McGrath","Rajasthan Royals",71,1,72,"All","All",71,5.91666666666667
"Delhi Capitals","Glenn McGrath","Royal Challengers Bangalore",44,6,48,"All","All",7.33333333333333,5.5
"Delhi Capitals","Gurinder Sandhu","Chennai Super Kings",33,1,24,"All","All",33,8.25
"Delhi Capitals","Gurinder Sandhu","Rajasthan Royals",49,0,24,"All","All",Inf,12.25
"Delhi Capitals","Hanuma Vihari","Punjab Kings",9,0,6,"All","All",Inf,9
"Delhi Capitals","Harshal Patel","Chennai Super Kings",23,1,24,"All","All",23,5.75
"Delhi Capitals","Harshal Patel","Kolkata Knight Riders",74,4,48,"All","All",18.5,9.25
"Delhi Capitals","Harshal Patel","Mumbai Indians",56,3,33,"All","All",18.6666666666667,10.1818181818182
"Delhi Capitals","Harshal Patel","Punjab Kings",37,0,24,"All","All",Inf,9.25
"Delhi Capitals","Harshal Patel","Rajasthan Royals",29,1,24,"All","All",29,7.25
"Delhi Capitals","Harshal Patel","Royal Challengers Bangalore",127,2,66,"All","All",63.5,11.5454545454545
"Delhi Capitals","Harshal Patel","Sunrisers Hyderabad",32,1,24,"All","All",32,8
"Delhi Capitals","Imran Tahir","Chennai Super Kings",27,1,24,"All","All",27,6.75
"Delhi Capitals","Imran Tahir","Gujarat Lions",24,3,24,"All","All",8,6
"Delhi Capitals","Imran Tahir","Kolkata Knight Riders",76,3,48,"All","All",25.3333333333333,9.5
"Delhi Capitals","Imran Tahir","Mumbai Indians",174,6,111,"All","All",29,9.40540540540541
"Delhi Capitals","Imran Tahir","Punjab Kings",133,7,89,"All","All",19,8.96629213483146
"Delhi Capitals","Imran Tahir","Rajasthan Royals",53,6,48,"All","All",8.83333333333333,6.625
"Delhi Capitals","Imran Tahir","Rising Pune Supergiants",26,2,24,"All","All",13,6.5
"Delhi Capitals","Imran Tahir","Royal Challengers Bangalore",68,0,36,"All","All",Inf,11.3333333333333
"Delhi Capitals","Imran Tahir","Sunrisers Hyderabad",42,1,30,"All","All",42,8.4
"Delhi Capitals","Irfan Pathan","Chennai Super Kings",134,4,102,"All","All",33.5,7.88235294117647
"Delhi Capitals","Irfan Pathan","Deccan Chargers",119,1,90,"All","All",119,7.93333333333333
"Delhi Capitals","Irfan Pathan","Kochi Tuskers Kerala",65,2,48,"All","All",32.5,8.125
"Delhi Capitals","Irfan Pathan","Kolkata Knight Riders",104,3,108,"All","All",34.6666666666667,5.77777777777778
"Delhi Capitals","Irfan Pathan","Mumbai Indians",156,5,137,"All","All",31.2,6.83211678832117
"Delhi Capitals","Irfan Pathan","Pune Warriors",139,4,114,"All","All",34.75,7.31578947368421
"Delhi Capitals","Irfan Pathan","Punjab Kings",157,6,126,"All","All",26.1666666666667,7.47619047619048
"Delhi Capitals","Irfan Pathan","Rajasthan Royals",112,2,78,"All","All",56,8.61538461538461
"Delhi Capitals","Irfan Pathan","Royal Challengers Bangalore",180,1,114,"All","All",180,9.47368421052632
"Delhi Capitals","Irfan Pathan","Sunrisers Hyderabad",25,1,26,"All","All",25,5.76923076923077
"Delhi Capitals","Ishant Sharma","Chennai Super Kings",52,2,42,"All","All",26,7.42857142857143
"Delhi Capitals","Ishant Sharma","Kolkata Knight Riders",55,1,48,"All","All",55,6.875
"Delhi Capitals","Ishant Sharma","Mumbai Indians",51,2,42,"All","All",25.5,7.28571428571428
"Delhi Capitals","Ishant Sharma","Punjab Kings",66,0,48,"All","All",Inf,8.25
"Delhi Capitals","Ishant Sharma","Rajasthan Royals",67,4,48,"All","All",16.75,8.375
"Delhi Capitals","Ishant Sharma","Royal Challengers Bangalore",97,2,72,"All","All",48.5,8.08333333333333
"Delhi Capitals","Ishant Sharma","Sunrisers Hyderabad",84,3,66,"All","All",28,7.63636363636364
"Delhi Capitals","Jagadeesha Suchith","Chennai Super Kings",28,2,24,"All","All",14,7
"Delhi Capitals","James Hopes","Chennai Super Kings",16,0,12,"All","All",Inf,8
"Delhi Capitals","James Hopes","Deccan Chargers",65,2,42,"All","All",32.5,9.28571428571429
"Delhi Capitals","James Hopes","Kolkata Knight Riders",25,1,24,"All","All",25,6.25
"Delhi Capitals","James Hopes","Mumbai Indians",45,1,24,"All","All",45,11.25
"Delhi Capitals","James Hopes","Pune Warriors",26,1,24,"All","All",26,6.5
"Delhi Capitals","James Hopes","Punjab Kings",70,1,42,"All","All",70,10
"Delhi Capitals","James Hopes","Royal Challengers Bangalore",25,1,24,"All","All",25,6.25
"Delhi Capitals","James Neesham","Chennai Super Kings",29,1,24,"All","All",29,7.25
"Delhi Capitals","James Neesham","Kolkata Knight Riders",26,0,12,"All","All",Inf,13
"Delhi Capitals","James Neesham","Punjab Kings",14,0,6,"All","All",Inf,14
"Delhi Capitals","James Neesham","Royal Challengers Bangalore",22,0,12,"All","All",Inf,11
"Delhi Capitals","Jayant Yadav","Chennai Super Kings",8,1,12,"All","All",8,4
"Delhi Capitals","Jayant Yadav","Punjab Kings",23,1,24,"All","All",23,5.75
"Delhi Capitals","Jayant Yadav","Rising Pune Supergiants",25,0,24,"All","All",Inf,6.25
"Delhi Capitals","Jayant Yadav","Royal Challengers Bangalore",10,0,12,"All","All",Inf,5
"Delhi Capitals","Jayant Yadav","Sunrisers Hyderabad",130,2,108,"All","All",65,7.22222222222222
"Delhi Capitals","Jaydev Unadkat","Chennai Super Kings",79,3,46,"All","All",26.3333333333333,10.304347826087
"Delhi Capitals","Jaydev Unadkat","Kolkata Knight Riders",25,1,24,"All","All",25,6.25
"Delhi Capitals","Jaydev Unadkat","Mumbai Indians",53,4,36,"All","All",13.25,8.83333333333333
"Delhi Capitals","Jaydev Unadkat","Punjab Kings",34,1,36,"All","All",34,5.66666666666667
"Delhi Capitals","Jaydev Unadkat","Rajasthan Royals",66,0,39,"All","All",Inf,10.1538461538462
"Delhi Capitals","Jaydev Unadkat","Sunrisers Hyderabad",43,0,24,"All","All",Inf,10.75
"Delhi Capitals","Jean-Paul Duminy","Chennai Super Kings",41,1,36,"All","All",41,6.83333333333333
"Delhi Capitals","Jean-Paul Duminy","Gujarat Lions",18,1,18,"All","All",18,6
"Delhi Capitals","Jean-Paul Duminy","Kolkata Knight Riders",75,0,42,"All","All",Inf,10.7142857142857
"Delhi Capitals","Jean-Paul Duminy","Mumbai Indians",58,0,48,"All","All",Inf,7.25
"Delhi Capitals","Jean-Paul Duminy","Punjab Kings",73,5,72,"All","All",14.6,6.08333333333333
"Delhi Capitals","Jean-Paul Duminy","Rajasthan Royals",25,1,18,"All","All",25,8.33333333333333
"Delhi Capitals","Jean-Paul Duminy","Rising Pune Supergiants",9,0,6,"All","All",Inf,9
"Delhi Capitals","Jean-Paul Duminy","Royal Challengers Bangalore",42,0,42,"All","All",Inf,6
"Delhi Capitals","Jean-Paul Duminy","Sunrisers Hyderabad",80,5,60,"All","All",16,8
"Delhi Capitals","Jeevan Mendis","Mumbai Indians",20,0,12,"All","All",Inf,10
"Delhi Capitals","Jeevan Mendis","Sunrisers Hyderabad",16,1,18,"All","All",16,5.33333333333333
"Delhi Capitals","Johan Botha","Chennai Super Kings",23,0,12,"All","All",Inf,11.5
"Delhi Capitals","Johan Botha","Kolkata Knight Riders",22,1,22,"All","All",22,6
"Delhi Capitals","Johan Botha","Punjab Kings",23,1,24,"All","All",23,5.75
"Delhi Capitals","Johan Botha","Rajasthan Royals",19,0,6,"All","All",Inf,19
"Delhi Capitals","Johan Botha","Sunrisers Hyderabad",22,3,36,"All","All",7.33333333333333,3.66666666666667
"Delhi Capitals","Junior Dala","Royal Challengers Bangalore",34,0,18,"All","All",Inf,11.3333333333333
"Delhi Capitals","Kagiso Rabada","Chennai Super Kings",129,5,112,"All","All",25.8,6.91071428571428
"Delhi Capitals","Kagiso Rabada","Gujarat Lions",28,2,24,"All","All",14,7
"Delhi Capitals","Kagiso Rabada","Kolkata Knight Riders",269,11,182,"All","All",24.4545454545455,8.86813186813187
"Delhi Capitals","Kagiso Rabada","Mumbai Indians",311,10,222,"All","All",31.1,8.40540540540541
"Delhi Capitals","Kagiso Rabada","Punjab Kings",207,12,156,"All","All",17.25,7.96153846153846
"Delhi Capitals","Kagiso Rabada","Rajasthan Royals",156,9,118,"All","All",17.3333333333333,7.93220338983051
"Delhi Capitals","Kagiso Rabada","Royal Challengers Bangalore",181,13,144,"All","All",13.9230769230769,7.54166666666667
"Delhi Capitals","Kagiso Rabada","Sunrisers Hyderabad",279,14,182,"All","All",19.9285714285714,9.1978021978022
"Delhi Capitals","Kamlesh Nagarkoti","Mumbai Indians",29,0,12,"All","All",Inf,14.5
"Delhi Capitals","Keemo Paul","Chennai Super Kings",69,0,36,"All","All",Inf,11.5
"Delhi Capitals","Keemo Paul","Kolkata Knight Riders",46,2,24,"All","All",23,11.5
"Delhi Capitals","Keemo Paul","Mumbai Indians",58,1,36,"All","All",58,9.66666666666667
"Delhi Capitals","Keemo Paul","Rajasthan Royals",15,0,19,"All","All",Inf,4.73684210526316
"Delhi Capitals","Keemo Paul","Sunrisers Hyderabad",49,6,48,"All","All",8.16666666666667,6.125
"Delhi Capitals","Kevin Pietersen","Chennai Super Kings",16,0,12,"All","All",Inf,8
"Delhi Capitals","Kevin Pietersen","Deccan Chargers",16,0,12,"All","All",Inf,8
"Delhi Capitals","Kevin Pietersen","Pune Warriors",21,0,12,"All","All",Inf,10.5
"Delhi Capitals","Khaleel Ahmed","Chennai Super Kings",28,2,24,"All","All",14,7
"Delhi Capitals","Khaleel Ahmed","Gujarat Titans",34,2,24,"All","All",17,8.5
"Delhi Capitals","Khaleel Ahmed","Kolkata Knight Riders",25,3,24,"All","All",8.33333333333333,6.25
"Delhi Capitals","Khaleel Ahmed","Mumbai Indians",51,2,43,"All","All",25.5,7.11627906976744
"Delhi Capitals","Khaleel Ahmed","Punjab Kings",64,2,48,"All","All",32,8
"Delhi Capitals","Khaleel Ahmed","Rajasthan Royals",47,1,24,"All","All",47,11.75
"Delhi Capitals","Khaleel Ahmed","Royal Challengers Bangalore",36,1,24,"All","All",36,9
"Delhi Capitals","Khaleel Ahmed","Sunrisers Hyderabad",30,3,24,"All","All",10,7.5
"Delhi Capitals","Kuldeep Yadav","Chennai Super Kings",43,0,18,"All","All",Inf,14.3333333333333
"Delhi Capitals","Kuldeep Yadav","Gujarat Titans",32,1,24,"All","All",32,8
"Delhi Capitals","Kuldeep Yadav","Kolkata Knight Riders",49,8,42,"All","All",6.125,7
"Delhi Capitals","Kuldeep Yadav","Lucknow Super Giants",60,2,40,"All","All",30,9
"Delhi Capitals","Kuldeep Yadav","Mumbai Indians",51,4,48,"All","All",12.75,6.375
"Delhi Capitals","Kuldeep Yadav","Punjab Kings",38,4,42,"All","All",9.5,5.42857142857143
"Delhi Capitals","Kuldeep Yadav","Rajasthan Royals",60,0,36,"All","All",Inf,10
"Delhi Capitals","Kuldeep Yadav","Royal Challengers Bangalore",46,1,24,"All","All",46,11.5
"Delhi Capitals","Kuldeep Yadav","Sunrisers Hyderabad",40,1,24,"All","All",40,10
"Delhi Capitals","Lalit Yadav","Kolkata Knight Riders",88,4,60,"All","All",22,8.8
"Delhi Capitals","Lalit Yadav","Lucknow Super Giants",37,1,30,"All","All",37,7.4
"Delhi Capitals","Lalit Yadav","Mumbai Indians",32,1,36,"All","All",32,5.33333333333333
"Delhi Capitals","Lalit Yadav","Punjab Kings",53,2,42,"All","All",26.5,7.57142857142857
"Delhi Capitals","Lalit Yadav","Rajasthan Royals",41,0,24,"All","All",Inf,10.25
"Delhi Capitals","Laxmi Shukla","Chennai Super Kings",31,1,24,"All","All",31,7.75
"Delhi Capitals","Laxmi Shukla","Kolkata Knight Riders",19,0,12,"All","All",Inf,9.5
"Delhi Capitals","Laxmi Shukla","Mumbai Indians",5,0,6,"All","All",Inf,5
"Delhi Capitals","Laxmi Shukla","Sunrisers Hyderabad",28,0,14,"All","All",Inf,12
"Delhi Capitals","Liam Plunkett","Chennai Super Kings",52,0,18,"All","All",Inf,17.3333333333333
"Delhi Capitals","Liam Plunkett","Kolkata Knight Riders",24,0,24,"All","All",Inf,6
"Delhi Capitals","Liam Plunkett","Mumbai Indians",27,0,18,"All","All",Inf,9
"Delhi Capitals","Liam Plunkett","Punjab Kings",17,3,24,"All","All",5.66666666666667,4.25
"Delhi Capitals","Liam Plunkett","Rajasthan Royals",37,0,18,"All","All",Inf,12.3333333333333
"Delhi Capitals","Liam Plunkett","Sunrisers Hyderabad",68,1,48,"All","All",68,8.5
"Delhi Capitals","Lukman Meriwala","Punjab Kings",32,1,18,"All","All",32,10.6666666666667
"Delhi Capitals","Manoj Tiwary","Chennai Super Kings",11,0,6,"All","All",Inf,11
"Delhi Capitals","Manoj Tiwary","Rajasthan Royals",28,0,12,"All","All",Inf,14
"Delhi Capitals","Marcus Stoinis","Chennai Super Kings",36,0,18,"All","All",Inf,12
"Delhi Capitals","Marcus Stoinis","Kolkata Knight Riders",94,4,54,"All","All",23.5,10.4444444444444
"Delhi Capitals","Marcus Stoinis","Mumbai Indians",83,4,58,"All","All",20.75,8.58620689655172
"Delhi Capitals","Marcus Stoinis","Punjab Kings",49,2,30,"All","All",24.5,9.8
"Delhi Capitals","Marcus Stoinis","Rajasthan Royals",32,2,18,"All","All",16,10.6666666666667
"Delhi Capitals","Marcus Stoinis","Royal Challengers Bangalore",23,0,6,"All","All",Inf,23
"Delhi Capitals","Marcus Stoinis","Sunrisers Hyderabad",83,3,61,"All","All",27.6666666666667,8.16393442622951
"Delhi Capitals","Marlon Samuels","Gujarat Lions",22,0,12,"All","All",Inf,11
"Delhi Capitals","Marlon Samuels","Rising Pune Supergiants",12,0,6,"All","All",Inf,12
"Delhi Capitals","Mitchell Marsh","Chennai Super Kings",34,1,18,"All","All",34,11.3333333333333
"Delhi Capitals","Mitchell Marsh","Mumbai Indians",7,0,12,"All","All",Inf,3.5
"Delhi Capitals","Mitchell Marsh","Rajasthan Royals",25,2,18,"All","All",12.5,8.33333333333333
"Delhi Capitals","Mitchell Marsh","Sunrisers Hyderabad",36,1,24,"All","All",36,9
"Delhi Capitals","Mohammad Asif","Chennai Super Kings",67,2,48,"All","All",33.5,8.375
"Delhi Capitals","Mohammad Asif","Deccan Chargers",70,2,48,"All","All",35,8.75
"Delhi Capitals","Mohammad Asif","Mumbai Indians",46,1,24,"All","All",46,11.5
"Delhi Capitals","Mohammad Asif","Punjab Kings",39,2,24,"All","All",19.5,9.75
"Delhi Capitals","Mohammad Asif","Rajasthan Royals",32,1,24,"All","All",32,8
"Delhi Capitals","Mohammad Asif","Royal Challengers Bangalore",42,0,24,"All","All",Inf,10.5
"Delhi Capitals","Mohammed Shami","Chennai Super Kings",87,1,48,"All","All",87,10.875
"Delhi Capitals","Mohammed Shami","Gujarat Lions",107,2,66,"All","All",53.5,9.72727272727273
"Delhi Capitals","Mohammed Shami","Kolkata Knight Riders",170,2,114,"All","All",85,8.94736842105263
"Delhi Capitals","Mohammed Shami","Mumbai Indians",112,1,78,"All","All",112,8.61538461538461
"Delhi Capitals","Mohammed Shami","Punjab Kings",144,3,84,"All","All",48,10.2857142857143
"Delhi Capitals","Mohammed Shami","Rajasthan Royals",51,2,47,"All","All",25.5,6.51063829787234
"Delhi Capitals","Mohammed Shami","Rising Pune Supergiants",99,2,49,"All","All",49.5,12.1224489795918
"Delhi Capitals","Mohammed Shami","Royal Challengers Bangalore",126,4,96,"All","All",31.5,7.875
"Delhi Capitals","Mohammed Shami","Sunrisers Hyderabad",104,3,72,"All","All",34.6666666666667,8.66666666666667
"Delhi Capitals","Mohit Sharma","Punjab Kings",45,1,24,"All","All",45,11.25
"Delhi Capitals","Moises Henriques","Deccan Chargers",35,1,24,"All","All",35,8.75
"Delhi Capitals","Morne Morkel","Chennai Super Kings",92,3,72,"All","All",30.6666666666667,7.66666666666667
"Delhi Capitals","Morne Morkel","Deccan Chargers",123,4,96,"All","All",30.75,7.6875
"Delhi Capitals","Morne Morkel","Kochi Tuskers Kerala",47,4,42,"All","All",11.75,6.71428571428571
"Delhi Capitals","Morne Morkel","Kolkata Knight Riders",154,6,114,"All","All",25.6666666666667,8.10526315789474
"Delhi Capitals","Morne Morkel","Mumbai Indians",164,6,120,"All","All",27.3333333333333,8.2
"Delhi Capitals","Morne Morkel","Pune Warriors",156,4,96,"All","All",39,9.75
"Delhi Capitals","Morne Morkel","Punjab Kings",128,7,120,"All","All",18.2857142857143,6.4
"Delhi Capitals","Morne Morkel","Rajasthan Royals",100,3,96,"All","All",33.3333333333333,6.25
"Delhi Capitals","Morne Morkel","Royal Challengers Bangalore",122,6,96,"All","All",20.3333333333333,7.625
"Delhi Capitals","Morne Morkel","Sunrisers Hyderabad",27,2,24,"All","All",13.5,6.75
"Delhi Capitals","Murali Vijay","Chennai Super Kings",13,0,6,"All","All",Inf,13
"Delhi Capitals","Mustafizur Rahman","Gujarat Titans",23,3,24,"All","All",7.66666666666667,5.75
"Delhi Capitals","Mustafizur Rahman","Kolkata Knight Riders",39,3,48,"All","All",13,4.875
"Delhi Capitals","Mustafizur Rahman","Lucknow Super Giants",63,0,48,"All","All",Inf,7.875
"Delhi Capitals","Mustafizur Rahman","Punjab Kings",28,1,24,"All","All",28,7
"Delhi Capitals","Mustafizur Rahman","Rajasthan Royals",43,1,24,"All","All",43,10.75
"Delhi Capitals","Mustafizur Rahman","Royal Challengers Bangalore",48,0,24,"All","All",Inf,12
"Delhi Capitals","Nathan Coulter-Nile","Chennai Super Kings",30,3,24,"All","All",10,7.5
"Delhi Capitals","Nathan Coulter-Nile","Kolkata Knight Riders",89,3,72,"All","All",29.6666666666667,7.41666666666667
"Delhi Capitals","Nathan Coulter-Nile","Mumbai Indians",66,3,48,"All","All",22,8.25
"Delhi Capitals","Nathan Coulter-Nile","Punjab Kings",34,4,42,"All","All",8.5,4.85714285714286
"Delhi Capitals","Nathan Coulter-Nile","Rajasthan Royals",80,1,48,"All","All",80,10
"Delhi Capitals","Nathan Coulter-Nile","Rising Pune Supergiants",21,0,18,"All","All",Inf,7
"Delhi Capitals","Nathan Coulter-Nile","Royal Challengers Bangalore",30,0,21,"All","All",Inf,8.57142857142857
"Delhi Capitals","Nathan Coulter-Nile","Sunrisers Hyderabad",112,6,96,"All","All",18.6666666666667,7
"Delhi Capitals","Pat Cummins","Gujarat Lions",68,3,48,"All","All",22.6666666666667,8.5
"Delhi Capitals","Pat Cummins","Kolkata Knight Riders",61,2,42,"All","All",30.5,8.71428571428571
"Delhi Capitals","Pat Cummins","Mumbai Indians",79,2,48,"All","All",39.5,9.875
"Delhi Capitals","Pat Cummins","Punjab Kings",23,2,24,"All","All",11.5,5.75
"Delhi Capitals","Pat Cummins","Rising Pune Supergiants",55,3,43,"All","All",18.3333333333333,7.67441860465116
"Delhi Capitals","Pat Cummins","Royal Challengers Bangalore",50,3,48,"All","All",16.6666666666667,6.25
"Delhi Capitals","Pat Cummins","Sunrisers Hyderabad",37,0,24,"All","All",Inf,9.25
"Delhi Capitals","Paul Collingwood","Deccan Chargers",23,1,18,"All","All",23,7.66666666666667
"Delhi Capitals","Paul Collingwood","Kolkata Knight Riders",26,1,17,"All","All",26,9.17647058823529
"Delhi Capitals","Paul Collingwood","Mumbai Indians",27,0,24,"All","All",Inf,6.75
"Delhi Capitals","Paul Collingwood","Punjab Kings",19,2,24,"All","All",9.5,4.75
"Delhi Capitals","Paul Collingwood","Rajasthan Royals",6,1,6,"All","All",6,6
"Delhi Capitals","Pawan Negi","Chennai Super Kings",33,1,24,"All","All",33,8.25
"Delhi Capitals","Pawan Negi","Kolkata Knight Riders",18,1,24,"All","All",18,4.5
"Delhi Capitals","Pawan Negi","Mumbai Indians",19,0,6,"All","All",Inf,19
"Delhi Capitals","Pawan Negi","Pune Warriors",22,0,24,"All","All",Inf,5.5
"Delhi Capitals","Pawan Negi","Punjab Kings",34,1,24,"All","All",34,8.5
"Delhi Capitals","Pawan Negi","Rajasthan Royals",46,4,48,"All","All",11.5,5.75
"Delhi Capitals","Pawan Negi","Rising Pune Supergiants",10,0,6,"All","All",Inf,10
