"Bowling_Team","Bowler","Season","Runs","Wickets","Balls","Batting_Team","Stadium","Average","Economy"
"Mumbai Indians","Kieron Pollard",2020,190,4,126,"All","All",47.5,9.04761904761905
"Mumbai Indians","Kieron Pollard",2021,95,5,79,"All","All",19,7.21518987341772
"Mumbai Indians","Kieron Pollard",2022,125,4,84,"All","All",31.25,8.92857142857143
"Mumbai Indians","Krishmar Santokie",2014,90,3,48,"All","All",30,11.25
"Mumbai Indians","Krunal Pandya",2016,236,6,187,"All","All",39.3333333333333,7.57219251336898
"Mumbai Indians","Krunal Pandya",2017,273,10,240,"All","All",27.3,6.825
"Mumbai Indians","Krunal Pandya",2018,284,12,241,"All","All",23.6666666666667,7.07053941908714
"Mumbai Indians","Krunal Pandya",2019,335,12,276,"All","All",27.9166666666667,7.28260869565217
"Mumbai Indians","Krunal Pandya",2020,380,6,301,"All","All",63.3333333333333,7.57475083056478
"Mumbai Indians","Krunal Pandya",2021,265,5,199,"All","All",53,7.98994974874372
"Mumbai Indians","Kumar Kartikeya",2022,102,5,78,"All","All",20.4,7.84615384615385
"Mumbai Indians","Lasith Malinga",2009,311,18,297,"All","All",17.2777777777778,6.28282828282828
"Mumbai Indians","Lasith Malinga",2010,344,15,294,"All","All",22.9333333333333,7.02040816326531
"Mumbai Indians","Lasith Malinga",2011,375,28,378,"All","All",13.3928571428571,5.95238095238095
"Mumbai Indians","Lasith Malinga",2012,350,22,333,"All","All",15.9090909090909,6.30630630630631
"Mumbai Indians","Lasith Malinga",2013,467,20,392,"All","All",23.35,7.14795918367347
"Mumbai Indians","Lasith Malinga",2014,253,16,235,"All","All",15.8125,6.45957446808511
"Mumbai Indians","Lasith Malinga",2015,444,24,360,"All","All",18.5,7.4
"Mumbai Indians","Lasith Malinga",2017,382,11,269,"All","All",34.7272727272727,8.52044609665428
"Mumbai Indians","Lasith Malinga",2019,438,16,269,"All","All",27.375,9.76951672862453
"Mumbai Indians","Lendl Simmons",2014,34,1,18,"All","All",34,11.3333333333333
"Mumbai Indians","Marchant de Lange",2014,32,2,24,"All","All",16,8
"Mumbai Indians","Marchant de Lange",2015,30,0,24,"All","All",Inf,7.5
"Mumbai Indians","Marco Jansen",2021,45,2,36,"All","All",22.5,7.5
"Mumbai Indians","Mayank Markande",2018,368,15,264,"All","All",24.5333333333333,8.36363636363636
"Mumbai Indians","Mayank Markande",2019,59,1,36,"All","All",59,9.83333333333333
"Mumbai Indians","Mayank Markande",2022,57,1,42,"All","All",57,8.14285714285714
"Mumbai Indians","Mitchell Johnson",2013,459,24,384,"All","All",19.125,7.171875
"Mumbai Indians","Mitchell Johnson",2017,141,7,120,"All","All",20.1428571428571,7.05
"Mumbai Indians","Mitchell McClenaghan",2015,386,18,282,"All","All",21.4444444444444,8.21276595744681
"Mumbai Indians","Mitchell McClenaghan",2016,436,17,320,"All","All",25.6470588235294,8.175
"Mumbai Indians","Mitchell McClenaghan",2017,507,19,324,"All","All",26.6842105263158,9.38888888888889
"Mumbai Indians","Mitchell McClenaghan",2018,332,14,240,"All","All",23.7142857142857,8.3
"Mumbai Indians","Mitchell McClenaghan",2019,142,3,108,"All","All",47.3333333333333,7.88888888888889
"Mumbai Indians","Munaf Patel",2011,358,22,326,"All","All",16.2727272727273,6.58895705521472
"Mumbai Indians","Munaf Patel",2012,367,15,280,"All","All",24.4666666666667,7.86428571428571
