"Striker","Season","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Bowler","Stadium","Average","Strike_Rate"
"Adam Gilchrist",2009,"Deccan Chargers","Punjab Kings",43,2,29,0,"All","All",21.5,148.275862068966
"Adam Gilchrist",2009,"Deccan Chargers","Rajasthan Royals",49,2,46,0,"All","All",24.5,106.521739130435
"Adam Gilchrist",2009,"Deccan Chargers","Royal Challengers Bangalore",86,3,66,0,"All","All",28.6666666666667,130.30303030303
"Adam Gilchrist",2010,"Deccan Chargers","Chennai Super Kings",60,3,45,0,"All","All",20,133.333333333333
"Adam Gilchrist",2010,"Deccan Chargers","Delhi Capitals",34,2,23,0,"All","All",17,147.826086956522
"Adam Gilchrist",2010,"Deccan Chargers","Kolkata Knight Riders",63,2,40,0,"All","All",31.5,157.5
"Adam Gilchrist",2010,"Deccan Chargers","Mumbai Indians",19,2,16,0,"All","All",9.5,118.75
"Adam Gilchrist",2010,"Deccan Chargers","Punjab Kings",42,2,17,0,"All","All",21,247.058823529412
"Adam Gilchrist",2010,"Deccan Chargers","Rajasthan Royals",35,2,20,0,"All","All",17.5,175
"Adam Gilchrist",2010,"Deccan Chargers","Royal Challengers Bangalore",36,3,24,0,"All","All",12,150
"Adam Gilchrist",2011,"Punjab Kings","Chennai Super Kings",19,1,15,0,"All","All",19,126.666666666667
"Adam Gilchrist",2011,"Punjab Kings","Deccan Chargers",112,2,83,0,"All","All",56,134.939759036145
"Adam Gilchrist",2011,"Punjab Kings","Delhi Capitals",51,2,42,0,"All","All",25.5,121.428571428571
"Adam Gilchrist",2011,"Punjab Kings","Kochi Tuskers Kerala",9,1,15,0,"All","All",9,60
"Adam Gilchrist",2011,"Punjab Kings","Kolkata Knight Riders",26,1,27,0,"All","All",26,96.2962962962963
"Adam Gilchrist",2011,"Punjab Kings","Mumbai Indians",28,2,30,0,"All","All",14,93.3333333333333
"Adam Gilchrist",2011,"Punjab Kings","Pune Warriors",4,2,11,0,"All","All",2,36.3636363636364
"Adam Gilchrist",2011,"Punjab Kings","Rajasthan Royals",28,1,16,0,"All","All",28,175
"Adam Gilchrist",2011,"Punjab Kings","Royal Challengers Bangalore",106,2,56,1,"All","All",53,189.285714285714
"Adam Gilchrist",2012,"Punjab Kings","Chennai Super Kings",64,0,46,0,"All","All",Inf,139.130434782609
"Adam Gilchrist",2012,"Punjab Kings","Delhi Capitals",9,1,12,0,"All","All",9,75
"Adam Gilchrist",2012,"Punjab Kings","Kolkata Knight Riders",45,1,39,0,"All","All",45,115.384615384615
"Adam Gilchrist",2012,"Punjab Kings","Pune Warriors",27,2,28,1,"All","All",13.5,96.4285714285714
"Adam Gilchrist",2012,"Punjab Kings","Rajasthan Royals",27,1,18,0,"All","All",27,150
