"Striker","Season","Bowler","Batting_Team","Bowling_Team","Runs","Dismissed","Balls","Run_Out","Stadium","Average","Strike_Rate"
"AB de Villiers",2011,"Iqbal Abdulla","Royal Challengers Bangalore","Kolkata Knight Riders",7,0,6,0,"All",Inf,116.666666666667
"AB de Villiers",2011,"Ishant Sharma","Royal Challengers Bangalore","Deccan Chargers",0,0,5,0,"All",NA,0
"AB de Villiers",2011,"Jacques Kallis","Royal Challengers Bangalore","Kolkata Knight Riders",1,0,2,0,"All",Inf,50
"AB de Villiers",2011,"James Franklin","Royal Challengers Bangalore","Mumbai Indians",7,0,4,0,"All",Inf,175
"AB de Villiers",2011,"Jaydev Unadkat","Royal Challengers Bangalore","Kolkata Knight Riders",0,0,1,0,"All",NA,0
"AB de Villiers",2011,"Jesse Ryder","Royal Challengers Bangalore","Pune Warriors",9,0,4,0,"All",Inf,225
"AB de Villiers",2011,"Kamran Khan","Royal Challengers Bangalore","Pune Warriors",2,0,3,0,"All",Inf,66.6666666666667
"AB de Villiers",2011,"Kieron Pollard","Royal Challengers Bangalore","Mumbai Indians",8,1,7,0,"All",8,114.285714285714
"AB de Villiers",2011,"Lakshmipathy Balaji","Royal Challengers Bangalore","Kolkata Knight Riders",5,0,4,0,"All",Inf,125
"AB de Villiers",2011,"Lasith Malinga","Royal Challengers Bangalore","Mumbai Indians",9,0,6,0,"All",Inf,150
"AB de Villiers",2011,"Love Ablish","Royal Challengers Bangalore","Punjab Kings",2,0,3,0,"All",Inf,66.6666666666667
"AB de Villiers",2011,"Manpreet Gony","Royal Challengers Bangalore","Deccan Chargers",0,1,2,0,"All",0,0
"AB de Villiers",2011,"Munaf Patel","Royal Challengers Bangalore","Mumbai Indians",4,0,4,0,"All",Inf,100
"AB de Villiers",2011,"Muthiah Muralidaran","Royal Challengers Bangalore","Kochi Tuskers Kerala",12,0,12,0,"All",Inf,100
"AB de Villiers",2011,"Paul Valthaty","Royal Challengers Bangalore","Punjab Kings",14,0,10,0,"All",Inf,140
"AB de Villiers",2011,"Piyush Chawla","Royal Challengers Bangalore","Punjab Kings",16,1,13,0,"All",16,123.076923076923
"AB de Villiers",2011,"Praveen Kumar","Royal Challengers Bangalore","Punjab Kings",5,0,2,0,"All",Inf,250
"AB de Villiers",2011,"RP Singh","Royal Challengers Bangalore","Kochi Tuskers Kerala",1,0,1,0,"All",Inf,100
"AB de Villiers",2011,"Rahul Sharma","Royal Challengers Bangalore","Pune Warriors",4,0,4,0,"All",Inf,100
"AB de Villiers",2011,"Raiphi Gomez","Royal Challengers Bangalore","Kochi Tuskers Kerala",19,0,4,0,"All",Inf,475
"AB de Villiers",2011,"Ravichandran Ashwin","Royal Challengers Bangalore","Chennai Super Kings",14,1,15,0,"All",14,93.3333333333333
"AB de Villiers",2011,"Ravindra Jadeja","Royal Challengers Bangalore","Kochi Tuskers Kerala",10,0,11,0,"All",Inf,90.9090909090909
"AB de Villiers",2011,"Ryan Harris","Royal Challengers Bangalore","Punjab Kings",10,0,5,0,"All",Inf,200
