"Striker","Season","Batting_Team","Bowling_Team","Stadium","Runs","Dismissed","Balls","Run_Out","Bowler","Average","Strike_Rate"
"AB de Villiers",2014,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",89,0,41,0,"All",Inf,217.073170731707
"AB de Villiers",2014,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",29,1,17,0,"All",29,170.588235294118
"AB de Villiers",2015,"Royal Challengers Bangalore","Chennai Super Kings","JSCA International Stadium Complex",1,1,3,0,"All",1,33.3333333333333
"AB de Villiers",2015,"Royal Challengers Bangalore","Chennai Super Kings","M Chinnaswamy Stadium",14,1,10,1,"All",Inf,140
"AB de Villiers",2015,"Royal Challengers Bangalore","Chennai Super Kings","MA Chidambaram Stadium",21,1,14,0,"All",21,150
"AB de Villiers",2015,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",28,1,13,0,"All",28,215.384615384615
"AB de Villiers",2015,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",2,1,4,0,"All",2,50
"AB de Villiers",2015,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",41,1,11,0,"All",41,372.727272727273
"AB de Villiers",2015,"Royal Challengers Bangalore","Mumbai Indians","Wankhede Stadium",133,0,59,0,"All",Inf,225.423728813559
"AB de Villiers",2015,"Royal Challengers Bangalore","Punjab Kings","M Chinnaswamy Stadium",47,0,24,0,"All",Inf,195.833333333333
"AB de Villiers",2015,"Royal Challengers Bangalore","Punjab Kings","Punjab Cricket Association Stadium",10,1,9,0,"All",10,111.111111111111
"AB de Villiers",2015,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium",57,1,45,1,"All",Inf,126.666666666667
"AB de Villiers",2015,"Royal Challengers Bangalore","Rajasthan Royals","Maharashtra Cricket Association Stadium",66,1,38,1,"All",Inf,173.684210526316
"AB de Villiers",2015,"Royal Challengers Bangalore","Rajasthan Royals","Sardar Patel Stadium",47,0,34,0,"All",Inf,138.235294117647
"AB de Villiers",2015,"Royal Challengers Bangalore","Sunrisers Hyderabad","M Chinnaswamy Stadium",46,1,28,0,"All",46,164.285714285714
"AB de Villiers",2015,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium",0,1,1,0,"All",0,0
"AB de Villiers",2016,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium",55,1,33,0,"All",55,166.666666666667
"AB de Villiers",2016,"Royal Challengers Bangalore","Delhi Capitals","Shaheed Veer Narayan Singh International Stadium",6,1,8,0,"All",6,75
"AB de Villiers",2016,"Royal Challengers Bangalore","Gujarat Lions","M Chinnaswamy Stadium",208,0,99,0,"All",Inf,210.10101010101
"AB de Villiers",2016,"Royal Challengers Bangalore","Gujarat Lions","Saurashtra Cricket Association Stadium",20,1,16,0,"All",20,125
"AB de Villiers",2016,"Royal Challengers Bangalore","Kolkata Knight Riders","Eden Gardens",59,0,31,0,"All",Inf,190.322580645161
"AB de Villiers",2016,"Royal Challengers Bangalore","Kolkata Knight Riders","M Chinnaswamy Stadium",4,1,6,0,"All",4,66.6666666666667
"AB de Villiers",2016,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium",24,1,27,0,"All",24,88.8888888888889
