"Bowling_Team","Bowler","Stadium","Runs","Wickets","Balls","Season","Batting_Team","Average","Economy"
"Chennai Super Kings","Imran Tahir","M Chinnaswamy Stadium",66,3,48,"All","All",22,8.25
"Chennai Super Kings","Imran Tahir","MA Chidambaram Stadium",219,14,212,"All","All",15.6428571428571,6.19811320754717
"Chennai Super Kings","Imran Tahir","Maharashtra Cricket Association Stadium",70,1,40,"All","All",70,10.5
"Chennai Super Kings","Imran Tahir","Punjab Cricket Association IS Bindra Stadium",70,2,48,"All","All",35,8.75
"Chennai Super Kings","Imran Tahir","Rajiv Gandhi International Stadium",43,4,42,"All","All",10.75,6.14285714285714
"Chennai Super Kings","Imran Tahir","Sawai Mansingh Stadium",28,0,24,"All","All",Inf,7
"Chennai Super Kings","Imran Tahir","Sharjah Cricket Stadium",22,0,18,"All","All",Inf,7.33333333333333
"Chennai Super Kings","Imran Tahir","Wankhede Stadium",64,4,60,"All","All",16,6.4
"Chennai Super Kings","Imran Tahir","Zayed Cricket Stadium",24,1,24,"All","All",24,6
"Chennai Super Kings","Ishwar Pandey","Barabati Stadium",41,0,24,"All","All",Inf,10.25
"Chennai Super Kings","Ishwar Pandey","Brabourne Stadium",25,0,18,"All","All",Inf,8.33333333333333
"Chennai Super Kings","Ishwar Pandey","Dubai International Cricket Stadium",43,1,48,"All","All",43,5.375
"Chennai Super Kings","Ishwar Pandey","Eden Gardens",31,1,24,"All","All",31,7.75
"Chennai Super Kings","Ishwar Pandey","Feroz Shah Kotla",26,0,18,"All","All",Inf,8.66666666666667
"Chennai Super Kings","Ishwar Pandey","JSCA International Stadium Complex",38,0,30,"All","All",Inf,7.6
"Chennai Super Kings","Ishwar Pandey","M Chinnaswamy Stadium",21,1,24,"All","All",21,5.25
"Chennai Super Kings","Ishwar Pandey","MA Chidambaram Stadium",119,6,90,"All","All",19.8333333333333,7.93333333333333
"Chennai Super Kings","Ishwar Pandey","Punjab Cricket Association Stadium",22,1,18,"All","All",22,7.33333333333333
"Chennai Super Kings","Ishwar Pandey","Sardar Patel Stadium",12,0,12,"All","All",Inf,6
"Chennai Super Kings","Ishwar Pandey","Shaheed Veer Narayan Singh International Stadium",27,2,24,"All","All",13.5,6.75
"Chennai Super Kings","Ishwar Pandey","Sharjah Cricket Stadium",22,0,18,"All","All",Inf,7.33333333333333
"Chennai Super Kings","Ishwar Pandey","Sheikh Zayed Stadium",23,2,24,"All","All",11.5,5.75
"Chennai Super Kings","Ishwar Pandey","Wankhede Stadium",91,3,66,"All","All",30.3333333333333,8.27272727272727
"Chennai Super Kings","Jacob Oram","De Beers Diamond Oval",8,0,6,"All","All",Inf,8
"Chennai Super Kings","Jacob Oram","Kingsmead",40,2,28,"All","All",20,8.57142857142857
"Chennai Super Kings","Jacob Oram","M Chinnaswamy Stadium",27,0,24,"All","All",Inf,6.75
"Chennai Super Kings","Jacob Oram","MA Chidambaram Stadium",85,3,48,"All","All",28.3333333333333,10.625
"Chennai Super Kings","Jacob Oram","New Wanderers Stadium",28,0,11,"All","All",Inf,15.2727272727273
"Chennai Super Kings","Jacob Oram","Newlands",30,1,24,"All","All",30,7.5
"Chennai Super Kings","Jacob Oram","Punjab Cricket Association Stadium",37,0,24,"All","All",Inf,9.25
"Chennai Super Kings","Jacob Oram","SuperSport Park",27,2,24,"All","All",13.5,6.75
"Chennai Super Kings","Jason Holder","M Chinnaswamy Stadium",20,0,6,"All","All",Inf,20
"Chennai Super Kings","Jason Holder","MA Chidambaram Stadium",100,0,72,"All","All",Inf,8.33333333333333
"Chennai Super Kings","Jason Holder","Rajiv Gandhi International Stadium",28,0,18,"All","All",Inf,9.33333333333333
