Match_Id,Stadium,Toss,POTM,Match_days,Batting.Team,Chasing.Team,Season
501256,Wankhede Stadium,"Deccan Chargers, Bat",Amit Mishra,"14 May 2011, Night","Michael Lumb, Sunny Sohal, Kumar Sangakkara, Jean-Paul Duminy, Bharat Chipli, Dan Christian, Shikhar Dhawan, Amit Mishra, Pragyan Ojha, Ishant Sharma, Anand Rajan","Sachin Tendulkar, Aiden Blizzard, Ambati Rayudu, Rohit Sharma, Andrew Symonds, Tirumalasetti Suman, Kieron Pollard, Harbhajan Singh, Lasith Malinga, Dhawal Kulkarni, Munaf Patel",2011
501257,Himachal Pradesh Cricket Association Stadium,"Delhi Capitals, Bowl",Piyush Chawla,"15 May 2011, Daynight","Paul Valthaty, Adam Gilchrist, Shaun Marsh, Dinesh Karthik, David Hussey, Mandeep Singh, Ryan Harris, Piyush Chawla, Shalabh Srivastava, Praveen Kumar, Bhargav Bhatt","Naman Ojha, David Warner, Venugopal Rao, Sridharan Sriram, Irfan Pathan, James Hopes, Travis Birt, Yogesh Nagar, Morne Morkel, Varun Aaron, Aavishkar Salvi",2011
501258,Holkar Cricket Stadium,"Kochi Tuskers Kerala, Bowl",Brad Hodge,"15 May 2011, Night","Faiz Fazal, Rahul Dravid, Shane Watson, Ajinkya Rahane, Ashok Menaria, Pinal Shah, Jacob Oram, Shane Warne, Ankeet Chavan, Shaun Tait, Nayan Doshi","Brendon McCullum, Mahela Jayawardene, Parthiv Patel, Brad Hodge, Owais Shah, Ravindra Jadeja, RP Singh, Prasanth Parameswaran, Padmanabhan Prasanth, Sreesanth, Gnaneswara Rao",2011
501259,Dr DY Patil Sports Academy,"Deccan Chargers, Bowl",Amit Mishra,"16 May 2011, Night","Jesse Ryder, Manish Pandey, Sourav Ganguly, Robin Uthappa, Yuvraj Singh, Mithun Manhas, Callum Ferguson, Mitchell Marsh, Wayne Parnell, Bhuvneshwar Kumar, Rahul Sharma","Sunny Sohal, Shikhar Dhawan, Kumar Sangakkara, Jean-Paul Duminy, Dan Christian, Bharat Chipli, Dwaraka Ravi Teja, Pragyan Ojha, Amit Mishra, Ishant Sharma, Dale Steyn",2011
501260,Himachal Pradesh Cricket Association Stadium,"Punjab Kings, Bat",Adam Gilchrist,"17 May 2011, Night","Paul Valthaty, Adam Gilchrist, Shaun Marsh, David Hussey, Dinesh Karthik, Mandeep Singh, Abhishek Nayar, Shalabh Srivastava, Piyush Chawla, Praveen Kumar, Ryan Harris","Chris Gayle, Saurabh Tiwary, Virat Kohli, AB de Villiers, Asad Pathan, Mohammad Kaif, Arun Karthik, Johan van der Wath, Abhimanyu Mithun, Charl Langeveldt, Sreenath Aravind",2011
501261,MA Chidambaram Stadium,"Chennai Super Kings, Bat",Wriddhiman Saha,"18 May 2011, Night","Michael Hussey, Murali Vijay, Suresh Raina, S Badrinath, Wriddhiman Saha, MS Dhoni, Albie Morkel, Dwayne Bravo, Ravichandran Ashwin, Doug Bollinger, Shadab Jakati","Parthiv Patel, Brendon McCullum, Gnaneswara Rao, Brad Hodge, Ravindra Jadeja, Owais Shah, Kedar Jadhav, Vinay Kumar, Muthiah Muralidaran, RP Singh, Sreesanth",2011
501262,Dr DY Patil Sports Academy,"Kolkata Knight Riders, Bowl",Yusuf Pathan,"19 May 2011, Night","Jesse Ryder, Manish Pandey, Callum Ferguson, Sourav Ganguly, Robin Uthappa, Yuvraj Singh, Sachin Rana, Wayne Parnell, Alfonso Thomas, Rahul Sharma, Bhuvneshwar Kumar","Gautam Gambhir, Shreevats Goswami, Manoj Tiwary, Yusuf Pathan, Rajat Bhatia, Jacques Kallis, Ryan ten Doeschate, Shakib Al Hasan, Brett Lee, Lakshmipathy Balaji, Iqbal Abdulla",2011
501263,Wankhede Stadium,"Mumbai Indians, Bat",Shane Watson,"20 May 2011, Night","Tirumalasetti Suman, Sachin Tendulkar, Ambati Rayudu, Rohit Sharma, Kieron Pollard, James Franklin, Harbhajan Singh, Andrew Symonds, Dhawal Kulkarni, Munaf Patel, Lasith Malinga","Shane Watson, Rahul Dravid, Johan Botha, Ashok Menaria, Ajinkya Rahane, Ross Taylor, Pinal Shah, †, Ankeet Chavan, Shane Warne, (c), Amit Singh, Siddharth Trivedi",2011
501264,Himachal Pradesh Cricket Association Stadium,"Punjab Kings, Bowl",Shikhar Dhawan,"21 May 2011, Daynight","Shikhar Dhawan, Dwaraka Ravi Teja, Jean-Paul Duminy, Cameron White, Kedar Devdhar, †, Bharat Chipli, Dan Christian, Pragyan Ojha, Amit Mishra, Dale Steyn, Anand Rajan","Paul Valthaty, Adam Gilchrist, Shaun Marsh, Dinesh Karthik, Ryan McLaren, Abhishek Nayar, Mandeep Singh, Piyush Chawla, Ryan Harris, Praveen Kumar, Bhargav Bhatt",2011
501265,Feroz Shah Kotla,"Delhi Capitals, Bat",NA,"21 May 2011, Night","Naman Ojha, David Warner, Matthew Wade, Colin Ingram, Venugopal Rao, James Hopes, (c), Irfan Pathan, Yogesh Nagar, Varun Aaron, Umesh Yadav, Ashok Dinda","Manish Pandey, James Faulkner, Sourav Ganguly, Robin Uthappa, Yuvraj Singh, Callum Ferguson, Sachin Rana, Mitchell Marsh, Shrikant Mundhe, Rahul Sharma",2011
501266,M Chinnaswamy Stadium,"Royal Challengers Bangalore, Bowl",Chris Gayle,"22 May 2011, Daynight","Michael Hussey, Murali Vijay, Suresh Raina, S Badrinath, Wriddhiman Saha, MS Dhoni, Dwayne Bravo, Albie Morkel, Ravichandran Ashwin, Shadab Jakati, Doug Bollinger","AB de Villiers, Chris Gayle, Virat Kohli, Saurabh Tiwary, Mayank Agarwal, Mohammad Kaif, Luke Pomersbach, Daniel Vettori, (c), Sreenath Aravind, Abhimanyu Mithun, Zaheer Khan",2011
501267,Eden Gardens,"Mumbai Indians, Bowl",James Franklin,"22 May 2011, Night","Jacques Kallis, Shreevats Goswami, Gautam Gambhir, Manoj Tiwary, Yusuf Pathan, Ryan ten Doeschate, Rajat Bhatia, Shakib Al Hasan, Brett Lee, Lakshmipathy Balaji, Iqbal Abdulla","Tirumalasetti Suman, Sachin Tendulkar, Harbhajan Singh, Rohit Sharma, Kieron Pollard, James Franklin, Ambati Rayudu, Rajagopal Sathish, Abu Nechim, Ray Price, Lasith Malinga",2011
501268,Wankhede Stadium,"Chennai Super Kings, Bowl",Suresh Raina,"24 May 2011, Night","Mayank Agarwal, Chris Gayle, Virat Kohli, AB de Villiers, Luke Pomersbach, Saurabh Tiwary, Mohammad Kaif, Daniel Vettori, (c), Sreenath Aravind, Abhimanyu Mithun, Zaheer Khan","Michael Hussey, Murali Vijay, Suresh Raina, S Badrinath, MS Dhoni, Albie Morkel, Dwayne Bravo, Wriddhiman Saha, Ravichandran Ashwin, Doug Bollinger, Shadab Jakati",2011
